Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,5.0E-4,0.049
667,Almanor 2011 CFM,0.00256,0.233
219,Anacapa-Dume alt 1,2.5E-4,0.025
197,Anaheim,1.3E-4,0.013
722,Antelope Valley 2011,0.00113,0.11
845,Ash Hill,0.0011,0.105
881,Baker,2.2E-4,0.022
668,Bartlett Springs 2011 CFM,0.00223,0.205
669,Battle Creek 2011 CFM,2.2E-4,0.022
842,Bear River fault zone,8.2E-4,0.082
581,Bennett Valley 2011 CFM,0.00123,0.12
158,Bicycle Lake,0.00129,0.121
741,Big Lagoon - Bald Mtn 2011 CFM,8.7E-4,0.084
192,Big Pine (Central),4.9E-4,0.048
191,Big Pine (East),2.3E-4,0.023
200,Big Pine (West),3.0E-5,0.003
87,Blackwater,0.00133,0.118
169,Blue Cut,0.00104,0.102
170,Brawley (Seismic Zone) alt 1,0.0114,0.783
541,Breckenridge 2011,3.0E-5,0.003
882,Bullion Mountains,6.9E-4,0.068
94,Burnt Mtn,6.5E-4,0.065
561,Butano 2011 CFM,2.2E-4,0.022
165,Cady,7.8E-4,0.076
602,Calaveras (Central) 2011 CFM,0.00505,0.425
601,Calaveras (No) 2011 CFM,0.00165,0.164
621,Calaveras (So) - Paicines extension 2011 CFM,0.00543,0.435
603,Calaveras (So) 2011 CFM,0.0059,0.507
88,Calico-Hidalgo,0.0017,0.161
724,Camp Rock 2011,7.8E-4,0.078
173,Canada David (Detachment),1.1E-4,0.011
176,Carlsbad,1.6E-4,0.016
721,Carson Range (Genoa),0.00146,0.144
670,Casmalia 2011 CFM,2.1E-4,0.021
34,Cedar Mtn-Mahogany Mtn,0.00112,0.104
172,Cerro Prieto,0.01266,0.836
129,Channel Islands Thrust,0.00105,0.099
214,Channel Islands Western Deep Ramp,3.5E-4,0.034
238,Chino alt 1,0.00174,0.162
124,Clamshell-Sawpit,1.2E-4,0.012
844,Clayton,4.7E-4,0.047
81,Cleghorn,2.4E-4,0.024
884,Cleghorn Lake,9.4E-4,0.083
883,Cleghorn Pass,9.4E-4,0.083
582,Collayami 2011 CFM,0.00104,0.1
184,Compton,3.1E-4,0.03
622,Concord 2011 CFM,0.00265,0.26
626,Contra Costa (Lafayette) 2011 CFM,2.4E-4,0.024
633,Contra Costa Shear Zone (connector) 2011 CFM,6.8E-4,0.068
776,Coronado Bank alt1,0.00356,0.299
157,Coyote Canyon,0.00208,0.175
