Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,7.0E-5,0.007
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,1.0E-4,0.01
197,Anaheim,2.0E-5,0.002
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,7.0E-5,0.007
668,Bartlett Springs 2011 CFM,0.00107,0.104
669,Battle Creek 2011 CFM,9.0E-5,0.009
842,Bear River fault zone,1.9E-4,0.019
581,Bennett Valley 2011 CFM,6.0E-5,0.006
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,3.4E-4,0.033
192,Big Pine (Central),7.0E-5,0.007
191,Big Pine (East),1.7E-4,0.017
200,Big Pine (West),0.0,0.0
87,Blackwater,1.0E-5,0.001
169,Blue Cut,1.2E-4,0.012
170,Brawley (Seismic Zone) alt 1,0.005,0.486
541,Breckenridge 2011,1.0E-5,0.001
882,Bullion Mountains,6.0E-5,0.006
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,1.6E-4,0.016
165,Cady,3.0E-5,0.003
602,Calaveras (Central) 2011 CFM,0.00216,0.209
601,Calaveras (No) 2011 CFM,0.001,0.099
621,Calaveras (So) - Paicines extension 2011 CFM,0.00194,0.187
603,Calaveras (So) 2011 CFM,0.00185,0.18
88,Calico-Hidalgo,4.6E-4,0.046
724,Camp Rock 2011,8.0E-5,0.008
173,Canada David (Detachment),8.0E-5,0.008
176,Carlsbad,7.0E-5,0.007
721,Carson Range (Genoa),2.1E-4,0.021
670,Casmalia 2011 CFM,5.0E-5,0.005
34,Cedar Mtn-Mahogany Mtn,1.0E-5,0.001
172,Cerro Prieto,0.00371,0.35
129,Channel Islands Thrust,2.2E-4,0.021
214,Channel Islands Western Deep Ramp,1.2E-4,0.011
238,Chino alt 1,7.0E-5,0.007
124,Clamshell-Sawpit,7.0E-5,0.007
844,Clayton,9.0E-5,0.009
81,Cleghorn,1.4E-4,0.014
884,Cleghorn Lake,9.0E-5,0.009
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0
184,Compton,1.4E-4,0.014
622,Concord 2011 CFM,3.1E-4,0.028
626,Contra Costa (Lafayette) 2011 CFM,1.6E-4,0.016
633,Contra Costa Shear Zone (connector) 2011 CFM,1.6E-4,0.016
776,Coronado Bank alt1,3.7E-4,0.037
157,Coyote Canyon,0.0,0.0
163,Coyote Lake,0.0,0.0
125,Cucamonga,3.4E-4,0.034
894,Davis Creek,0.0,0.0
245,Death Valley (Black Mtns Frontal),3.4E-4,0.034
45,Death Valley (Fish Lake Valley),3.2E-4,0.032
46,Death Valley (No),3.9E-4,0.039
246,Death Valley (So),3.9E-4,0.039
51,Deep Springs,0.0,0.0
230,Del Valle,1.3E-4,0.013
889,Dog Valley,4.0E-5,0.004
888,Dry Mountain,0.0,0.0
249,Earthquake Valley,4.6E-4,0.046
255,Earthquake Valley (No  Extension),4.6E-4,0.046
256,Earthquake Valley (So Extension),3.6E-4,0.036
671,East Huasna 2011 CFM,1.0E-5,0.001
672,Eaton Roughs 2011 CFM,6.3E-4,0.061
96,Elmore Ranch,0.0,0.0
103,Elsinore (Coyote Mountains),1.8E-4,0.018
296,Elsinore (Glen Ivy) rev,4.5E-4,0.044
102,Elsinore (Julian),2.8E-4,0.027
402,Elsinore (Stepovers Combined),3.8E-4,0.037
299,Elsinore (Temecula) rev,3.8E-4,0.037
196,Elysian Park (Lower CFM),1.0E-5,0.001
146,Elysian Park (Upper),1.0E-4,0.01
90,Emerson-Copper Mtn 2011,1.0E-4,0.01
95,Eureka Peak,0.0,0.0
20,Fickle Hill (alt1),2.2E-4,0.022
698,Fish Slough 2011 CFM,1.0E-5,0.001
893,Fitzhugh Creek,0.0,0.0
204,Fontana (Seismicity),0.0,0.0
634,Franklin 2011 CFM,2.5E-4,0.025
699,Garberville - Briceland 2011 CFM,6.9E-4,0.069
159,Garlic Springs,0.0,0.0
341,Garlock (Central),0.00111,0.11
48,Garlock (East),5.2E-4,0.052
49,Garlock (West),6.6E-4,0.066
700,Gillem - Big Crack 2011 CFM,0.0,0.0
160,Goldstone Lake,0.0,0.0
701,Goose Lake 2011 CFM,0.0,0.0
86,Gravel Hills-Harper Lk,8.0E-5,0.008
131,Great Valley 01,0.0,0.0
133,Great Valley 02,3.0E-5,0.003
132,Great Valley 03 Mysterious Ridge,4.9E-4,0.049
383,Great Valley 03a Dunnigan Hills,0.0,0.0
134,Great Valley 04a Trout Creek,4.9E-4,0.049
381,Great Valley 04b Gordon Valley,3.3E-4,0.033
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.0,0.0
645,Great Valley 06 (Midland) 2011 CFM alt1,6.0E-5,0.006
