Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.050659113,0.018193703,0.025601918,0.030613357,0.041834623,0.050386753,0.031593855
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,5.4472166E-5,0.0,0.0,5.4472166E-5,5.4472166E-5,5.4472166E-5,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.012855431,0.0023967752,0.003649635,0.0049024946,0.008606602,0.012038348,0.0020699422
881,Baker,2.7236083E-4,0.0,1.0894433E-4,1.0894433E-4,2.1788866E-4,2.7236083E-4,0.0
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,5.4472166E-5,5.4472166E-5,5.4472166E-5,5.4472166E-5,5.4472166E-5,5.4472166E-5,5.4472166E-5
158,Bicycle Lake,0.00201547,1.634165E-4,3.8130514E-4,6.53666E-4,0.0010349711,0.0019065258,5.4472166E-5
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),3.26833E-4,0.0,1.634165E-4,1.634165E-4,2.7236083E-4,3.26833E-4,5.4472166E-5
191,Big Pine (East),1.634165E-4,0.0,0.0,0.0,5.4472166E-5,1.634165E-4,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.0143806515,0.002287831,0.004575662,0.006264299,0.010513128,0.013618041,0.003322802
169,Blue Cut,1.0894433E-4,5.4472166E-5,5.4472166E-5,5.4472166E-5,5.4472166E-5,1.0894433E-4,0.0
170,Brawley (Seismic Zone) alt 1,1.0894433E-4,0.0,0.0,0.0,0.0,1.0894433E-4,0.0
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,1.634165E-4,5.4472166E-5,5.4472166E-5,5.4472166E-5,1.0894433E-4,1.634165E-4,0.0
94,Burnt Mtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Butano 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
