Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",86,7.1,86,7.1,0.036,0.000,0.036,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,11.284,0.000,13.471,1.469
White Wolf,"51, 75, 60",6,3.44,6,3.44,0.381,0.000,88.320,87.948,89.285,88.663
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,5.600,0.000,5.600,0.000,22.802,10.829
Round Valley,"340, 50, -90",2,3.28,2,3.28,1.123,0.000,166.054,166.053,185.199,185.131
So Sierra Nevada,"2, 50, -90",1,2.75,1,2.75,1.410,0.000,4.248,4.233,16.191,15.188
San Andreas (Cholame) rev,"321, 90, 180",1,2.66,1,2.66,1.564,0.000,203.540,192.228,211.238,200.333
Collayami 2011 CFM,"134, 90, 180",1,3.18,1,3.18,5.665,0.000,529.340,527.582,548.534,546.870
Fish Slough 2011 CFM,"181, 60, -90",0,,0,,5.111,1.127,168.335,165.751,187.309,184.432
Great Valley 11,"131, 15, 90",0,,0,,7.959,7.890,251.917,251.895,268.223,268.198
Maacama 2011 CFM,"329, 63, 180",0,,0,,8.381,5.026,519.232,519.178,538.248,538.186
Great Valley 10 (Panoche),"152, 15, 90",0,,0,,8.863,8.800,272.824,272.796,289.497,289.467
Tank Canyon,"189, 50, -90",0,,0,,9.015,9.011,9.015,9.011,17.243,17.072
Pleito,"91, 46, 90",0,,0,,12.225,5.035,147.260,146.662,148.802,147.949
Wight Way 2011 CFM,"263, 69, -90",0,,0,,12.669,6.942,564.047,560.209,583.347,579.421
Ortigalita (South),"152, 90, 180",0,,0,,13.688,13.564,288.011,279.348,304.505,296.147
Blackwater,"323, 90, 180",0,,0,,14.394,8.726,14.394,8.726,29.661,27.718
Lost Hills,"143, 29, 90",0,,0,,14.494,14.328,181.424,181.398,191.325,191.260
Owens Valley Keough Hot Springs,"340, 50, -90",0,,0,,15.496,11.970,152.866,152.543,171.523,171.407
Rodgers Creek - Healdsburg 2011 CFM,"324, 77, 180",0,,0,,16.142,8.984,486.124,483.925,504.875,502.720
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,28.750,27.702,36.559,32.668
San Juan,"152, 90, 180",0,,0,,16.841,4.873,218.336,206.343,224.772,212.898
White Mountains,"352, 90, 180",0,,0,,18.401,6.400,129.745,128.370,148.238,146.207
Hilton Creek 2011 CFM,"327, 50, -90",0,,0,,21.329,21.147,199.972,197.823,219.441,217.147
La Panza 2011,"315, 51, 135",0,,0,,21.424,21.040,210.939,210.915,217.041,216.935
Calaveras (So) - Paicines extension 2011 CFM,"141, 77, 180",0,,0,,22.137,12.967,296.304,291.088,311.954,306.885
Great Valley 12,"153, 15, 90",0,,0,,22.250,22.222,239.566,239.540,255.204,255.176
San Andreas (Creeping Section) 2011 CFM,"317, 90, 180",0,,0,,22.889,10.906,254.519,245.976,268.098,260.028
San Andreas (Carrizo) rev,"134, 90, 180",0,,0,,23.323,22.984,185.179,173.356,187.552,176.027
Garlock (West),"59, 90, 0",0,,0,,23.636,11.709,63.115,60.529,66.426,62.627
Big Pine (East),"248, 73, 45",0,,0,,23.679,21.196,163.081,162.498,164.478,163.660
Owens Valley,"343, 90, 180",0,,0,,25.481,22.928,49.013,48.524,68.299,66.819
San Andreas (Big Bend),"108, 90, 180",0,,0,,25.650,13.748,156.777,146.774,158.638,148.297
San Andreas (Mojave N),"109, 90, 180",0,,0,,27.078,17.302,141.122,129.850,144.341,133.105
Panamint Valley,"334, 90, -150",0,,0,,29.583,17.627,29.583,17.627,34.539,22.615
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,42.265,42.201,45.679,43.721
Great Valley 09 (Laguna Seca),"147, 25, 90",0,,0,,30.242,30.224,287.777,287.758,305.008,304.987
Canada David (Detachment),"165, 37, -90",0,,0,,31.930,31.921,401.432,401.424,419.782,419.748
Bartlett Springs 2011 CFM,"328, 90, 180",0,,0,,32.758,20.855,542.968,538.872,562.365,558.336
Morales (West),"319, 32, 90",0,,0,,32.876,32.854,194.114,194.105,198.517,198.506
Hunting Creek - Bartlett Springs connector 2011,"342, 90, 180",0,,0,,32.987,21.303,512.570,505.563,531.811,524.880
Ash Hill,"162, 90, 180",0,,0,,33.252,22.790,34.883,23.252,35.808,25.242
Pine Mtn,"275, 45, 90",0,,0,,33.392,32.265,151.903,151.896,154.559,154.336
San Gabriel,"309, 61, 144",0,,0,,33.402,32.579,154.138,154.084,156.942,156.807
Great Valley 14 (Kettleman Hills),"125, 22, 90",0,,0,,33.818,31.363,196.968,196.949,210.808,210.788
Hunting Creek - Berryessa 2011 CFM,"332, 90, 180",0,,0,,33.925,26.722,485.649,479.946,504.731,499.130
Deep Springs,"205, 50, -90",0,,0,,34.607,34.405,149.904,149.097,167.784,166.771
Independence rev 2011,"337, 50, -90",0,,0,,35.364,35.007,73.220,72.867,92.154,92.123
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,36.147,26.349,36.147,26.349,50.134,42.809
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,36.514,24.660,52.027,40.175,65.700,53.653
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,37.553,34.997,39.627,39.626,58.680,58.391
McLean Lake,"96, 90, 0",0,,0,,37.870,37.581,37.870,37.581,54.212,51.493
Great Valley 13 (Coalinga),"136, 15, 90",0,,0,,38.139,37.910,215.526,215.479,230.253,230.202
South Cuyama,"122, 33, 90",0,,0,,38.811,36.666,204.877,204.240,207.586,206.867
San Andreas (Parkfield),"320, 90, 180",0,,0,,39.281,39.170,231.796,222.053,243.696,234.442
Goldstone Lake,"325, 90, 180",0,,0,,40.122,34.141,40.122,34.141,57.026,52.630
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,40.346,38.302,53.829,53.817,64.327,63.973
Lenwood-Lockhart-Old Woman Springs,"313, 90, 180",0,,0,,41.188,30.428,53.532,41.707,59.689,48.512
Big Pine (Central),"78, 76, 90",0,,0,,42.024,35.604,180.211,176.941,181.973,178.230
Bennett Valley 2011 CFM,"330, 90, 180",0,,0,,42.504,41.893,492.760,486.795,511.518,505.675
East Huasna 2011 CFM,"323, 90, 180",0,,0,,42.617,30.576,241.113,229.150,244.724,232.895
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,56.618,56.615,66.376,66.044
Great Valley 03 Mysterious Ridge,"157, 20, 90",0,,0,,43.314,41.679,491.137,491.084,510.512,510.457
Hartley Springs 2011 CFM,"342, 50, -90",0,,0,,43.892,43.635,221.559,212.948,240.954,232.544
Garlock (East),"91, 90, 0",0,,0,,44.557,44.411,44.557,44.411,57.889,56.823
Nelson Lake,"96, 90, 0",0,,0,,44.675,43.319,44.675,43.319,61.857,58.209
