Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.51157,5.75,4.964286,6.5559406,3.357143,4.178571,9.821428,22.964285
5.1,5.9654894,4.571429,3.4285715,5.2213726,2.642857,3.3214285,7.821429,18.107143
5.2,4.741143,3.642857,2.9285715,4.161349,2.0,2.607143,6.25,14.5
5.3,3.7627306,2.892857,2.0714285,3.3230824,1.5714285,2.0714285,4.964286,11.535714
5.4,2.988816,2.2857144,1.7142857,2.6506171,1.2142857,1.6071428,3.9285715,9.178572
5.5,2.370581,1.8214285,1.3571428,2.1183338,0.9285714,1.25,3.142857,7.285714
5.6,1.8821937,1.4642857,1.1071428,1.6921554,0.6785714,0.96428573,2.5357144,5.821429
5.7,1.4941446,1.1428572,0.89285713,1.3570552,0.5,0.75,2.0,4.642857
5.8,1.1861877,0.9285714,0.75,1.0915141,0.39285713,0.5714286,1.6071428,3.7142856
5.9,0.93988717,0.71428573,0.5714286,0.87382156,0.2857143,0.4642857,1.3214285,3.0
6.0,0.7447816,0.5714286,0.5,0.70531946,0.17857143,0.35714287,1.0357143,2.392857
6.1,0.58979714,0.4642857,0.35714287,0.5661479,0.14285715,0.25,0.8214286,1.8928572
6.2,0.46751353,0.35714287,0.2857143,0.46082273,0.10714286,0.17857143,0.6785714,1.5
6.3,0.3713771,0.2857143,0.21428572,0.37414002,0.071428575,0.14285715,0.53571427,1.25
6.4,0.29424626,0.21428572,0.14285715,0.3039922,0.035714287,0.10714286,0.42857143,1.0
6.5,0.23273697,0.17857143,0.10714286,0.24739699,0.0,0.071428575,0.35714287,0.8214286
6.6,0.18409915,0.14285715,0.071428575,0.20296921,0.0,0.035714287,0.2857143,0.6785714
6.7,0.14522442,0.10714286,0.071428575,0.16730765,0.0,0.035714287,0.25,0.53571427
6.8,0.11433655,0.071428575,0.035714287,0.13838996,0.0,0.035714287,0.17857143,0.42857143
6.9,0.089925766,0.071428575,0.035714287,0.11410234,0.0,0.0,0.14285715,0.35714287
7.0,0.07069971,0.035714287,0.0,0.09476746,0.0,0.0,0.14285715,0.32142857
7.1,0.055767205,0.035714287,0.0,0.0795387,0.0,0.0,0.10714286,0.25
7.2,0.043410223,0.035714287,0.0,0.06602482,0.0,0.0,0.071428575,0.21428572
7.3,0.033592008,0.0,0.0,0.055020474,0.0,0.0,0.071428575,0.17857143
7.4,0.026009383,0.0,0.0,0.04571247,0.0,0.0,0.071428575,0.14285715
7.5,0.020019231,0.0,0.0,0.03801063,0.0,0.0,0.035714287,0.10714286
7.6,0.015211186,0.0,0.0,0.031814627,0.0,0.0,0.035714287,0.10714286
7.7,0.011266751,0.0,0.0,0.026205847,0.0,0.0,0.035714287,0.071428575
7.8,0.008081804,0.0,0.0,0.021233352,0.0,0.0,0.035714287,0.071428575
7.9,0.0057420926,0.0,0.0,0.017017484,0.0,0.0,0.0,0.035714287
8.0,0.003843374,0.0,0.0,0.013187575,0.0,0.0,0.0,0.035714287
8.1,0.002131465,0.0,0.0,0.009322033,0.0,0.0,0.0,0.035714287
8.2,0.001028983,0.0,0.0,0.006295349,0.0,0.0,0.0,0.035714287
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
