Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
861,Airport Lake,3.24E-4,0.154,8.0E-6,0.004,6.0E-6,6.4634316E-4
667,Almanor 2011 CFM,0.001928,0.671,8.0E-6,0.004,2.0E-6,0.0032080284
219,Anacapa-Dume alt 1,1.18E-4,0.056,4.0E-6,0.002,4.0E-6,2.7066036E-4
197,Anaheim,8.2E-5,0.041,4.0E-6,0.002,0.0,1.5264863E-4
722,Antelope Valley 2011,7.98E-4,0.362,1.2E-5,0.004,2.0E-6,0.0016513178
845,Ash Hill,9.4E-4,0.387,1.8E-5,0.009,8.0E-6,0.0011242339
881,Baker,1.84E-4,0.089,4.0E-6,0.002,0.0,2.971852E-4
668,Bartlett Springs 2011 CFM,0.002082,0.712,8.0E-6,0.004,2.0E-6,0.0032548506
669,Battle Creek 2011 CFM,1.4E-4,0.069,0.0,0.0,0.0,3.1419643E-4
842,Bear River fault zone,6.68E-4,0.306,2.0E-5,0.01,1.0E-5,0.0012404737
581,Bennett Valley 2011 CFM,0.001022,0.453,2.6E-5,0.013,6.0E-6,0.0013300235
158,Bicycle Lake,9.9E-4,0.429,1.4E-5,0.007,2.0E-6,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,6.92E-4,0.298,3.4E-5,0.015,1.6E-5,9.757346E-4
192,Big Pine (Central),6.76E-4,0.292,3.4E-5,0.016,4.0E-6,7.7102927E-4
191,Big Pine (East),5.52E-4,0.255,5.0E-5,0.024,1.4E-5,5.174529E-4
200,Big Pine (West),2.4E-5,0.012,0.0,0.0,0.0,3.5641617E-5
87,Blackwater,0.00106,0.416,1.6E-5,0.008,4.0E-6,0.0016023546
169,Blue Cut,7.92E-4,0.351,3.6E-5,0.018,1.6E-5,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.010932,1.0,5.3E-4,0.212,2.46E-4,0.013392845
541,Breckenridge 2011,1.2E-5,0.006,0.0,0.0,0.0,5.9955266E-5
882,Bullion Mountains,5.4E-4,0.253,9.0E-5,0.043,4.0E-5,8.568014E-4
94,Burnt Mtn,4.1E-4,0.202,2.6E-5,0.013,1.4E-5,8.178091E-4
561,Butano 2011 CFM,5.64E-4,0.259,4.4E-5,0.022,1.2E-5,4.988888E-4
165,Cady,7.52E-4,0.348,1.6E-4,0.078,8.8E-5,0.0010379759
602,Calaveras (Central) 2011 CFM,0.006692,0.986,2.28E-4,0.091,8.8E-5,0.007856056
601,Calaveras (No) 2011 CFM,0.00226,0.765,1.08E-4,0.051,3.0E-5,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.006742,0.985,1.64E-4,0.075,6.4E-5,0.007935263
603,Calaveras (So) 2011 CFM,0.007004,0.995,1.78E-4,0.079,7.0E-5,0.00887066
88,Calico-Hidalgo,0.00127,0.508,1.02E-4,0.049,4.8E-5,0.0021344922
724,Camp Rock 2011,1.62E-4,0.081,4.0E-6,0.002,0.0,8.719521E-4
173,Canada David (Detachment),6.8E-5,0.034,4.0E-6,0.002,2.0E-6,1.708136E-4
176,Carlsbad,1.68E-4,0.083,0.0,0.0,0.0,2.9338954E-4
721,Carson Range (Genoa),0.00118,0.489,4.6E-5,0.023,2.2E-5,0.0021533736
670,Casmalia 2011 CFM,1.7E-4,0.084,4.0E-6,0.002,2.0E-6,2.1761062E-4
34,Cedar Mtn-Mahogany Mtn,9.28E-4,0.357,1.6E-5,0.005,4.0E-6,0.0014486995
172,Cerro Prieto,0.013574,1.0,6.72E-4,0.221,2.7E-4,0.015186971
129,Channel Islands Thrust,9.62E-4,0.408,2.0E-5,0.01,2.0E-6,0.0011560944
214,Channel Islands Western Deep Ramp,3.34E-4,0.163,1.4E-5,0.007,2.0E-6,3.141864E-4
238,Chino alt 1,0.001652,0.618,8.0E-5,0.035,2.4E-5,0.002055848
124,Clamshell-Sawpit,9.8E-5,0.049,6.0E-6,0.003,4.0E-6,1.6712814E-4
844,Clayton,3.5E-4,0.171,1.4E-5,0.007,4.0E-6,5.955206E-4
81,Cleghorn,3.72E-4,0.176,1.6E-5,0.007,4.0E-6,4.1360638E-4
884,Cleghorn Lake,6.76E-4,0.296,4.8E-5,0.024,8.0E-6,8.0706173E-4
883,Cleghorn Pass,6.78E-4,0.287,4.8E-5,0.021,4.0E-6,5.4906996E-4
582,Collayami 2011 CFM,8.16E-4,0.369,8.0E-6,0.004,6.0E-6,0.0016240462
184,Compton,2.54E-4,0.122,8.0E-6,0.004,4.0E-6,5.5336126E-4
622,Concord 2011 CFM,0.002178,0.747,5.2E-5,0.026,1.6E-5,0.003020393
626,Contra Costa (Lafayette) 2011 CFM,1.88E-4,0.091,2.0E-6,0.001,2.0E-6,3.4727142E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,5.16E-4,0.244,4.0E-6,0.002,2.0E-6,6.8810565E-4
776,Coronado Bank alt1,0.002908,0.805,3.0E-5,0.015,1.4E-5,0.004669619
157,Coyote Canyon,0.001626,0.571,4.2E-5,0.02,1.0E-5,0.00183098
163,Coyote Lake,7.32E-4,0.33,6.0E-6,0.003,0.0,0.0010333296
125,Cucamonga,3.74E-4,0.18,1.6E-5,0.008,1.0E-5,6.182335E-4
894,Davis Creek,8.46E-4,0.306,0.0,0.0,0.0,0.0012165429
245,Death Valley (Black Mtns Frontal),4.18E-4,0.203,4.0E-6,0.002,2.0E-6,8.7176583E-4
45,Death Valley (Fish Lake Valley),0.001016,0.445,2.4E-5,0.011,1.2E-5,0.0020205644
46,Death Valley (No),5.04E-4,0.24,6.0E-6,0.003,2.0E-6,0.0010474853
246,Death Valley (So),8.72E-4,0.384,6.0E-6,0.003,0.0,0.001079285
51,Deep Springs,6.36E-4,0.311,8.0E-6,0.004,4.0E-6,0.0010337
230,Del Valle,2.68E-4,0.131,1.6E-5,0.008,1.0E-5,5.591551E-4
889,Dog Valley,1.88E-4,0.094,4.0E-6,0.002,2.0E-6,4.1480028E-4
888,Dry Mountain,2.08E-4,0.1,4.0E-6,0.002,2.0E-6,3.2469787E-4
249,Earthquake Valley,5.28E-4,0.256,1.6E-5,0.007,6.0E-6,0.001013129
255,Earthquake Valley (No  Extension),6.48E-4,0.304,1.4E-5,0.007,6.0E-6,0.0011406206
256,Earthquake Valley (So Extension),8.1E-4,0.374,2.0E-5,0.009,8.0E-6,0.0015755498
671,East Huasna 2011 CFM,6.6E-5,0.032,0.0,0.0,0.0,7.648561E-5
672,Eaton Roughs 2011 CFM,0.00257,0.761,1.4E-5,0.007,4.0E-6,0.0035506086
96,Elmore Ranch,0.003424,0.897,1.12E-4,0.051,3.6E-5,0.0047495617
103,Elsinore (Coyote Mountains),0.001214,0.497,3.4E-5,0.017,1.4E-5,0.0021942228
296,Elsinore (Glen Ivy) rev,0.007864,0.99,2.42E-4,0.079,9.4E-5,0.008455746
102,Elsinore (Julian),2.52E-4,0.124,4.0E-6,0.002,2.0E-6,6.1102665E-4
402,Elsinore (Stepovers Combined),5.86E-4,0.269,8.0E-6,0.004,2.0E-6,0.0011189252
299,Elsinore (Temecula) rev,7.56E-4,0.343,1.0E-5,0.005,4.0E-6,0.001540073
196,Elysian Park (Lower CFM),8.8E-5,0.044,2.0E-6,0.001,0.0,1.135746E-4
146,Elysian Park (Upper),0.001192,0.476,9.0E-5,0.034,3.0E-5,0.0016632719
90,Emerson-Copper Mtn 2011,3.54E-4,0.17,3.8E-5,0.018,1.0E-5,0.0011147654
95,Eureka Peak,7.56E-4,0.363,5.4E-5,0.026,2.2E-5,0.0016670827
20,Fickle Hill (alt1),2.0E-4,0.098,2.0E-6,0.001,0.0,2.8655992E-4
698,Fish Slough 2011 CFM,1.16E-4,0.058,1.0E-5,0.005,4.0E-6,2.2765521E-4
