Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.77851,6.0,5.0,10.904488,1.0,3.0,11.0,25.0
4.0,7.77851,6.5,5.5,6.214244,3.0,4.5,10.0,20.75
8.0,7.7809296,6.75,5.875,4.6617427,3.875,5.0,9.875,18.375
12.0,7.7806807,6.9166665,6.0833335,3.9233282,4.1666665,5.3333335,9.75,17.166666
16.0,7.7809296,7.0,6.4375,3.4924433,4.5,5.5,9.625,16.1875
20.0,7.77851,7.05,6.35,3.1607773,4.65,5.65,9.55,15.4
24.0,7.781777,7.125,6.4166665,2.8931081,4.8333335,5.75,9.5,14.791667
28.0,7.7838087,7.178571,6.678571,2.7282314,4.928571,5.857143,9.464286,14.357142
32.0,7.781777,7.21875,6.6875,2.5678642,5.03125,5.9375,9.40625,13.84375
36.0,7.7820663,7.25,6.4166665,2.4330182,5.0833335,6.0,9.361111,13.666667
40.0,7.781777,7.275,6.65,2.3404374,5.175,6.05,9.325,13.45
44.0,7.7837706,7.2954545,6.5,2.2303083,5.25,6.1136365,9.295455,13.159091
48.0,7.781777,7.3333335,6.6666665,2.134706,5.3125,6.1458335,9.25,12.895833
52.0,7.7820663,7.3461537,7.1153846,2.0609946,5.3653846,6.1923075,9.230769,12.634615
56.0,7.7881117,7.392857,7.321429,1.9478028,5.464286,6.25,9.232142,12.392858
60.0,7.781777,7.383333,6.65,1.9260397,5.5,6.2833333,9.166667,12.316667
64.0,7.7881117,7.421875,7.21875,1.8386618,5.53125,6.296875,9.15625,12.21875
68.0,7.7838087,7.4264708,7.029412,1.8212974,5.5588236,6.352941,9.1470585,12.014706
72.0,7.794095,7.4444447,7.0972223,1.7582912,5.5972223,6.388889,9.111111,11.972222
76.0,7.7899146,7.4473686,7.25,1.7033694,5.644737,6.4078946,9.105263,11.815789
80.0,7.781777,7.45,7.1625,1.6844485,5.7,6.4,9.0625,11.7875
84.0,7.797481,7.5,7.5,1.6153573,5.7261906,6.464286,9.059524,11.511905
88.0,7.787875,7.4886365,6.818182,1.5839801,5.7386365,6.4772725,9.022727,11.522727
92.0,7.7873044,7.5,7.402174,1.5691801,5.7826085,6.521739,8.978261,11.478261
96.0,7.781777,7.4895835,6.875,1.5233712,5.8020835,6.53125,8.958333,11.489583
100.0,7.77851,7.49,7.0,1.5089511,5.83,6.54,8.96,11.36
200.0,7.798285,7.63,7.335,1.0612936,6.31,6.845,8.68,10.235
300.0,7.8440766,7.7433333,7.2166667,0.8574069,6.52,7.09,8.573334,9.88
400.0,7.798285,7.7,7.4625,0.76835316,6.645,7.085,8.42,9.6575
500.0,7.77851,7.666,7.758,0.70034444,6.694,7.128,8.354,9.512
