Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob
861,Airport Lake,2.78E-4,0.137
667,Almanor 2011 CFM,0.00167,0.599
219,Anacapa-Dume alt 1,1.26E-4,0.061
197,Anaheim,7.0E-5,0.034
722,Antelope Valley 2011,7.24E-4,0.33
845,Ash Hill,8.56E-4,0.357
881,Baker,1.08E-4,0.052
668,Bartlett Springs 2011 CFM,0.001892,0.671
669,Battle Creek 2011 CFM,1.32E-4,0.065
842,Bear River fault zone,5.84E-4,0.27
581,Bennett Valley 2011 CFM,0.001044,0.457
158,Bicycle Lake,0.001006,0.425
741,Big Lagoon - Bald Mtn 2011 CFM,5.62E-4,0.249
192,Big Pine (Central),6.36E-4,0.284
191,Big Pine (East),5.22E-4,0.245
200,Big Pine (West),2.2E-5,0.011
87,Blackwater,9.08E-4,0.376
169,Blue Cut,7.72E-4,0.334
170,Brawley (Seismic Zone) alt 1,0.010238,1.0
541,Breckenridge 2011,1.6E-5,0.008
882,Bullion Mountains,5.36E-4,0.253
94,Burnt Mtn,3.62E-4,0.18
561,Butano 2011 CFM,4.3E-4,0.203
165,Cady,7.8E-4,0.351
602,Calaveras (Central) 2011 CFM,0.006306,0.982
601,Calaveras (No) 2011 CFM,0.002004,0.723
621,Calaveras (So) - Paicines extension 2011 CFM,0.006428,0.984
603,Calaveras (So) 2011 CFM,0.006518,0.991
88,Calico-Hidalgo,0.001212,0.494
724,Camp Rock 2011,1.16E-4,0.058
173,Canada David (Detachment),7.2E-5,0.036
176,Carlsbad,1.52E-4,0.073
721,Carson Range (Genoa),0.001036,0.437
670,Casmalia 2011 CFM,1.44E-4,0.071
34,Cedar Mtn-Mahogany Mtn,8.62E-4,0.33
172,Cerro Prieto,0.01268,1.0
129,Channel Islands Thrust,9.4E-4,0.377
214,Channel Islands Western Deep Ramp,2.68E-4,0.13
238,Chino alt 1,0.001618,0.59
124,Clamshell-Sawpit,1.02E-4,0.05
844,Clayton,3.4E-4,0.167
81,Cleghorn,3.52E-4,0.17
884,Cleghorn Lake,6.28E-4,0.285
883,Cleghorn Pass,7.54E-4,0.309
582,Collayami 2011 CFM,6.82E-4,0.296
184,Compton,2.56E-4,0.123
622,Concord 2011 CFM,0.002048,0.714
626,Contra Costa (Lafayette) 2011 CFM,2.16E-4,0.105
633,Contra Costa Shear Zone (connector) 2011 CFM,4.62E-4,0.222
776,Coronado Bank alt1,0.002528,0.751
157,Coyote Canyon,0.00157,0.559
163,Coyote Lake,7.02E-4,0.314
125,Cucamonga,3.24E-4,0.157
894,Davis Creek,7.54E-4,0.277
245,Death Valley (Black Mtns Frontal),3.9E-4,0.191
45,Death Valley (Fish Lake Valley),9.66E-4,0.422
46,Death Valley (No),4.46E-4,0.218
246,Death Valley (So),8.18E-4,0.376
51,Deep Springs,5.38E-4,0.262
230,Del Valle,2.34E-4,0.116
889,Dog Valley,1.8E-4,0.09
888,Dry Mountain,1.44E-4,0.071
249,Earthquake Valley,5.12E-4,0.246
255,Earthquake Valley (No  Extension),6.04E-4,0.29
256,Earthquake Valley (So Extension),7.78E-4,0.365
671,East Huasna 2011 CFM,5.0E-5,0.025
672,Eaton Roughs 2011 CFM,0.002426,0.739
96,Elmore Ranch,0.003382,0.901
103,Elsinore (Coyote Mountains),0.001044,0.442
296,Elsinore (Glen Ivy) rev,0.007756,0.995
102,Elsinore (Julian),2.58E-4,0.128
402,Elsinore (Stepovers Combined),6.08E-4,0.288
299,Elsinore (Temecula) rev,7.22E-4,0.33
196,Elysian Park (Lower CFM),4.8E-5,0.024
146,Elysian Park (Upper),0.001058,0.437
90,Emerson-Copper Mtn 2011,2.98E-4,0.148
95,Eureka Peak,7.54E-4,0.358
20,Fickle Hill (alt1),1.86E-4,0.092
698,Fish Slough 2011 CFM,8.6E-5,0.043
893,Fitzhugh Creek,2.34E-4,0.104
204,Fontana (Seismicity),1.64E-4,0.081
634,Franklin 2011 CFM,6.32E-4,0.294
699,Garberville - Briceland 2011 CFM,0.001514,0.58
159,Garlic Springs,8.24E-4,0.383
341,Garlock (Central),0.002238,0.75
48,Garlock (East),0.00246,0.761
49,Garlock (West),9.22E-4,0.418
700,Gillem - Big Crack 2011 CFM,6.1E-4,0.249
160,Goldstone Lake,0.001356,0.522
701,Goose Lake 2011 CFM,1.34E-4,0.058
86,Gravel Hills-Harper Lk,9.36E-4,0.385
131,Great Valley 01,6.6E-5,0.032
133,Great Valley 02,7.6E-5,0.038
132,Great Valley 03 Mysterious Ridge,0.001012,0.418
383,Great Valley 03a Dunnigan Hills,9.06E-4,0.353
134,Great Valley 04a Trout Creek,4.54E-4,0.215
381,Great Valley 04b Gordon Valley,8.16E-4,0.37
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.00142,0.523
645,Great Valley 06 (Midland) 2011 CFM alt1,4.6E-4,0.213
136,Great Valley 07 (Orestimba),0.001226,0.481
137,Great Valley 08 (Quinto),5.74E-4,0.279
151,Great Valley 09 (Laguna Seca),0.002202,0.713
138,Great Valley 10 (Panoche),3.76E-4,0.183
139,Great Valley 11,6.22E-4,0.296
140,Great Valley 12,1.22E-4,0.059
142,Great Valley 13 (Coalinga),6.0E-5,0.03
