Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob
861,Airport Lake,0.0,0.0
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,2.3188406E-5,0.011594203
197,Anaheim,5.7971015E-6,0.0028985508
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,0.0,0.0
668,Bartlett Springs 2011 CFM,5.275362E-4,0.2521739
669,Battle Creek 2011 CFM,0.0,0.0
842,Bear River fault zone,0.0,0.0
581,Bennett Valley 2011 CFM,1.7391305E-5,0.008695652
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,1.7391304E-4,0.08115942
192,Big Pine (Central),1.1594203E-5,0.0057971017
191,Big Pine (East),2.8985507E-5,0.014492754
200,Big Pine (West),0.0,0.0
87,Blackwater,0.0,0.0
169,Blue Cut,0.0,0.0
170,Brawley (Seismic Zone) alt 1,0.0015246377,0.6144928
541,Breckenridge 2011,5.7971015E-6,0.0028985508
882,Bullion Mountains,0.0,0.0
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,1.2173913E-4,0.060869563
165,Cady,0.0,0.0
602,Calaveras (Central) 2011 CFM,6.3768117E-4,0.3043478
601,Calaveras (No) 2011 CFM,9.855072E-5,0.04927536
621,Calaveras (So) - Paicines extension 2011 CFM,7.246377E-4,0.32173914
603,Calaveras (So) 2011 CFM,6.3188403E-4,0.29565218
88,Calico-Hidalgo,1.2753623E-4,0.06376812
724,Camp Rock 2011,1.1594203E-5,0.0057971017
173,Canada David (Detachment),0.0,0.0
176,Carlsbad,1.1594203E-5,0.0057971017
721,Carson Range (Genoa),0.0,0.0
670,Casmalia 2011 CFM,4.057971E-5,0.020289855
34,Cedar Mtn-Mahogany Mtn,0.0,0.0
172,Cerro Prieto,0.0,0.0
129,Channel Islands Thrust,2.3188406E-5,0.011594203
214,Channel Islands Western Deep Ramp,1.7391305E-5,0.008695652
238,Chino alt 1,5.7971015E-6,0.0028985508
124,Clamshell-Sawpit,5.7971015E-6,0.0028985508
844,Clayton,0.0,0.0
81,Cleghorn,5.2173913E-5,0.026086956
884,Cleghorn Lake,0.0,0.0
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0
184,Compton,6.956522E-5,0.034782607
622,Concord 2011 CFM,5.2173913E-5,0.026086956
626,Contra Costa (Lafayette) 2011 CFM,2.8985507E-5,0.014492754
