Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.769203,0.710439,0.481
6.1,0.72629684,0.66838807,0.424
6.2,0.72629684,0.66838807,0.424
6.3,0.65251684,0.59827423,0.327
6.4,0.61018664,0.5589226,0.288
6.5,0.50509894,0.45892355,0.206
6.6,0.49117738,0.44402516,0.202
6.7,0.4446588,0.39834237,0.173
6.8,0.4013712,0.35182032,0.154
6.9,0.32110983,0.272157,0.113
7.0,0.20774175,0.16501132,0.054
7.1,0.16929208,0.12791239,0.037
7.2,0.15395275,0.117075555,0.035
7.3,0.13647188,0.10261757,0.032
7.4,0.12155333,0.09099986,0.028
7.5,0.075296275,0.059039798,0.015
