Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,1.64E-4,0.082,3.6484736E-4
667,Almanor 2011 CFM,4.66E-4,0.225,8.740102E-4
219,Anacapa-Dume alt 1,1.16E-4,0.056,2.7066036E-4
197,Anaheim,3.4E-5,0.017,5.9406997E-5
722,Antelope Valley 2011,4.76E-4,0.234,9.4100233E-4
845,Ash Hill,2.38E-4,0.117,3.6325454E-4
881,Baker,9.2E-5,0.045,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.001412,0.557,0.0027160519
669,Battle Creek 2011 CFM,1.62E-4,0.081,3.1419643E-4
842,Bear River fault zone,3.02E-4,0.149,6.516702E-4
581,Bennett Valley 2011 CFM,5.24E-4,0.254,6.565412E-4
158,Bicycle Lake,2.6E-4,0.13,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,5.96E-4,0.267,9.757346E-4
192,Big Pine (Central),1.18E-4,0.058,1.4073562E-4
191,Big Pine (East),2.6E-4,0.124,2.5185442E-4
200,Big Pine (West),4.0E-6,0.002,1.6456292E-5
87,Blackwater,1.66E-4,0.082,3.0697847E-4
169,Blue Cut,2.94E-4,0.143,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.007382,0.995,0.009075132
541,Breckenridge 2011,2.8E-5,0.014,5.5550227E-5
882,Bullion Mountains,3.16E-4,0.156,5.3453795E-4
94,Burnt Mtn,3.86E-4,0.193,7.1063195E-4
561,Butano 2011 CFM,3.2E-4,0.153,4.0039053E-4
165,Cady,1.78E-4,0.088,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.003908,0.87,0.0054784776
601,Calaveras (No) 2011 CFM,0.001662,0.63,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.003602,0.869,0.0050596413
603,Calaveras (So) 2011 CFM,0.002998,0.822,0.0043864697
88,Calico-Hidalgo,6.5E-4,0.302,0.001058555
724,Camp Rock 2011,2.02E-4,0.1,4.1653516E-4
173,Canada David (Detachment),9.4E-5,0.047,1.708136E-4
176,Carlsbad,9.8E-5,0.049,2.0807843E-4
721,Carson Range (Genoa),5.9E-4,0.279,0.001339816
670,Casmalia 2011 CFM,1.32E-4,0.064,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,2.78E-4,0.13,3.803875E-4
172,Cerro Prieto,0.010734,0.998,0.013091409
129,Channel Islands Thrust,9.72E-4,0.401,0.0011560944
214,Channel Islands Western Deep Ramp,3.12E-4,0.145,3.141864E-4
238,Chino alt 1,5.32E-4,0.246,6.7926216E-4
124,Clamshell-Sawpit,8.0E-5,0.039,1.3494818E-4
844,Clayton,2.54E-4,0.127,3.7555463E-4
81,Cleghorn,1.9E-4,0.092,2.2669137E-4
884,Cleghorn Lake,4.1E-4,0.192,4.888226E-4
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,9.8E-5,0.049,1.8422506E-4
184,Compton,2.94E-4,0.142,5.5336126E-4
622,Concord 2011 CFM,9.56E-4,0.405,0.001544427
626,Contra Costa (Lafayette) 2011 CFM,1.86E-4,0.092,3.4471598E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,2.56E-4,0.123,4.4313556E-4
776,Coronado Bank alt1,7.08E-4,0.322,0.0012790463
