Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.9320416,6.0,4.0,8.978272,1.0,3.0,11.0,29.0
4.0,7.9320416,6.5,5.5,5.1218367,3.0,4.5,10.75,22.25
8.0,7.9330516,6.875,5.375,3.821157,3.75,5.0,10.625,18.5
12.0,7.934162,7.0833335,6.3333335,3.1899154,4.1666665,5.3333335,10.5,16.75
16.0,7.9330516,7.25,7.125,2.8089385,4.4375,5.5625,10.375,15.375
20.0,7.9320416,7.35,6.2,2.5245855,4.65,5.7,10.2,14.4
24.0,7.9436483,7.4166665,5.9166665,2.3206203,4.7916665,5.8333335,10.166667,13.708333
28.0,7.945919,7.5,6.821429,2.1512406,4.928571,5.964286,9.964286,13.214286
32.0,7.9436483,7.5625,6.9375,2.0132551,5.0625,6.0625,9.90625,12.71875
36.0,7.953041,7.638889,7.361111,1.8931005,5.1666665,6.138889,9.777778,12.472222
40.0,7.9436483,7.65,6.95,1.7714168,5.25,6.25,9.7,12.1
44.0,7.9407105,7.7272725,6.931818,1.7034442,5.318182,6.2954545,9.590909,11.863636
48.0,7.9436483,7.75,7.7083335,1.60221,5.4166665,6.3541665,9.5,11.541667
52.0,7.953041,7.769231,7.6538463,1.5382627,5.5384617,6.4038463,9.519231,11.403846
56.0,7.9509134,7.785714,8.178572,1.517376,5.517857,6.410714,9.464286,11.392858
60.0,7.9436483,7.8,7.2,1.4241875,5.65,6.55,9.333333,11.05
64.0,7.9509134,7.828125,7.734375,1.3800535,5.703125,6.578125,9.34375,11.015625
68.0,7.945919,7.8382354,8.132353,1.3394774,5.7352943,6.602941,9.294118,10.867647
72.0,7.9511847,7.8472223,7.013889,1.2856642,5.8055553,6.6944447,9.208333,10.847222
76.0,7.952029,7.8421054,7.8421054,1.2390118,5.8289475,6.75,9.144737,10.710526
80.0,7.9436483,7.875,7.4625,1.2054708,5.85,6.725,9.1,10.575
84.0,7.954602,7.857143,7.6904764,1.1897447,5.845238,6.75,9.142858,10.428572
88.0,7.9520774,7.875,7.193182,1.1439116,5.943182,6.806818,9.090909,10.306818
92.0,7.9523,7.8913045,7.771739,1.103132,6.0108695,6.847826,9.021739,10.315217
96.0,7.9436483,7.8645835,7.78125,1.0558864,6.09375,6.8958335,8.979167,10.239583
100.0,7.9320416,7.87,8.01,1.0333353,6.15,6.89,8.96,10.15
200.0,7.9712353,7.905,7.79,0.66111463,6.76,7.33,8.62,9.36
300.0,8.013844,7.9666667,7.8733335,0.50351834,7.1566668,7.516667,8.523334,9.136666
400.0,7.9712353,7.9525,8.0175,0.41449314,7.16,7.6,8.375,8.885
500.0,7.9320416,7.912,8.132,0.386558,7.188,7.562,8.328,8.702
