Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,6.891164,5.0,4.0,7.4068375,1.0,3.0,10.0,22.0
4.0,6.891164,6.0,5.0,4.15352,2.75,4.0,9.0,18.0
8.0,6.8943915,6.125,5.625,3.0633416,3.5,4.625,9.0,15.125
12.0,6.8944197,6.25,5.4166665,2.564496,3.8333333,4.8333335,8.916667,13.75
16.0,6.8943915,6.375,5.4375,2.22244,4.125,5.0,8.75,12.875
20.0,6.891164,6.4,5.8,2.0324712,4.2,5.1,8.7,12.1
24.0,6.899015,6.5,5.875,1.8861653,4.3333335,5.2083335,8.666667,11.666667
28.0,6.899503,6.5,5.678571,1.7766333,4.571429,5.285714,8.5,11.392858
32.0,6.899015,6.5625,6.25,1.6230788,4.5625,5.40625,8.53125,11.03125
36.0,6.898524,6.611111,7.0277777,1.5647335,4.611111,5.4722223,8.472222,10.777778
40.0,6.899015,6.675,6.65,1.4321765,4.775,5.525,8.225,10.475
44.0,6.900526,6.659091,5.7272725,1.3996133,4.7954545,5.568182,8.318182,10.318182
48.0,6.899015,6.7291665,5.9166665,1.2909116,5.0,5.5833335,8.125,10.041667
52.0,6.898524,6.7115383,6.0,1.2858236,4.8653846,5.6923075,8.173077,9.923077
56.0,6.9141235,6.785714,6.982143,1.2121897,4.964286,5.767857,8.107142,9.732142
60.0,6.899015,6.7833333,6.9,1.1894293,5.0666666,5.7166667,8.066667,9.583333
64.0,6.9141235,6.796875,6.5,1.1529589,5.0625,5.796875,8.125,9.46875
68.0,6.899503,6.7647057,6.25,1.1152326,5.0735292,5.8088236,8.014706,9.426471
72.0,6.9176345,6.7916665,7.4444447,1.0899495,5.1944447,5.7916665,8.097222,9.305555
76.0,6.9038677,6.7763157,6.5921054,0.99873996,5.2763157,5.868421,7.986842,9.0
80.0,6.899015,6.775,6.125,1.0109972,5.2125,5.8375,7.9375,8.9625
84.0,6.907316,6.797619,6.142857,1.0209471,5.202381,5.821429,7.964286,9.071428
88.0,6.9258676,6.818182,5.6477275,0.9804525,5.2613635,5.9204545,8.011364,8.852273
92.0,6.9042687,6.8586955,6.9130435,0.9352398,5.3586955,5.880435,7.8586955,8.75
96.0,6.899015,6.8229165,6.8125,0.9186984,5.4166665,5.8958335,7.8125,8.708333
100.0,6.891164,6.77,6.77,0.922929,5.41,5.93,7.85,8.67
200.0,6.877182,6.805,6.89,0.60748184,5.715,6.34,7.48,8.33
300.0,6.79097,6.7166667,6.576667,0.5263023,5.8533335,6.28,7.26,7.9166665
400.0,6.877182,6.8425,6.5325,0.45540276,6.1425,6.465,7.3575,7.8675
500.0,6.891164,6.926,7.056,0.38957027,6.148,6.49,7.326,7.644
