Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",86,7.1,86,7.1,0.036,0.000,0.036,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,11.284,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,5.600,0.000,5.600,0.000,22.802,10.829
So Sierra Nevada,"2, 50, -90",1,2.75,1,2.75,1.410,0.000,4.248,4.233,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,9.015,9.011,9.015,9.011,17.243,17.072
Blackwater,"323, 90, 180",0,,0,,14.394,8.726,14.394,8.726,29.661,27.718
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,28.750,27.702,36.559,32.668
Panamint Valley,"334, 90, -150",0,,0,,29.583,17.627,29.583,17.627,34.539,22.615
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,42.265,42.201,45.679,43.721
Ash Hill,"162, 90, 180",0,,0,,33.252,22.790,34.883,23.252,35.808,25.242
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,36.147,26.349,36.147,26.349,50.134,42.809
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,36.514,24.660,52.027,40.175,65.700,53.653
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,37.553,34.997,39.627,39.626,58.680,58.391
McLean Lake,"96, 90, 0",0,,0,,37.870,37.581,37.870,37.581,54.212,51.493
Goldstone Lake,"325, 90, 180",0,,0,,40.122,34.141,40.122,34.141,57.026,52.630
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,40.346,38.302,53.829,53.817,64.327,63.973
Lenwood-Lockhart-Old Woman Springs,"313, 90, 180",0,,0,,41.188,30.428,53.532,41.707,59.689,48.512
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,56.618,56.615,66.376,66.044
Garlock (East),"91, 90, 0",0,,0,,44.557,44.411,44.557,44.411,57.889,56.823
Nelson Lake,"96, 90, 0",0,,0,,44.675,43.319,44.675,43.319,61.857,58.209
Owl Lake,"58, 90, 0",0,,0,,44.772,40.549,44.772,40.549,57.862,50.347
Paradise,"347, 90, 180",0,,0,,45.501,36.828,45.501,36.828,63.228,55.490
Owens Valley,"343, 90, 180",0,,0,,46.891,46.011,49.013,48.524,68.299,66.819
Garlock (West),"59, 90, 0",0,,0,,48.316,47.487,63.115,60.529,66.426,62.627
Helendale-So Lockhart,"321, 90, 180",0,,0,,50.353,44.098,55.680,45.597,66.835,58.765
Kern Canyon (North Kern) 2011,"360, 60, -90",0,,0,,52.371,50.809,62.153,62.142,81.168,80.888
Towne Pass,"195, 50, -90",0,,0,,52.561,52.559,52.561,52.559,59.662,59.451
Coyote Canyon,"88, 90, 0",0,,0,,57.780,52.777,57.780,52.777,75.711,69.405
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,63.674,63.665,63.674,63.665,68.968,68.917
Hunter Mountain-Saline Valley,"317, 90, -150",0,,0,,67.276,56.143,67.276,56.143,77.497,67.795
Breckenridge 2011,"7, 60, -90",0,,0,,69.737,68.575,81.780,81.778,84.833,84.574
Independence rev 2011,"337, 50, -90",0,,0,,70.146,69.475,73.220,72.867,92.154,92.123
Coyote Lake,"75, 90, 0",0,,0,,70.213,59.016,70.213,59.016,89.171,78.014
Death Valley (So),"321, 90, 180",0,,0,,70.843,59.027,70.843,59.027,76.430,65.593
Garlic Springs,"130, 90, 180",0,,0,,70.939,69.928,70.939,69.928,88.997,88.608
Bicycle Lake,"107, 90, 0",0,,0,,71.736,70.614,71.736,70.614,89.530,87.209
Calico-Hidalgo,"322, 90, 180",0,,0,,75.434,75.096,75.434,75.096,94.306,94.094
White Wolf,"51, 75, 60",0,,0,,75.716,74.922,88.320,87.948,89.285,88.663
Camp Rock 2011,"316, 90, 180",0,,0,,88.343,85.789,88.343,85.789,107.011,104.757
Baker,"331, 90, 180",0,,0,,89.633,79.268,89.633,79.268,102.570,93.212
Tin Mountain,"193, 50, -90",0,,0,,90.970,90.896,90.970,90.896,105.075,104.736
Manix-Afton Hills,"81, 90, 0",0,,0,,91.095,80.690,91.095,80.690,110.096,99.691
Cady,"97, 90, 0",0,,0,,96.470,89.036,96.470,89.036,115.466,107.883
Red Pass,"141, 90, 180",0,,0,,99.022,93.766,99.022,93.766,116.077,111.604
Dry Mountain,"208, 50, -90",0,,0,,99.558,98.634,99.558,98.634,115.972,114.744
Death Valley (No),"321, 90, 180",0,,0,,103.510,91.617,103.510,91.617,107.220,95.600
Pisgah-Bullion Mtn-Mesquite Lk,"330, 90, 180",0,,0,,116.379,114.233,116.379,114.233,135.350,133.235
Emerson-Copper Mtn 2011,"320, 90, 180",0,,0,,120.976,119.843,120.976,119.843,139.821,138.839
San Andreas (Mojave S),"116, 90, 180",0,,0,,121.059,109.061,131.948,119.949,139.645,127.646
Ludlow,"149, 90, 180",0,,0,,122.584,118.038,122.584,118.038,140.918,136.736
San Andreas (Mojave N),"109, 90, 180",0,,0,,125.853,114.724,141.122,129.850,144.341,133.105
North Frontal  (West),"80, 49, 90",0,,0,,127.349,126.313,127.349,126.313,144.446,143.010
White Mountains,"352, 90, 180",0,,0,,128.138,128.019,129.745,128.370,148.238,146.207
Johnson Valley (No) 2011 rev,"330, 90, 180",0,,0,,128.712,128.587,128.712,128.587,147.398,147.251
Hector Mine,"156, 90, 180",0,,0,,131.504,128.019,131.504,128.019,150.480,147.025
Pleito,"91, 46, 90",0,,0,,134.425,133.852,147.260,146.662,148.802,147.949
San Gabriel (Extension),"276, 61, 180",0,,0,,136.756,136.278,139.593,139.593,152.686,152.634
Pine Mtn,"275, 45, 90",0,,0,,138.255,137.640,151.903,151.896,154.559,154.336
San Andreas (San Bernardino N),"122, 90, 180",0,,0,,138.566,128.781,140.812,130.029,154.485,144.224
Clamshell-Sawpit,"244, 50, 90",0,,0,,139.300,138.887,146.063,146.064,156.610,156.576
Homestead Valley 2011,"333, 90, 180",0,,0,,139.582,138.912,139.582,138.912,158.476,157.572
Cleghorn,"96, 90, 0",0,,0,,140.006,128.267,141.151,129.164,155.439,143.546
San Gabriel,"309, 61, 144",0,,0,,140.610,140.133,154.138,154.084,156.942,156.807
Cucamonga,"257, 45, 90",0,,0,,141.796,141.462,142.618,142.617,156.921,156.905
Northridge Hills,"289, 31, 90",0,,0,,142.789,142.314,155.323,155.319,161.064,161.007
San Andreas (Big Bend),"108, 90, 180",0,,0,,143.138,133.607,156.777,146.774,158.638,148.297
North Frontal  (East),"104, 41, 90",0,,0,,143.705,143.168,143.705,143.168,162.180,161.318
Sierra Madre (San Fernando),"273, 45, 90",0,,0,,143.917,143.589,155.571,155.572,162.232,162.217
