Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,2.78E-4,0.132,6.4634316E-4
667,Almanor 2011 CFM,0.002226,0.681,0.0032080284
219,Anacapa-Dume alt 1,1.68E-4,0.084,2.7066036E-4
197,Anaheim,8.0E-5,0.04,1.5264863E-4
722,Antelope Valley 2011,8.58E-4,0.373,0.0016513178
845,Ash Hill,0.0011,0.419,0.0011242339
881,Baker,2.38E-4,0.108,2.971852E-4
668,Bartlett Springs 2011 CFM,0.00253,0.771,0.0032548506
669,Battle Creek 2011 CFM,1.98E-4,0.096,3.1419643E-4
842,Bear River fault zone,7.98E-4,0.354,0.0012404737
581,Bennett Valley 2011 CFM,0.001286,0.557,0.0013300235
158,Bicycle Lake,0.001376,0.548,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,0.00101,0.375,9.757346E-4
192,Big Pine (Central),8.18E-4,0.351,7.7102927E-4
191,Big Pine (East),7.34E-4,0.338,5.174529E-4
200,Big Pine (West),3.4E-5,0.017,3.5641617E-5
87,Blackwater,0.001126,0.4,0.0016023546
169,Blue Cut,0.001044,0.398,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.011978,1.0,0.013392845
541,Breckenridge 2011,1.0E-5,0.005,5.9955266E-5
882,Bullion Mountains,6.28E-4,0.279,8.568014E-4
94,Burnt Mtn,4.68E-4,0.234,8.178091E-4
561,Butano 2011 CFM,5.94E-4,0.267,4.988888E-4
165,Cady,9.72E-4,0.398,0.0010379759
602,Calaveras (Central) 2011 CFM,0.00765,0.994,0.007856056
601,Calaveras (No) 2011 CFM,0.00264,0.833,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.007582,0.983,0.007935263
603,Calaveras (So) 2011 CFM,0.007466,0.997,0.00887066
88,Calico-Hidalgo,0.00151,0.559,0.0021344922
724,Camp Rock 2011,1.52E-4,0.075,8.719521E-4
173,Canada David (Detachment),9.4E-5,0.047,1.708136E-4
176,Carlsbad,2.1E-4,0.097,2.9338954E-4
721,Carson Range (Genoa),0.00138,0.549,0.0021533736
670,Casmalia 2011 CFM,2.12E-4,0.102,2.1761062E-4
34,Cedar Mtn-Mahogany Mtn,0.001214,0.361,0.0014486995
172,Cerro Prieto,0.015872,1.0,0.015186971
129,Channel Islands Thrust,0.001332,0.486,0.0011560944
214,Channel Islands Western Deep Ramp,4.96E-4,0.222,3.141864E-4
238,Chino alt 1,0.002422,0.76,0.002055848
124,Clamshell-Sawpit,1.48E-4,0.072,1.6712814E-4
844,Clayton,4.6E-4,0.22,5.955206E-4
81,Cleghorn,4.8E-4,0.228,4.1360638E-4
884,Cleghorn Lake,0.00101,0.365,8.0706173E-4
883,Cleghorn Pass,9.24E-4,0.351,5.4906996E-4
