Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,1.64E-4,0.08,3.6484736E-4
667,Almanor 2011 CFM,7.16E-4,0.316,8.740102E-4
219,Anacapa-Dume alt 1,1.68E-4,0.084,2.7066036E-4
197,Anaheim,2.6E-5,0.013,5.9406997E-5
722,Antelope Valley 2011,4.86E-4,0.233,9.4100233E-4
845,Ash Hill,3.3E-4,0.157,3.6325454E-4
881,Baker,1.08E-4,0.053,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.002,0.696,0.0027160519
669,Battle Creek 2011 CFM,1.98E-4,0.096,3.1419643E-4
842,Bear River fault zone,4.66E-4,0.223,6.516702E-4
581,Bennett Valley 2011 CFM,6.78E-4,0.329,6.565412E-4
158,Bicycle Lake,4.0E-4,0.196,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.00101,0.375,9.757346E-4
192,Big Pine (Central),1.92E-4,0.092,1.4073562E-4
191,Big Pine (East),4.08E-4,0.197,2.5185442E-4
200,Big Pine (West),1.6E-5,0.008,1.6456292E-5
87,Blackwater,2.3E-4,0.11,3.0697847E-4
169,Blue Cut,4.46E-4,0.204,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.008576,0.999,0.009075132
541,Breckenridge 2011,1.0E-5,0.005,5.5550227E-5
882,Bullion Mountains,3.2E-4,0.157,5.3453795E-4
94,Burnt Mtn,3.86E-4,0.193,7.1063195E-4
561,Butano 2011 CFM,4.46E-4,0.208,4.0039053E-4
165,Cady,3.18E-4,0.155,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.005448,0.971,0.0054784776
601,Calaveras (No) 2011 CFM,0.002454,0.808,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.00503,0.959,0.0050596413
603,Calaveras (So) 2011 CFM,0.00427,0.952,0.0043864697
88,Calico-Hidalgo,8.42E-4,0.371,0.001058555
724,Camp Rock 2011,1.24E-4,0.061,4.1653516E-4
173,Canada David (Detachment),9.4E-5,0.047,1.708136E-4
176,Carlsbad,1.56E-4,0.074,2.0807843E-4
721,Carson Range (Genoa),7.94E-4,0.361,0.001339816
670,Casmalia 2011 CFM,1.74E-4,0.086,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,4.64E-4,0.179,3.803875E-4
172,Cerro Prieto,0.01357,1.0,0.013091409
129,Channel Islands Thrust,0.001332,0.486,0.0011560944
214,Channel Islands Western Deep Ramp,4.96E-4,0.222,3.141864E-4
238,Chino alt 1,9.76E-4,0.428,6.7926216E-4
124,Clamshell-Sawpit,1.2E-4,0.058,1.3494818E-4
844,Clayton,3.12E-4,0.152,3.7555463E-4
81,Cleghorn,2.46E-4,0.119,2.2669137E-4
884,Cleghorn Lake,6.24E-4,0.264,4.888226E-4
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,8.4E-5,0.042,1.8422506E-4
184,Compton,3.2E-4,0.153,5.5336126E-4
622,Concord 2011 CFM,0.001528,0.588,0.001544427
626,Contra Costa (Lafayette) 2011 CFM,2.44E-4,0.119,3.4471598E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,3.36E-4,0.164,4.4313556E-4
776,Coronado Bank alt1,0.001044,0.44,0.0012790463
157,Coyote Canyon,0.001144,0.468,7.693753E-4
163,Coyote Lake,6.42E-4,0.289,7.4040337E-4
125,Cucamonga,4.46E-4,0.208,6.1043387E-4
894,Davis Creek,2.14E-4,0.102,1.2964533E-4
245,Death Valley (Black Mtns Frontal),5.0E-4,0.239,8.095886E-4
45,Death Valley (Fish Lake Valley),7.36E-4,0.328,0.0012757132
46,Death Valley (No),5.32E-4,0.256,9.5837284E-4
246,Death Valley (So),0.001164,0.477,0.001041639
51,Deep Springs,5.72E-4,0.279,8.969784E-4
230,Del Valle,2.28E-4,0.111,3.720021E-4
889,Dog Valley,8.8E-5,0.044,2.328282E-4
888,Dry Mountain,1.22E-4,0.059,1.4885848E-4
249,Earthquake Valley,6.96E-4,0.326,0.0010117083
255,Earthquake Valley (No  Extension),8.02E-4,0.353,0.0011406206
256,Earthquake Valley (So Extension),5.64E-4,0.268,8.2418293E-4
671,East Huasna 2011 CFM,7.0E-5,0.035,5.4726253E-5
672,Eaton Roughs 2011 CFM,0.00217,0.702,0.0023913994
96,Elmore Ranch,0.001066,0.458,0.0013122535
103,Elsinore (Coyote Mountains),6.38E-4,0.297,8.815546E-4
296,Elsinore (Glen Ivy) rev,0.002524,0.746,0.00191106
102,Elsinore (Julian),5.12E-4,0.249,6.1102665E-4
402,Elsinore (Stepovers Combined),0.001092,0.485,0.0010306181
299,Elsinore (Temecula) rev,8.16E-4,0.391,9.56905E-4
196,Elysian Park (Lower CFM),2.4E-5,0.012,3.6013033E-5
146,Elysian Park (Upper),8.2E-4,0.351,0.0010056715
90,Emerson-Copper Mtn 2011,2.36E-4,0.114,8.2894997E-4
95,Eureka Peak,4.0E-6,0.002,5.0813524E-6
20,Fickle Hill (alt1),3.2E-4,0.158,2.8655992E-4
698,Fish Slough 2011 CFM,7.6E-5,0.037,1.5610366E-4
893,Fitzhugh Creek,7.8E-5,0.035,4.9661856E-5
204,Fontana (Seismicity),1.68E-4,0.084,2.7451906E-4
634,Franklin 2011 CFM,4.3E-4,0.204,5.9008814E-4
699,Garberville - Briceland 2011 CFM,0.002088,0.683,0.0025254672
159,Garlic Springs,2.84E-4,0.142,2.2524351E-4
341,Garlock (Central),0.001854,0.715,0.001769922
48,Garlock (East),0.00197,0.696,0.0013207955
49,Garlock (West),0.001012,0.454,0.0011861473
700,Gillem - Big Crack 2011 CFM,1.86E-4,0.091,1.4175435E-4
160,Goldstone Lake,9.68E-4,0.441,6.907931E-4
