Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.938996,7.85,7.4625,1.225151,5.825,6.7125,9.15,10.5625
5.1,6.2888165,6.2125,6.3875,0.9809233,4.5875,5.3125,7.2625,8.4125
5.2,4.979175,4.9375,5.025,0.79016334,3.6125,4.1875,5.7625,6.6625
5.3,3.9407291,3.9,3.9375,0.63503844,2.825,3.3125,4.5625,5.3
5.4,3.1143625,3.075,3.075,0.5099772,2.225,2.6,3.6125,4.2125
5.5,2.4584916,2.425,2.2625,0.41075277,1.7375,2.0625,2.85,3.35
5.6,1.9392291,1.9125,1.8375,0.33126554,1.3625,1.6125,2.2625,2.6375
5.7,1.5246291,1.5,1.45,0.26689392,1.05,1.2625,1.775,2.1
5.8,1.1941062,1.175,1.2,0.21587971,0.8125,0.9875,1.4,1.675
5.9,0.9199229,0.9125,0.9,0.17372079,0.6125,0.75,1.0875,1.2875
6.0,0.73744166,0.725,0.7,0.14495207,0.475,0.6,0.875,1.05
6.1,0.5752208,0.5625,0.5625,0.12103244,0.3625,0.4625,0.6875,0.8375
6.2,0.46094376,0.45,0.425,0.1025888,0.2875,0.3625,0.5625,0.6875
6.3,0.36982083,0.3625,0.375,0.08778811,0.2125,0.2875,0.4625,0.5625
6.4,0.2946,0.2875,0.275,0.075441524,0.1625,0.225,0.3625,0.4625
6.5,0.23020625,0.225,0.2125,0.064721555,0.1125,0.1625,0.3,0.3625
6.6,0.18207917,0.175,0.1625,0.05554497,0.0875,0.125,0.2375,0.3
6.7,0.14137708,0.1375,0.1375,0.047184266,0.0625,0.1,0.1875,0.25
6.8,0.11249167,0.1125,0.1,0.040497717,0.0375,0.075,0.15,0.2
6.9,0.08928333,0.0875,0.0875,0.035072748,0.025,0.05,0.125,0.1625
7.0,0.07085,0.0625,0.0625,0.030351479,0.0125,0.0375,0.1,0.1375
7.1,0.054422915,0.05,0.05,0.026011888,0.0125,0.025,0.075,0.1125
7.2,0.041147918,0.0375,0.0375,0.022327574,0.0,0.025,0.0625,0.0875
7.3,0.032664582,0.025,0.025,0.019540025,0.0,0.0125,0.05,0.075
7.4,0.025391666,0.025,0.025,0.016900396,0.0,0.0125,0.0375,0.0625
7.5,0.01786875,0.0125,0.0125,0.013984208,0.0,0.0,0.0375,0.05
7.6,0.0133604165,0.0125,0.0125,0.0116429515,0.0,0.0,0.025,0.0375
7.7,0.009241667,0.0125,0.0,0.009501775,0.0,0.0,0.0125,0.025
7.8,0.00645625,0.0,0.0,0.007824171,0.0,0.0,0.0125,0.025
7.9,0.0035125,0.0,0.0,0.0059302785,0.0,0.0,0.0125,0.0125
8.0,0.0018541666,0.0,0.0,0.0044956943,0.0,0.0,0.0,0.0125
8.1,8.625E-4,0.0,0.0,0.0031930069,0.0,0.0,0.0,0.0125
8.2,3.5833335E-4,0.0,0.0,0.0020860224,0.0,0.0,0.0,0.0125
8.3,6.25E-5,0.0,0.0,8.817445E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
