Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
861,Airport Lake,0.04906,0.04883,0.0324
667,Almanor 2011 CFM,0.0,0.0,0.0
219,Anacapa-Dume alt 1,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0
845,Ash Hill,0.01234,0.01167,0.00228
881,Baker,3.1E-4,3.1E-4,8.0E-5
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0
158,Bicycle Lake,0.00162,0.00151,1.6E-4
741,Big Lagoon - Bald Mtn 2011 CFM,1.0E-5,1.0E-5,1.0E-5
192,Big Pine (Central),9.0E-5,8.0E-5,1.0E-5
191,Big Pine (East),5.0E-5,5.0E-5,0.0
200,Big Pine (West),0.0,0.0,0.0
87,Blackwater,0.01055,0.00998,0.00263
169,Blue Cut,1.0E-4,1.0E-4,3.0E-5
170,Brawley (Seismic Zone) alt 1,1.3E-4,1.3E-4,6.0E-5
541,Breckenridge 2011,0.0,0.0,0.0
882,Bullion Mountains,5.0E-5,5.0E-5,1.0E-5
94,Burnt Mtn,0.0,0.0,0.0
561,Butano 2011 CFM,0.0,0.0,0.0
165,Cady,4.4E-4,4.4E-4,1.0E-4
602,Calaveras (Central) 2011 CFM,3.0E-5,2.0E-5,1.0E-5
601,Calaveras (No) 2011 CFM,1.0E-5,1.0E-5,0.0
621,Calaveras (So) - Paicines extension 2011 CFM,4.0E-5,4.0E-5,0.0
603,Calaveras (So) 2011 CFM,4.0E-5,4.0E-5,0.0
88,Calico-Hidalgo,2.5E-4,2.3E-4,8.0E-5
724,Camp Rock 2011,8.0E-5,8.0E-5,1.0E-5
173,Canada David (Detachment),0.0,0.0,0.0
176,Carlsbad,0.0,0.0,0.0
721,Carson Range (Genoa),0.0,0.0,0.0
670,Casmalia 2011 CFM,0.0,0.0,0.0
34,Cedar Mtn-Mahogany Mtn,2.0E-5,2.0E-5,1.0E-5
172,Cerro Prieto,1.0E-5,1.0E-5,0.0
129,Channel Islands Thrust,4.0E-5,4.0E-5,0.0
214,Channel Islands Western Deep Ramp,4.0E-5,4.0E-5,1.0E-5
238,Chino alt 1,1.1E-4,1.1E-4,2.0E-5
124,Clamshell-Sawpit,0.0,0.0,0.0
844,Clayton,0.0,0.0,0.0
81,Cleghorn,3.0E-5,3.0E-5,0.0
884,Cleghorn Lake,1.4E-4,1.3E-4,1.0E-5
883,Cleghorn Pass,1.9E-4,1.7E-4,2.0E-5
582,Collayami 2011 CFM,0.0,0.0,0.0
