Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,3.4E-4,0.034,6.4634316E-4
667,Almanor 2011 CFM,0.00191,0.174,0.0032080284
219,Anacapa-Dume alt 1,2.0E-4,0.019,2.7066036E-4
197,Anaheim,1.1E-4,0.011,1.5264863E-4
722,Antelope Valley 2011,9.6E-4,0.091,0.0016513178
845,Ash Hill,9.7E-4,0.086,0.0011242339
881,Baker,1.7E-4,0.017,2.971852E-4
668,Bartlett Springs 2011 CFM,0.0023,0.214,0.0032548506
669,Battle Creek 2011 CFM,2.2E-4,0.022,3.1419643E-4
842,Bear River fault zone,6.8E-4,0.068,0.0012404737
581,Bennett Valley 2011 CFM,0.00132,0.13,0.0013300235
158,Bicycle Lake,0.0013,0.12,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,7.5E-4,0.071,9.757346E-4
192,Big Pine (Central),4.6E-4,0.045,7.7102927E-4
191,Big Pine (East),3.6E-4,0.036,5.174529E-4
200,Big Pine (West),9.0E-5,0.008,3.5641617E-5
87,Blackwater,0.00134,0.125,0.0016023546
169,Blue Cut,9.4E-4,0.09,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.01063,0.753,0.013392845
541,Breckenridge 2011,5.0E-5,0.005,5.9955266E-5
882,Bullion Mountains,6.7E-4,0.065,8.568014E-4
94,Burnt Mtn,5.3E-4,0.052,8.178091E-4
561,Butano 2011 CFM,3.0E-4,0.03,4.988888E-4
165,Cady,7.9E-4,0.075,0.0010379759
602,Calaveras (Central) 2011 CFM,0.00496,0.414,0.007856056
601,Calaveras (No) 2011 CFM,0.00164,0.162,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.00518,0.426,0.007935263
603,Calaveras (So) 2011 CFM,0.00541,0.464,0.00887066
88,Calico-Hidalgo,0.00182,0.168,0.0021344922
724,Camp Rock 2011,5.3E-4,0.053,8.719521E-4
173,Canada David (Detachment),9.0E-5,0.009,1.708136E-4
176,Carlsbad,1.9E-4,0.019,2.9338954E-4
721,Carson Range (Genoa),0.00141,0.135,0.0021533736
670,Casmalia 2011 CFM,1.6E-4,0.016,2.1761062E-4
34,Cedar Mtn-Mahogany Mtn,0.0012,0.1,0.0014486995
172,Cerro Prieto,0.01164,0.787,0.015186971
129,Channel Islands Thrust,0.00121,0.106,0.0011560944
214,Channel Islands Western Deep Ramp,4.7E-4,0.045,3.141864E-4
238,Chino alt 1,0.00158,0.145,0.002055848
124,Clamshell-Sawpit,1.1E-4,0.011,1.6712814E-4
844,Clayton,3.6E-4,0.036,5.955206E-4
81,Cleghorn,2.8E-4,0.028,4.1360638E-4
884,Cleghorn Lake,7.7E-4,0.071,8.0706173E-4
883,Cleghorn Pass,7.9E-4,0.069,5.4906996E-4
582,Collayami 2011 CFM,7.4E-4,0.07,0.0016240462
184,Compton,2.4E-4,0.024,5.5336126E-4
622,Concord 2011 CFM,0.00215,0.209,0.003020393
626,Contra Costa (Lafayette) 2011 CFM,2.4E-4,0.024,3.4727142E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,5.4E-4,0.053,6.8810565E-4
