Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,6.0E-5,0.006,7.597581E-5
667,Almanor 2011 CFM,0.0,0.0,0.0
219,Anacapa-Dume alt 1,1.4E-4,0.014,1.9134927E-4
197,Anaheim,1.0E-5,0.001,5.7360277E-5
722,Antelope Valley 2011,0.0,0.0,0.0
845,Ash Hill,0.0,0.0,0.0
881,Baker,3.0E-5,0.003,6.291715E-5
668,Bartlett Springs 2011 CFM,0.00112,0.111,0.0018742934
669,Battle Creek 2011 CFM,1.0E-4,0.01,1.3515844E-4
842,Bear River fault zone,1.4E-4,0.014,2.9906616E-4
581,Bennett Valley 2011 CFM,4.0E-5,0.004,6.4429725E-5
158,Bicycle Lake,0.0,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,3.7E-4,0.037,5.07167E-4
192,Big Pine (Central),1.0E-5,0.001,5.2561645E-5
191,Big Pine (East),8.0E-5,0.008,1.12041205E-4
200,Big Pine (West),4.0E-5,0.004,1.2352267E-5
87,Blackwater,1.0E-5,0.001,2.4725085E-5
169,Blue Cut,1.4E-4,0.014,2.0261868E-4
170,Brawley (Seismic Zone) alt 1,0.00392,0.382,0.003998075
541,Breckenridge 2011,2.0E-5,0.002,3.5571426E-5
882,Bullion Mountains,6.0E-5,0.006,1.7905983E-4
94,Burnt Mtn,0.0,0.0,0.0
561,Butano 2011 CFM,1.4E-4,0.014,2.904399E-4
165,Cady,3.0E-5,0.003,3.578345E-5
602,Calaveras (Central) 2011 CFM,0.00181,0.174,0.0029983001
601,Calaveras (No) 2011 CFM,8.5E-4,0.084,0.0014444471
621,Calaveras (So) - Paicines extension 2011 CFM,0.00149,0.144,0.0026019937
603,Calaveras (So) 2011 CFM,0.00153,0.149,0.0025435886
88,Calico-Hidalgo,7.1E-4,0.069,7.6611905E-4
724,Camp Rock 2011,1.8E-4,0.018,2.8771404E-4
173,Canada David (Detachment),6.0E-5,0.006,1.2774584E-4
176,Carlsbad,6.0E-5,0.006,1.3081725E-4
721,Carson Range (Genoa),2.1E-4,0.021,3.9994184E-4
670,Casmalia 2011 CFM,1.0E-4,0.01,1.2043807E-4
34,Cedar Mtn-Mahogany Mtn,1.0E-5,0.001,2.6622296E-5
172,Cerro Prieto,0.00313,0.299,0.0048668785
129,Channel Islands Thrust,4.6E-4,0.046,4.5156674E-4
214,Channel Islands Western Deep Ramp,3.3E-4,0.032,2.463987E-4
238,Chino alt 1,6.0E-5,0.006,9.32119E-5
124,Clamshell-Sawpit,5.0E-5,0.005,9.479168E-5
844,Clayton,9.0E-5,0.009,1.08032815E-4
81,Cleghorn,7.0E-5,0.007,1.4745536E-4
884,Cleghorn Lake,2.0E-5,0.002,8.0133614E-5
