Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.280336,6.0,5.0,6.1866984,1.0,3.0,10.0,20.0
4.0,7.280336,6.5,6.0,3.492111,3.25,4.75,9.5,16.5
8.0,7.2787848,6.75,6.125,2.5998967,4.125,5.25,9.125,14.375
12.0,7.2778406,6.8333335,6.1666665,2.1740549,4.4166665,5.5,8.916667,13.0
16.0,7.2787848,6.875,6.625,1.9139254,4.6875,5.625,8.875,12.3125
20.0,7.280336,6.95,6.4,1.736814,4.85,5.8,8.75,11.7
24.0,7.2782736,7.0,6.5416665,1.5921823,5.0,5.875,8.666667,11.333333
28.0,7.276946,7.0,6.785714,1.4830804,5.107143,5.928571,8.607142,10.928572
32.0,7.2782736,7.03125,6.59375,1.3920432,5.21875,6.0,8.5625,10.71875
36.0,7.274893,7.0555553,6.611111,1.3097978,5.3055553,6.0833335,8.472222,10.416667
40.0,7.2782736,7.1,6.7,1.2347381,5.35,6.125,8.4,10.275
44.0,7.2768536,7.1136365,6.7727275,1.1832075,5.3863635,6.159091,8.409091,10.090909
48.0,7.2782736,7.1041665,6.6041665,1.139004,5.5,6.2291665,8.354167,9.9375
52.0,7.274893,7.1153846,6.9423075,1.0903186,5.5384617,6.230769,8.326923,9.884615
56.0,7.2706394,7.125,6.839286,1.0542334,5.535714,6.285714,8.267858,9.803572
60.0,7.2782736,7.15,7.116667,1.0077513,5.65,6.3166666,8.233334,9.633333
64.0,7.2706394,7.140625,6.90625,0.9855213,5.640625,6.328125,8.234375,9.53125
68.0,7.276946,7.2058825,6.720588,0.9509112,5.7058825,6.352941,8.205882,9.411765
72.0,7.2647967,7.1666665,6.3333335,0.924824,5.736111,6.375,8.138889,9.402778
76.0,7.272065,7.1710525,7.394737,0.90404105,5.763158,6.394737,8.131579,9.342105
80.0,7.2782736,7.2,6.6875,0.8594732,5.8375,6.4375,8.1375,9.225
84.0,7.263619,7.1666665,7.202381,0.8475009,5.8809524,6.4404764,8.083333,9.202381
88.0,7.268704,7.181818,7.0795455,0.8195363,5.840909,6.465909,8.056818,9.034091
92.0,7.273907,7.1847825,7.5108695,0.807763,5.902174,6.4891305,8.076087,9.01087
96.0,7.2782736,7.2291665,6.59375,0.7860712,5.9375,6.5104165,8.0625,8.9375
100.0,7.280336,7.23,7.66,0.7633306,5.97,6.53,8.06,9.01
200.0,7.2582283,7.24,7.39,0.5278586,6.29,6.735,7.775,8.325
300.0,7.207778,7.213333,7.483333,0.39820945,6.46,6.7766666,7.596667,8.026667
400.0,7.2582283,7.235,7.295,0.34968495,6.5775,6.9225,7.61,7.9925
500.0,7.280336,7.256,7.15,0.30842116,6.73,6.954,7.58,7.934
