Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.2833023,7.035714,6.785714,1.4646444,5.142857,5.964286,8.607142,10.892858
5.1,5.7604833,5.571429,5.214286,1.1822495,4.0,4.678571,6.821429,8.678572
5.2,4.555689,4.392857,4.142857,0.95752597,3.107143,3.6785715,5.428571,6.857143
5.3,3.597229,3.5,3.2142856,0.7765452,2.392857,2.892857,4.321429,5.464286
5.4,2.8345442,2.75,2.642857,0.63173866,1.8214285,2.25,3.4285715,4.321429
5.5,2.2299075,2.1785715,1.9642857,0.513633,1.3928572,1.75,2.7142856,3.4285715
5.6,1.7490042,1.7142857,1.6428572,0.4193336,1.0357143,1.3571428,2.142857,2.7142856
5.7,1.36629,1.3214285,1.2857143,0.3432433,0.78571427,1.0357143,1.6785715,2.142857
5.8,1.0626891,1.0357143,1.0357143,0.28163478,0.5714286,0.78571427,1.3214285,1.7142857
5.9,0.81059456,0.78571427,0.78571427,0.22963186,0.42857143,0.5714286,1.0357143,1.3214285
6.0,0.64217645,0.64285713,0.60714287,0.19351257,0.32142857,0.4642857,0.8214286,1.0714285
6.1,0.49418277,0.4642857,0.4642857,0.16358018,0.21428572,0.32142857,0.64285713,0.85714287
6.2,0.389771,0.39285713,0.35714287,0.13934153,0.14285715,0.25,0.53571427,0.6785714
6.3,0.3077395,0.2857143,0.2857143,0.120587125,0.10714286,0.17857143,0.42857143,0.5714286
6.4,0.23983824,0.21428572,0.21428572,0.10402148,0.071428575,0.14285715,0.35714287,0.4642857
6.5,0.18443908,0.17857143,0.14285715,0.08935811,0.035714287,0.10714286,0.2857143,0.39285713
6.6,0.1430273,0.14285715,0.10714286,0.07695202,0.035714287,0.071428575,0.21428572,0.32142857
6.7,0.109405465,0.10714286,0.10714286,0.06631271,0.0,0.035714287,0.17857143,0.25
6.8,0.08563025,0.071428575,0.071428575,0.057888087,0.0,0.035714287,0.14285715,0.21428572
6.9,0.06646008,0.071428575,0.035714287,0.050515044,0.0,0.0,0.10714286,0.17857143
7.0,0.05161765,0.035714287,0.035714287,0.044117197,0.0,0.0,0.10714286,0.14285715
7.1,0.03897059,0.035714287,0.035714287,0.0382148,0.0,0.0,0.071428575,0.14285715
7.2,0.029117648,0.035714287,0.0,0.032699272,0.0,0.0,0.071428575,0.10714286
7.3,0.02272479,0.0,0.0,0.02848838,0.0,0.0,0.035714287,0.10714286
7.4,0.017407563,0.0,0.0,0.024706842,0.0,0.0,0.035714287,0.071428575
7.5,0.012306723,0.0,0.0,0.020665215,0.0,0.0,0.035714287,0.071428575
7.6,0.009119748,0.0,0.0,0.017698366,0.0,0.0,0.035714287,0.035714287
7.7,0.0063907565,0.0,0.0,0.014806254,0.0,0.0,0.035714287,0.035714287
7.8,0.004432773,0.0,0.0,0.012262845,0.0,0.0,0.0,0.035714287
7.9,0.002422269,0.0,0.0,0.0090883365,0.0,0.0,0.0,0.035714287
8.0,0.0013235294,0.0,0.0,0.0067579527,0.0,0.0,0.0,0.035714287
8.1,6.0504203E-4,0.0,0.0,0.0046091015,0.0,0.0,0.0,0.0
8.2,2.3529412E-4,0.0,0.0,0.0028893752,0.0,0.0,0.0,0.0
8.3,6.302521E-5,0.0,0.0,0.0014990198,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
