Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,2.4793387E-4,0.024793388
667,Almanor 2011 CFM,5.4309325E-4,0.054309327
219,Anacapa-Dume alt 1,9.4451E-5,0.0094451
197,Anaheim,1.1806375E-5,0.0011806375
722,Antelope Valley 2011,5.076741E-4,0.049586777
845,Ash Hill,2.5974025E-4,0.025974026
881,Baker,5.9031878E-5,0.0059031877
668,Bartlett Springs 2011 CFM,0.0019716646,0.18654074
669,Battle Creek 2011 CFM,1.2987012E-4,0.012987013
842,Bear River fault zone,4.2502952E-4,0.04250295
581,Bennett Valley 2011 CFM,5.548996E-4,0.055489965
158,Bicycle Lake,4.2502952E-4,0.04250295
741,Big Lagoon - Bald Mtn 2011 CFM,9.090909E-4,0.08736718
192,Big Pine (Central),8.264463E-5,0.008264462
191,Big Pine (East),2.0070838E-4,0.020070838
200,Big Pine (West),1.1806375E-5,0.0011806375
87,Blackwater,1.7709563E-4,0.017709563
169,Blue Cut,3.305785E-4,0.03305785
170,Brawley (Seismic Zone) alt 1,0.00729634,0.6044864
541,Breckenridge 2011,2.361275E-5,0.002361275
882,Bullion Mountains,3.1877213E-4,0.031877212
94,Burnt Mtn,2.7154663E-4,0.027154664
561,Butano 2011 CFM,2.0070838E-4,0.020070838
165,Cady,1.2987012E-4,0.012987013
602,Calaveras (Central) 2011 CFM,0.0027863046,0.25029516
601,Calaveras (No) 2011 CFM,0.0015348288,0.14994097
621,Calaveras (So) - Paicines extension 2011 CFM,0.0029988193,0.27508855
603,Calaveras (So) 2011 CFM,0.002325856,0.22550178
88,Calico-Hidalgo,7.55608E-4,0.07201889
724,Camp Rock 2011,2.83353E-4,0.028335301
173,Canada David (Detachment),4.72255E-5,0.00472255
176,Carlsbad,1.6528925E-4,0.016528925
721,Carson Range (Genoa),8.9728454E-4,0.08854782
670,Casmalia 2011 CFM,1.5348288E-4,0.015348288
34,Cedar Mtn-Mahogany Mtn,2.3612751E-4,0.0188902
172,Cerro Prieto,0.009893742,0.72491145
129,Channel Islands Thrust,0.0012514758,0.11216056
214,Channel Islands Western Deep Ramp,4.0141676E-4,0.040141676
238,Chino alt 1,4.7225502E-4,0.046044864
124,Clamshell-Sawpit,1.2987012E-4,0.012987013
844,Clayton,2.0070838E-4,0.020070838
81,Cleghorn,2.0070838E-4,0.020070838
884,Cleghorn Lake,4.1322314E-4,0.040141676
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,9.4451E-5,0.0094451
184,Compton,2.3612751E-4,0.02361275
622,Concord 2011 CFM,0.0010271546,0.10153483
626,Contra Costa (Lafayette) 2011 CFM,2.7154663E-4,0.027154664
633,Contra Costa Shear Zone (connector) 2011 CFM,3.5419126E-4,0.035419125
776,Coronado Bank alt1,8.264463E-4,0.08028335
157,Coyote Canyon,9.917355E-4,0.08618654
163,Coyote Lake,7.083825E-4,0.068476975
125,Cucamonga,2.83353E-4,0.028335301
894,Davis Creek,8.264463E-5,0.008264462
245,Death Valley (Black Mtns Frontal),4.9586775E-4,0.049586777
45,Death Valley (Fish Lake Valley),7.083825E-4,0.06965762
46,Death Valley (No),6.8476977E-4,0.068476975
246,Death Valley (So),8.618654E-4,0.08382527
51,Deep Springs,6.729634E-4,0.06729634
230,Del Valle,2.1251476E-4,0.021251475
889,Dog Valley,1.18063756E-4,0.011806375
888,Dry Mountain,1.2987012E-4,0.012987013
249,Earthquake Valley,6.3754426E-4,0.063754424
255,Earthquake Valley (No  Extension),6.729634E-4,0.06729634
256,Earthquake Valley (So Extension),4.840614E-4,0.04840614
671,East Huasna 2011 CFM,2.361275E-5,0.002361275
672,Eaton Roughs 2011 CFM,0.0019362456,0.17237309
96,Elmore Ranch,9.799291E-4,0.09799292
103,Elsinore (Coyote Mountains),3.1877213E-4,0.031877212
296,Elsinore (Glen Ivy) rev,0.0011806375,0.10743801
102,Elsinore (Julian),2.83353E-4,0.028335301
402,Elsinore (Stepovers Combined),5.548996E-4,0.054309327
299,Elsinore (Temecula) rev,3.896104E-4,0.0377804
196,Elysian Park (Lower CFM),2.361275E-5,0.002361275
146,Elysian Park (Upper),6.4935064E-4,0.061393153
90,Emerson-Copper Mtn 2011,5.076741E-4,0.049586777
95,Eureka Peak,0.0,0.0
20,Fickle Hill (alt1),2.1251476E-4,0.021251475
698,Fish Slough 2011 CFM,1.18063756E-4,0.011806375
893,Fitzhugh Creek,4.72255E-5,0.0035419127
204,Fontana (Seismicity),1.0625738E-4,0.010625738
634,Franklin 2011 CFM,3.77804E-4,0.0377804
699,Garberville - Briceland 2011 CFM,0.0014639905,0.1416765
159,Garlic Springs,2.1251476E-4,0.021251475
