Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.8057823,7.6728396,7.919753,1.0774963,6.234568,6.8271604,8.722222,10.222222
5.1,6.1746297,6.067901,5.5,0.85064393,4.9012346,5.376543,6.882716,8.018518
5.2,4.8822513,4.796296,4.839506,0.67319936,3.8703704,4.2530866,5.4691358,6.240741
5.3,3.8554556,3.7901235,3.6234567,0.53313744,3.0308642,3.3703704,4.3024693,4.9382715
5.4,3.0351074,2.993827,3.0555556,0.42133546,2.3703704,2.6358025,3.3888888,3.925926
5.5,2.3854828,2.3395061,2.1851852,0.3330601,1.8518518,2.074074,2.654321,3.0925925
5.6,1.87187,1.845679,1.8395061,0.25954884,1.4444444,1.6234568,2.0864198,2.4012346
5.7,1.4590105,1.4444444,1.3703704,0.20323594,1.1234568,1.2592592,1.6481482,1.8765432
5.8,1.1332566,1.1234568,1.1666666,0.15734577,0.8703704,0.9814815,1.2654321,1.4691358
5.9,0.8619539,0.8518519,0.8518519,0.11947722,0.66049385,0.7407407,0.9691358,1.1172839
6.0,0.68147683,0.6728395,0.63580245,0.095783725,0.5185185,0.58641976,0.7777778,0.8765432
6.1,0.5236335,0.52469134,0.4814815,0.075433694,0.37654322,0.44444445,0.59876543,0.67901236
6.2,0.41384763,0.41358024,0.41358024,0.063187964,0.29012346,0.35185185,0.4814815,0.5308642
6.3,0.3258585,0.32098764,0.3148148,0.051361177,0.2345679,0.27160493,0.37654322,0.42592594
6.4,0.25556254,0.25308642,0.25308642,0.043237787,0.17283951,0.21604939,0.2962963,0.33950618
6.5,0.1963335,0.19753087,0.20987654,0.037804592,0.12962963,0.16049382,0.2345679,0.2777778
6.6,0.15268187,0.15432099,0.14197531,0.03212603,0.09259259,0.11728395,0.18518518,0.21604939
6.7,0.118016325,0.11728395,0.09876543,0.02778428,0.06790123,0.09259259,0.14814815,0.17283951
6.8,0.09312734,0.09259259,0.086419754,0.023473358,0.049382716,0.074074075,0.11728395,0.14814815
6.9,0.07345796,0.074074075,0.06790123,0.019996373,0.037037037,0.055555556,0.09259259,0.11728395
7.0,0.05742717,0.055555556,0.055555556,0.016886262,0.024691358,0.037037037,0.074074075,0.09259259
7.1,0.043895748,0.043209877,0.043209877,0.015201975,0.012345679,0.030864198,0.061728396,0.074074075
7.2,0.033189185,0.030864198,0.024691358,0.012799347,0.012345679,0.018518519,0.043209877,0.061728396
7.3,0.026051475,0.024691358,0.018518519,0.011091748,0.0061728396,0.018518519,0.037037037,0.049382716
7.4,0.020041386,0.018518519,0.018518519,0.009766309,0.0061728396,0.012345679,0.030864198,0.037037037
7.5,0.014531166,0.012345679,0.012345679,0.008068199,0.0,0.0061728396,0.024691358,0.030864198
7.6,0.011125061,0.012345679,0.012345679,0.0067632683,0.0,0.0061728396,0.018518519,0.024691358
7.7,0.007707331,0.0061728396,0.0061728396,0.005515856,0.0,0.0,0.012345679,0.018518519
7.8,0.0051265955,0.0061728396,0.0061728396,0.004587672,0.0,0.0,0.012345679,0.012345679
7.9,0.0028248588,0.0,0.0,0.0034316224,0.0,0.0,0.0061728396,0.0061728396
8.0,0.0016623654,0.0,0.0,0.0028184338,0.0,0.0,0.0061728396,0.0061728396
8.1,8.60245E-4,0.0,0.0,0.0021398028,0.0,0.0,0.0,0.0061728396
8.2,4.7662226E-4,0.0,0.0,0.0016492624,0.0,0.0,0.0,0.0061728396
8.3,1.2787427E-4,0.0,0.0,8.800307E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
