Parent ID,Parent Name,Total Mean Annual Rate,Total 1000 Year Prob
861,Airport Lake,0.0,0.0
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,6.1E-5,0.061
197,Anaheim,1.0E-6,0.001
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,2.4E-5,0.024
668,Bartlett Springs 2011 CFM,8.13E-4,0.602
669,Battle Creek 2011 CFM,0.0,0.0
842,Bear River fault zone,0.0,0.0
581,Bennett Valley 2011 CFM,1.9E-5,0.019
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,2.49E-4,0.243
192,Big Pine (Central),2.2E-5,0.022
191,Big Pine (East),7.3E-5,0.071
200,Big Pine (West),0.0,0.0
87,Blackwater,0.0,0.0
169,Blue Cut,0.0,0.0
170,Brawley (Seismic Zone) alt 1,0.001826,0.907
541,Breckenridge 2011,4.0E-6,0.004
882,Bullion Mountains,0.0,0.0
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,1.49E-4,0.141
165,Cady,0.0,0.0
602,Calaveras (Central) 2011 CFM,7.15E-4,0.541
601,Calaveras (No) 2011 CFM,1.17E-4,0.114
621,Calaveras (So) - Paicines extension 2011 CFM,7.3E-4,0.534
603,Calaveras (So) 2011 CFM,6.46E-4,0.494
88,Calico-Hidalgo,1.65E-4,0.165
724,Camp Rock 2011,1.6E-5,0.016
173,Canada David (Detachment),0.0,0.0
176,Carlsbad,1.5E-5,0.015
721,Carson Range (Genoa),0.0,0.0
670,Casmalia 2011 CFM,6.6E-5,0.066
34,Cedar Mtn-Mahogany Mtn,0.0,0.0
172,Cerro Prieto,0.0,0.0
129,Channel Islands Thrust,5.3E-5,0.051
214,Channel Islands Western Deep Ramp,5.9E-5,0.058
238,Chino alt 1,4.2E-5,0.042
124,Clamshell-Sawpit,1.8E-5,0.018
844,Clayton,4.0E-6,0.004
81,Cleghorn,8.4E-5,0.082
884,Cleghorn Lake,0.0,0.0
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0
184,Compton,6.8E-5,0.066
622,Concord 2011 CFM,1.03E-4,0.1
626,Contra Costa (Lafayette) 2011 CFM,3.3E-5,0.032
633,Contra Costa Shear Zone (connector) 2011 CFM,4.0E-5,0.039
776,Coronado Bank alt1,2.0E-6,0.002
157,Coyote Canyon,0.0,0.0
163,Coyote Lake,0.0,0.0
125,Cucamonga,2.07E-4,0.195
