Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,8.580552,7.0,5.0,8.933528,1.0,3.0,12.0,29.0
4.0,8.580552,7.25,6.0,5.0650935,3.5,5.0,11.5,22.75
8.0,8.580552,7.625,6.625,3.7663844,4.25,5.625,11.25,19.0
12.0,8.580829,7.8333335,7.0833335,3.1524107,4.6666665,6.0,11.166667,17.083334
16.0,8.581483,7.9375,7.25,2.765453,5.0,6.1875,11.0,15.8125
20.0,8.580552,8.05,7.6,2.4888687,5.2,6.35,10.8,14.95
24.0,8.581031,8.125,7.4166665,2.2874386,5.375,6.5,10.666667,14.333333
28.0,8.58182,8.178572,7.75,2.1217108,5.535714,6.607143,10.571428,13.785714
32.0,8.581483,8.25,7.53125,1.989987,5.65625,6.71875,10.46875,13.4375
36.0,8.580689,8.277778,7.75,1.872953,5.7777777,6.8055553,10.416667,13.0
40.0,8.580552,8.325,7.8,1.7744231,5.85,6.875,10.3,12.75
44.0,8.580989,8.340909,7.840909,1.6877732,5.931818,6.9545455,10.227273,12.5
48.0,8.579754,8.354167,8.166667,1.6147885,6.0208335,7.0,10.166667,12.270833
52.0,8.581786,8.384615,8.480769,1.5509889,6.1153846,7.076923,10.115385,12.115385
56.0,8.580278,8.410714,8.035714,1.4774975,6.196429,7.142857,10.053572,11.910714
60.0,8.579754,8.416667,8.2,1.4234539,6.25,7.2,9.983334,11.766666
64.0,8.579754,8.4375,8.578125,1.3746041,6.3125,7.21875,9.953125,11.578125
68.0,8.580278,8.455882,7.8235292,1.3268229,6.352941,7.2647057,9.8970585,11.470589
72.0,8.582244,8.472222,8.277778,1.2931885,6.4166665,7.3194447,9.847222,11.402778
76.0,8.581786,8.486842,8.210526,1.2444243,6.4605265,7.3421054,9.815789,11.263158
80.0,8.579754,8.4875,8.5125,1.2153428,6.525,7.375,9.7875,11.2125
84.0,8.581346,8.488095,8.011905,1.1773145,6.535714,7.428571,9.75,11.142858
88.0,8.580989,8.5,8.579545,1.1430323,6.5795455,7.4545455,9.727273,11.022727
92.0,8.581305,8.5,8.304348,1.1224583,6.619565,7.4565215,9.695652,10.956522
96.0,8.579754,8.510417,8.84375,1.0880711,6.6875,7.4895835,9.666667,10.916667
100.0,8.580552,8.53,8.25,1.0538942,6.71,7.53,9.64,10.78
200.0,8.580552,8.545,8.475,0.6869131,7.33,7.905,9.26,9.985
300.0,8.582465,8.583333,8.623333,0.5497238,7.51,8.023334,9.12,9.683333
400.0,8.585639,8.585,8.595,0.46723524,7.66,8.1325,9.0575,9.475
500.0,8.580552,8.584,8.428,0.40103087,7.79,8.198,8.98,9.35
600.0,8.615514,8.631667,8.66,0.3574745,7.905,8.28,8.965,9.288333
700.0,8.599462,8.607142,8.914286,0.3362978,7.9,8.268572,8.935715,9.221429
800.0,8.585639,8.59375,8.60125,0.31719527,7.91375,8.27125,8.90125,9.18125
900.0,8.582465,8.593333,8.62,0.30177572,7.9466667,8.295555,8.887777,9.132222
1000.0,8.580552,8.592,8.819,0.28859344,7.981,8.294,8.862,9.121
