Parent ID,Parent Name,Total Mean Annual Rate,Total 1000 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,3.27E-4,0.299,6.4634316E-4
667,Almanor 2011 CFM,0.002382,0.905,0.0032080284
219,Anacapa-Dume alt 1,1.66E-4,0.165,2.7066036E-4
197,Anaheim,1.12E-4,0.109,1.5264863E-4
722,Antelope Valley 2011,9.43E-4,0.666,0.0016513178
845,Ash Hill,0.001089,0.713,0.0011242339
881,Baker,2.34E-4,0.216,2.971852E-4
668,Bartlett Springs 2011 CFM,0.002954,0.967,0.0032548506
669,Battle Creek 2011 CFM,1.68E-4,0.16,3.1419643E-4
842,Bear River fault zone,7.99E-4,0.592,0.0012404737
581,Bennett Valley 2011 CFM,0.001305,0.824,0.0013300235
158,Bicycle Lake,0.001192,0.78,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,9.12E-4,0.591,9.757346E-4
192,Big Pine (Central),7.93E-4,0.589,7.7102927E-4
191,Big Pine (East),6.41E-4,0.544,5.174529E-4
200,Big Pine (West),3.1E-5,0.031,3.5641617E-5
87,Blackwater,0.001225,0.711,0.0016023546
169,Blue Cut,9.21E-4,0.632,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.012462,1.0,0.013392845
541,Breckenridge 2011,2.1E-5,0.021,5.9955266E-5
882,Bullion Mountains,5.65E-4,0.484,8.568014E-4
94,Burnt Mtn,4.99E-4,0.46,8.178091E-4
561,Butano 2011 CFM,6.11E-4,0.504,4.988888E-4
165,Cady,8.5E-4,0.623,0.0010379759
602,Calaveras (Central) 2011 CFM,0.007874,1.0,0.007856056
601,Calaveras (No) 2011 CFM,0.002783,0.986,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.007939,1.0,0.007935263
603,Calaveras (So) 2011 CFM,0.007921,1.0,0.00887066
88,Calico-Hidalgo,0.001501,0.821,0.0021344922
724,Camp Rock 2011,3.22E-4,0.297,8.719521E-4
173,Canada David (Detachment),1.04E-4,0.104,1.708136E-4
176,Carlsbad,2.39E-4,0.216,2.9338954E-4
721,Carson Range (Genoa),0.001473,0.805,0.0021533736
670,Casmalia 2011 CFM,1.86E-4,0.175,2.1761062E-4
34,Cedar Mtn-Mahogany Mtn,0.001248,0.617,0.0014486995
172,Cerro Prieto,0.017217,1.0,0.015186971
129,Channel Islands Thrust,0.001206,0.746,0.0011560944
214,Channel Islands Western Deep Ramp,4.14E-4,0.362,3.141864E-4
238,Chino alt 1,0.002441,0.963,0.002055848
124,Clamshell-Sawpit,1.44E-4,0.14,1.6712814E-4
844,Clayton,4.0E-4,0.361,5.955206E-4
81,Cleghorn,4.67E-4,0.409,4.1360638E-4
884,Cleghorn Lake,9.08E-4,0.606,8.0706173E-4
883,Cleghorn Pass,7.69E-4,0.571,5.4906996E-4
