Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",877,7.1,877,7.1,0.036,0.000,0.036,0.000,5.612,0.000
Little Lake,"327, 90, 180",287,5.5,288,7.1,1.937,0.000,11.284,0.000,13.471,1.469
Garlock (Central),"70, 90, 0",120,5.01,121,7.1,0.225,0.000,5.600,0.000,22.802,10.829
So Sierra Nevada,"2, 50, -90",101,4.62,101,4.62,1.134,0.000,4.248,4.233,16.191,15.188
Ash Hill,"162, 90, 180",20,3.57,20,3.57,0.088,0.000,34.883,23.252,35.808,25.242
Panamint Valley,"334, 90, -150",16,3.57,16,3.57,6.249,0.000,29.583,17.627,34.539,22.615
Blackwater,"326, 90, 180",2,3.54,2,3.54,5.396,0.000,14.394,8.726,29.661,27.718
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,9.015,9.011,17.243,17.072
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.696,3.696,39.627,39.626,58.680,58.391
Owens Valley,"347, 90, 180",0,,0,,13.143,12.581,49.013,48.524,68.299,66.819
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,28.750,27.702,36.559,32.668
Lenwood-Lockhart-Old Woman Springs,"303, 90, 180",0,,0,,18.221,16.222,53.532,41.707,59.689,48.512
Garlock (West),"52, 90, 0",0,,0,,18.439,18.373,63.115,60.529,66.426,62.627
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,23.045,11.043,36.147,26.349,50.134,42.809
Towne Pass,"184, 50, -90",0,,0,,23.917,23.858,52.561,52.559,59.662,59.451
Goldstone Lake,"314, 90, 180",0,,0,,28.405,17.134,40.122,34.141,57.026,52.630
McLean Lake,"104, 90, 0",0,,0,,28.565,24.208,37.870,37.581,54.212,51.493
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.420,42.265,42.201,45.679,43.721
Hunter Mountain-Saline Valley,"311, 90, -150",0,,0,,44.060,33.399,67.276,56.143,77.497,67.795
