Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.749132,7.4375,6.575,1.6017861,5.675,6.4,9.0875,11.6125
5.1,6.1255755,5.875,5.6,1.2702177,4.45,5.0625,7.1625,9.1375
5.2,4.8417125,4.6375,4.35,1.0036147,3.475,4.0125,5.7,7.225
5.3,3.8208973,3.675,3.4875,0.78832275,2.7625,3.1375,4.475,5.625
5.4,3.0112665,2.9,2.5625,0.6191814,2.1625,2.4625,3.5375,4.4625
5.5,2.3679185,2.275,2.15,0.4899978,1.6875,1.9375,2.775,3.525
5.6,1.8540661,1.7875,1.8125,0.38345835,1.3125,1.5125,2.175,2.7625
5.7,1.4457967,1.4,1.25,0.2972013,1.0125,1.175,1.7125,2.125
5.8,1.118823,1.0875,0.9875,0.22871286,0.7625,0.9,1.325,1.65
5.9,0.8529331,0.8375,0.875,0.17244904,0.575,0.6875,1.0125,1.25
6.0,0.6762244,0.6625,0.6,0.13835269,0.45,0.5375,0.8125,0.9875
6.1,0.51953584,0.5125,0.4875,0.111902826,0.325,0.4125,0.625,0.7625
6.2,0.40933844,0.4,0.375,0.09288939,0.2375,0.3125,0.5,0.6125
6.3,0.32237756,0.3125,0.275,0.07774099,0.1875,0.25,0.4,0.4875
6.4,0.2530976,0.25,0.2625,0.066136,0.1375,0.1875,0.3125,0.4
6.5,0.19683845,0.2,0.2,0.055967588,0.1,0.1375,0.25,0.325
6.6,0.15390168,0.15,0.1375,0.048185956,0.075,0.1125,0.2,0.2625
6.7,0.11800073,0.1125,0.1125,0.040762838,0.05,0.075,0.1625,0.2125
6.8,0.09313779,0.0875,0.0875,0.035388812,0.0375,0.0625,0.125,0.175
6.9,0.072459795,0.075,0.0625,0.030569129,0.025,0.0375,0.1,0.1375
7.0,0.05656981,0.05,0.05,0.026670387,0.0125,0.025,0.0875,0.1125
7.1,0.04293677,0.0375,0.0375,0.022915596,0.0,0.025,0.0625,0.0875
7.2,0.032118056,0.025,0.025,0.019325338,0.0,0.0125,0.05,0.075
7.3,0.025411185,0.025,0.025,0.01681448,0.0,0.0125,0.0375,0.0625
7.4,0.019873904,0.0125,0.0125,0.014608009,0.0,0.0,0.0375,0.05
7.5,0.014373172,0.0125,0.0125,0.01253324,0.0,0.0,0.025,0.0375
7.6,0.010681652,0.0125,0.0125,0.0104645435,0.0,0.0,0.025,0.0375
7.7,0.0077119884,0.0,0.0,0.008824511,0.0,0.0,0.0125,0.025
7.8,0.0052083335,0.0,0.0,0.0070796297,0.0,0.0,0.0125,0.025
7.9,0.0029057018,0.0,0.0,0.005431278,0.0,0.0,0.0125,0.0125
8.0,0.0017635234,0.0,0.0,0.0044051204,0.0,0.0,0.0,0.0125
8.1,7.8581873E-4,0.0,0.0,0.0030351207,0.0,0.0,0.0,0.0125
8.2,3.7463452E-4,0.0,0.0,0.0021321124,0.0,0.0,0.0,0.0125
8.3,7.3099414E-5,0.0,0.0,9.534483E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
