Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,1.88E-4,0.094,3.6484736E-4
667,Almanor 2011 CFM,5.22E-4,0.241,8.740102E-4
219,Anacapa-Dume alt 1,1.82E-4,0.089,2.7066036E-4
197,Anaheim,2.2E-5,0.011,5.9406997E-5
722,Antelope Valley 2011,4.56E-4,0.221,9.4100233E-4
845,Ash Hill,2.64E-4,0.127,3.6325454E-4
881,Baker,8.4E-5,0.042,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.001594,0.627,0.0027160519
669,Battle Creek 2011 CFM,1.62E-4,0.079,3.1419643E-4
842,Bear River fault zone,3.52E-4,0.169,6.516702E-4
581,Bennett Valley 2011 CFM,5.2E-4,0.252,6.565412E-4
158,Bicycle Lake,2.76E-4,0.137,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,6.98E-4,0.306,9.757346E-4
192,Big Pine (Central),1.18E-4,0.059,1.4073562E-4
191,Big Pine (East),2.92E-4,0.141,2.5185442E-4
200,Big Pine (West),2.6E-5,0.013,1.6456292E-5
87,Blackwater,1.98E-4,0.098,3.0697847E-4
169,Blue Cut,3.18E-4,0.152,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.007864,1.0,0.009075132
541,Breckenridge 2011,1.6E-5,0.008,5.5550227E-5
882,Bullion Mountains,3.32E-4,0.166,5.3453795E-4
94,Burnt Mtn,3.6E-4,0.18,7.1063195E-4
561,Butano 2011 CFM,3.18E-4,0.144,4.0039053E-4
165,Cady,2.06E-4,0.103,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.004702,0.95,0.0054784776
601,Calaveras (No) 2011 CFM,0.002048,0.744,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.004586,0.942,0.0050596413
603,Calaveras (So) 2011 CFM,0.003766,0.917,0.0043864697
88,Calico-Hidalgo,7.36E-4,0.333,0.001058555
724,Camp Rock 2011,1.1E-4,0.054,4.1653516E-4
173,Canada David (Detachment),6.8E-5,0.034,1.708136E-4
176,Carlsbad,1.12E-4,0.055,2.0807843E-4
721,Carson Range (Genoa),6.98E-4,0.325,0.001339816
670,Casmalia 2011 CFM,1.48E-4,0.071,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,2.38E-4,0.115,3.803875E-4
172,Cerro Prieto,0.011534,1.0,0.013091409
129,Channel Islands Thrust,0.00101,0.406,0.0011560944
214,Channel Islands Western Deep Ramp,3.06E-4,0.15,3.141864E-4
238,Chino alt 1,5.48E-4,0.251,6.7926216E-4
124,Clamshell-Sawpit,8.0E-5,0.04,1.3494818E-4
844,Clayton,2.66E-4,0.131,3.7555463E-4
81,Cleghorn,1.82E-4,0.09,2.2669137E-4
884,Cleghorn Lake,4.24E-4,0.192,4.888226E-4
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,9.0E-5,0.045,1.8422506E-4
184,Compton,2.58E-4,0.124,5.5336126E-4
622,Concord 2011 CFM,0.001114,0.452,0.001544427
626,Contra Costa (Lafayette) 2011 CFM,1.94E-4,0.095,3.4471598E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,2.58E-4,0.126,4.4313556E-4
776,Coronado Bank alt1,7.26E-4,0.337,0.0012790463
157,Coyote Canyon,6.74E-4,0.309,7.693753E-4
163,Coyote Lake,4.6E-4,0.214,7.4040337E-4
125,Cucamonga,3.66E-4,0.177,6.1043387E-4
894,Davis Creek,5.4E-5,0.027,1.2964533E-4
245,Death Valley (Black Mtns Frontal),3.9E-4,0.193,8.095886E-4
45,Death Valley (Fish Lake Valley),5.86E-4,0.277,0.0012757132
46,Death Valley (No),4.82E-4,0.234,9.5837284E-4
246,Death Valley (So),8.24E-4,0.368,0.001041639
51,Deep Springs,5.22E-4,0.256,8.969784E-4
230,Del Valle,1.48E-4,0.074,3.720021E-4
889,Dog Valley,1.1E-4,0.055,2.328282E-4
888,Dry Mountain,6.6E-5,0.033,1.4885848E-4
249,Earthquake Valley,5.48E-4,0.26,0.0010117083
255,Earthquake Valley (No  Extension),6.02E-4,0.287,0.0011406206
256,Earthquake Valley (So Extension),4.52E-4,0.217,8.2418293E-4
671,East Huasna 2011 CFM,3.6E-5,0.018,5.4726253E-5
672,Eaton Roughs 2011 CFM,0.001632,0.6,0.0023913994
96,Elmore Ranch,0.001,0.436,0.0013122535
103,Elsinore (Coyote Mountains),4.58E-4,0.218,8.815546E-4
296,Elsinore (Glen Ivy) rev,0.001594,0.59,0.00191106
102,Elsinore (Julian),3.14E-4,0.155,6.1102665E-4
402,Elsinore (Stepovers Combined),5.96E-4,0.281,0.0010306181
299,Elsinore (Temecula) rev,4.94E-4,0.235,9.56905E-4
196,Elysian Park (Lower CFM),1.4E-5,0.006,3.6013033E-5
146,Elysian Park (Upper),6.92E-4,0.312,0.0010056715
90,Emerson-Copper Mtn 2011,2.56E-4,0.124,8.2894997E-4
95,Eureka Peak,0.0,0.0,5.0813524E-6
20,Fickle Hill (alt1),2.04E-4,0.101,2.8655992E-4
698,Fish Slough 2011 CFM,7.8E-5,0.039,1.5610366E-4
893,Fitzhugh Creek,4.6E-5,0.022,4.9661856E-5
204,Fontana (Seismicity),1.56E-4,0.078,2.7451906E-4
634,Franklin 2011 CFM,3.86E-4,0.189,5.9008814E-4
699,Garberville - Briceland 2011 CFM,0.001626,0.631,0.0025254672
159,Garlic Springs,1.72E-4,0.086,2.2524351E-4
341,Garlock (Central),0.0014,0.59,0.001769922
48,Garlock (East),0.001324,0.53,0.0013207955
49,Garlock (West),8.54E-4,0.388,0.0011861473
700,Gillem - Big Crack 2011 CFM,9.6E-5,0.048,1.4175435E-4
160,Goldstone Lake,7.12E-4,0.332,6.907931E-4
701,Goose Lake 2011 CFM,2.2E-5,0.011,5.6931607E-5
86,Gravel Hills-Harper Lk,2.4E-4,0.12,5.788753E-4
131,Great Valley 01,6.0E-6,0.003,3.523781E-5
133,Great Valley 02,3.6E-5,0.018,6.6413006E-5
132,Great Valley 03 Mysterious Ridge,7.08E-4,0.326,0.001011741
383,Great Valley 03a Dunnigan Hills,0.0,0.0,0.0
