Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob
861,Airport Lake,3.902439E-5,0.019512195
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,8.048781E-5,0.0402439
197,Anaheim,3.4146342E-5,0.017073171
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,3.1707317E-5,0.015853658
668,Bartlett Springs 2011 CFM,9.414634E-4,0.41585365
669,Battle Creek 2011 CFM,4.390244E-5,0.021951219
842,Bear River fault zone,1.8536585E-4,0.09146342
581,Bennett Valley 2011 CFM,3.6585367E-5,0.018292682
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,4.097561E-4,0.19634147
192,Big Pine (Central),3.1707317E-5,0.015853658
191,Big Pine (East),9.512195E-5,0.047560975
200,Big Pine (West),1.2195122E-5,0.0060975607
87,Blackwater,0.0,0.0
169,Blue Cut,1.4634147E-4,0.07317073
170,Brawley (Seismic Zone) alt 1,0.0039341464,0.9756098
541,Breckenridge 2011,4.878049E-6,0.0024390244
882,Bullion Mountains,5.8536585E-5,0.029268293
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,2.4146342E-4,0.11585366
165,Cady,1.7073171E-5,0.008536586
602,Calaveras (Central) 2011 CFM,0.002495122,0.7890244
601,Calaveras (No) 2011 CFM,0.001107317,0.47804877
621,Calaveras (So) - Paicines extension 2011 CFM,0.0022780488,0.7402439
603,Calaveras (So) 2011 CFM,0.002185366,0.7378049
88,Calico-Hidalgo,4.7560976E-4,0.2292683
724,Camp Rock 2011,7.317073E-5,0.036585364
173,Canada David (Detachment),6.3414634E-5,0.031707317
176,Carlsbad,6.8292684E-5,0.032926828
721,Carson Range (Genoa),1.9268293E-4,0.09512195
670,Casmalia 2011 CFM,1.1707317E-4,0.058536585
34,Cedar Mtn-Mahogany Mtn,2.6829268E-5,0.013414634
172,Cerro Prieto,0.004326829,0.9621951
129,Channel Islands Thrust,3.1219513E-4,0.14756097
214,Channel Islands Western Deep Ramp,2.1219513E-4,0.09878049
238,Chino alt 1,6.585366E-5,0.032926828
124,Clamshell-Sawpit,6.585366E-5,0.032926828
