Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.867623,7.7625,7.7125,1.0810276,6.025,6.775,8.975,10.1375
5.1,6.219347,6.15,5.8875,0.86820495,4.7375,5.35,7.1125,8.025
5.2,4.917471,4.85,4.8375,0.69915164,3.7375,4.2125,5.625,6.4
5.3,3.879581,3.825,3.8125,0.5625768,2.925,3.3125,4.45,5.05
5.4,3.0580165,3.025,2.8875,0.4495708,2.275,2.6125,3.5125,4.0
5.5,2.4006457,2.375,2.4125,0.36275268,1.7625,2.0375,2.775,3.1625
5.6,1.879855,1.8625,1.9,0.29249504,1.35,1.5875,2.175,2.475
5.7,1.4688962,1.45,1.4875,0.23892407,1.05,1.225,1.7125,1.975
5.8,1.137902,1.125,1.125,0.19094928,0.8,0.95,1.325,1.55
5.9,0.86800075,0.8625,0.875,0.15160185,0.5875,0.725,1.0125,1.1875
6.0,0.6879081,0.6875,0.6375,0.12350052,0.4625,0.5625,0.8125,0.95
6.1,0.5302875,0.525,0.55,0.102083534,0.35,0.425,0.625,0.75
6.2,0.41910332,0.4125,0.4625,0.08425604,0.2625,0.3375,0.5,0.5875
6.3,0.3303789,0.325,0.35,0.07266552,0.2,0.2625,0.4,0.475
6.4,0.2595151,0.2625,0.2375,0.06251462,0.15,0.2,0.325,0.3875
6.5,0.20032285,0.2,0.1875,0.053671025,0.1125,0.15,0.25,0.3125
6.6,0.15577485,0.15,0.15,0.046614114,0.075,0.1125,0.2,0.25
6.7,0.12093689,0.1125,0.1125,0.039242383,0.05,0.0875,0.1625,0.2125
6.8,0.09547393,0.0875,0.075,0.035130497,0.0375,0.0625,0.125,0.175
6.9,0.07425682,0.075,0.0625,0.0305523,0.025,0.05,0.1,0.1375
7.0,0.058181044,0.05,0.05,0.026649091,0.0125,0.0375,0.0875,0.1125
7.1,0.044060674,0.0375,0.0375,0.023331923,0.0,0.025,0.0625,0.1
7.2,0.033765838,0.0375,0.025,0.01970706,0.0,0.0125,0.05,0.075
7.3,0.026967593,0.025,0.025,0.01739126,0.0,0.0125,0.05,0.0625
7.4,0.020461746,0.025,0.0125,0.014834225,0.0,0.0,0.0375,0.05
7.5,0.014851364,0.0125,0.0125,0.01246457,0.0,0.0,0.025,0.0375
7.6,0.011165936,0.0125,0.0125,0.010436108,0.0,0.0,0.025,0.0375
7.7,0.008004386,0.0125,0.0,0.008903581,0.0,0.0,0.0125,0.025
7.8,0.0056347465,0.0,0.0,0.0074473447,0.0,0.0,0.0125,0.025
7.9,0.002917885,0.0,0.0,0.0055832607,0.0,0.0,0.0125,0.0125
8.0,0.0016020956,0.0,0.0,0.004233803,0.0,0.0,0.0,0.0125
8.1,7.3099416E-4,0.0,0.0,0.0029338147,0.0,0.0,0.0,0.0125
8.2,2.9239766E-4,0.0,0.0,0.0018897657,0.0,0.0,0.0,0.0
8.3,3.045809E-5,0.0,0.0,6.164281E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
