Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.84411,6.0,5.0,7.935199,1.0,3.0,11.0,25.0
4.0,7.84411,6.75,5.75,4.4748445,3.25,4.75,10.25,20.0
8.0,7.8461795,7.0,6.25,3.3244977,4.0,5.25,10.125,17.125
12.0,7.8463697,7.1666665,6.0833335,2.7822978,4.4166665,5.5833335,10.0,15.416667
16.0,7.8461795,7.3125,6.5,2.451067,4.6875,5.75,9.875,14.4375
20.0,7.84411,7.35,6.45,2.20977,4.9,5.9,9.8,13.55
24.0,7.848802,7.4166665,6.6666665,2.0392647,5.0416665,6.0416665,9.666667,13.041667
28.0,7.8511157,7.5,7.428571,1.8848634,5.178571,6.142857,9.607142,12.535714
32.0,7.848802,7.53125,6.46875,1.7606579,5.3125,6.21875,9.53125,12.21875
36.0,7.8517904,7.5555553,7.1666665,1.671357,5.388889,6.3055553,9.444445,11.916667
40.0,7.848802,7.575,7.3,1.5809151,5.475,6.375,9.375,11.65
44.0,7.8467064,7.590909,7.068182,1.5062528,5.5227275,6.409091,9.318182,11.386364
48.0,7.848802,7.625,7.3333335,1.4429458,5.6041665,6.4791665,9.291667,11.1875
52.0,7.8517904,7.673077,7.576923,1.3797613,5.673077,6.519231,9.230769,11.0
56.0,7.8596272,7.678571,7.464286,1.3328234,5.696429,6.553571,9.160714,10.875
60.0,7.848802,7.7,7.616667,1.2837197,5.766667,6.5833335,9.116667,10.733334
64.0,7.8596272,7.71875,7.296875,1.2316489,5.8125,6.65625,9.09375,10.578125
68.0,7.8511157,7.7352943,7.0882354,1.1945747,5.867647,6.6764708,9.044118,10.470589
72.0,7.865111,7.736111,7.5555553,1.1692506,5.888889,6.7222223,9.055555,10.430555
76.0,7.854882,7.75,7.4210525,1.1355249,5.9605265,6.7236843,8.986842,10.315789
80.0,7.848802,7.7375,7.275,1.0880905,6.0375,6.775,8.9375,10.225
84.0,7.868024,7.7738094,7.5119047,1.0616096,6.071429,6.8095236,8.952381,10.154762
88.0,7.8639045,7.784091,7.715909,1.0362195,6.0795455,6.818182,8.897727,10.079545
92.0,7.85585,7.771739,7.9673915,1.0134739,6.097826,6.826087,8.869565,10.01087
96.0,7.848802,7.7708335,7.6041665,0.9790222,6.1354165,6.875,8.833333,9.958333
100.0,7.84411,7.79,7.61,0.95031506,6.17,6.89,8.8,9.88
200.0,7.87643,7.855,7.675,0.61891705,6.74,7.255,8.485,9.165
300.0,7.89736,7.883333,7.5866666,0.47785586,7.0033336,7.4333334,8.373333,8.893333
400.0,7.87643,7.86,7.7175,0.39472276,7.1075,7.4725,8.27,8.7025
500.0,7.84411,7.84,7.57,0.35565805,7.174,7.486,8.212,8.59
