Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,0.0,0.0,0.0
667,Almanor 2011 CFM,0.0,0.0,0.0
219,Anacapa-Dume alt 1,4.0E-5,0.02,8.9941066E-5
197,Anaheim,0.0,0.0,1.0573401E-6
722,Antelope Valley 2011,0.0,0.0,0.0
845,Ash Hill,0.0,0.0,0.0
881,Baker,1.4E-5,0.007,4.3268505E-5
668,Bartlett Springs 2011 CFM,5.34E-4,0.257,0.0011369564
669,Battle Creek 2011 CFM,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,2.0E-5,0.01,3.0403768E-5
158,Bicycle Lake,0.0,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,2.16E-4,0.108,2.5720263E-4
192,Big Pine (Central),8.0E-6,0.004,1.778342E-5
191,Big Pine (East),5.2E-5,0.026,5.008419E-5
200,Big Pine (West),2.0E-6,0.001,1.2230206E-6
87,Blackwater,0.0,0.0,0.0
169,Blue Cut,0.0,0.0,0.0
170,Brawley (Seismic Zone) alt 1,0.001694,0.647,0.0017912637
541,Breckenridge 2011,4.0E-6,0.002,7.0695196E-6
882,Bullion Mountains,0.0,0.0,0.0
94,Burnt Mtn,0.0,0.0,0.0
561,Butano 2011 CFM,9.6E-5,0.048,1.5912624E-4
165,Cady,0.0,0.0,0.0
602,Calaveras (Central) 2011 CFM,6.34E-4,0.286,7.7660446E-4
601,Calaveras (No) 2011 CFM,1.2E-4,0.059,1.5951673E-4
621,Calaveras (So) - Paicines extension 2011 CFM,6.84E-4,0.3,8.137741E-4
603,Calaveras (So) 2011 CFM,5.88E-4,0.264,7.2081503E-4
88,Calico-Hidalgo,1.5E-4,0.075,2.4587236E-4
724,Camp Rock 2011,1.2E-5,0.006,6.0953626E-5
173,Canada David (Detachment),0.0,0.0,0.0
176,Carlsbad,6.0E-6,0.003,2.6633934E-5
721,Carson Range (Genoa),0.0,0.0,0.0
670,Casmalia 2011 CFM,5.2E-5,0.026,6.4016516E-5
34,Cedar Mtn-Mahogany Mtn,0.0,0.0,0.0
172,Cerro Prieto,0.0,0.0,0.0
129,Channel Islands Thrust,3.6E-5,0.018,7.0386945E-5
214,Channel Islands Western Deep Ramp,3.6E-5,0.018,6.47458E-5
238,Chino alt 1,3.8E-5,0.019,4.880828E-5
124,Clamshell-Sawpit,1.8E-5,0.009,3.2757504E-5
844,Clayton,4.0E-6,0.002,5.111909E-6
81,Cleghorn,7.0E-5,0.035,7.661616E-5
884,Cleghorn Lake,0.0,0.0,0.0
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0,0.0
184,Compton,4.6E-5,0.023,1.2581154E-4
622,Concord 2011 CFM,6.2E-5,0.03,1.282483E-4
626,Contra Costa (Lafayette) 2011 CFM,2.8E-5,0.013,4.8984613E-5
633,Contra Costa Shear Zone (connector) 2011 CFM,2.6E-5,0.013,5.1346313E-5
