Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,2.0E-4,0.02,3.6484736E-4
667,Almanor 2011 CFM,5.7E-4,0.057,8.740102E-4
219,Anacapa-Dume alt 1,2.1E-4,0.019,2.7066036E-4
197,Anaheim,2.0E-5,0.002,5.9406997E-5
722,Antelope Valley 2011,4.5E-4,0.045,9.4100233E-4
845,Ash Hill,2.2E-4,0.022,3.6325454E-4
881,Baker,6.0E-5,0.006,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.00181,0.172,0.0027160519
669,Battle Creek 2011 CFM,2.7E-4,0.027,3.1419643E-4
842,Bear River fault zone,4.1E-4,0.041,6.516702E-4
581,Bennett Valley 2011 CFM,6.4E-4,0.064,6.565412E-4
158,Bicycle Lake,4.7E-4,0.047,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,7.9E-4,0.073,9.757346E-4
192,Big Pine (Central),1.0E-4,0.01,1.4073562E-4
191,Big Pine (East),1.6E-4,0.016,2.5185442E-4
200,Big Pine (West),0.0,0.0,1.6456292E-5
87,Blackwater,2.3E-4,0.023,3.0697847E-4
169,Blue Cut,3.5E-4,0.035,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.00775,0.623,0.009075132
541,Breckenridge 2011,4.0E-5,0.004,5.5550227E-5
882,Bullion Mountains,4.0E-4,0.04,5.3453795E-4
94,Burnt Mtn,5.0E-4,0.05,7.1063195E-4
561,Butano 2011 CFM,1.6E-4,0.016,4.0039053E-4
165,Cady,2.3E-4,0.023,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.00355,0.32,0.0054784776
601,Calaveras (No) 2011 CFM,0.00164,0.161,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.00345,0.308,0.0050596413
603,Calaveras (So) 2011 CFM,0.00288,0.274,0.0043864697
88,Calico-Hidalgo,7.6E-4,0.075,0.001058555
724,Camp Rock 2011,2.6E-4,0.026,4.1653516E-4
173,Canada David (Detachment),8.0E-5,0.008,1.708136E-4
176,Carlsbad,1.4E-4,0.012,2.0807843E-4
721,Carson Range (Genoa),7.1E-4,0.069,0.001339816
670,Casmalia 2011 CFM,1.9E-4,0.019,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,2.3E-4,0.023,3.803875E-4
172,Cerro Prieto,0.01015,0.732,0.013091409
129,Channel Islands Thrust,0.0012,0.108,0.0011560944
214,Channel Islands Western Deep Ramp,3.7E-4,0.036,3.141864E-4
238,Chino alt 1,4.7E-4,0.046,6.7926216E-4
124,Clamshell-Sawpit,1.1E-4,0.011,1.3494818E-4
844,Clayton,2.4E-4,0.024,3.7555463E-4
81,Cleghorn,2.2E-4,0.022,2.2669137E-4
884,Cleghorn Lake,4.1E-4,0.04,4.888226E-4
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,1.3E-4,0.013,1.8422506E-4
184,Compton,2.5E-4,0.025,5.5336126E-4
622,Concord 2011 CFM,9.5E-4,0.092,0.001544427
626,Contra Costa (Lafayette) 2011 CFM,1.1E-4,0.011,3.4471598E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,2.5E-4,0.025,4.4313556E-4
776,Coronado Bank alt1,8.8E-4,0.088,0.0012790463
157,Coyote Canyon,0.00105,0.098,7.693753E-4
163,Coyote Lake,7.3E-4,0.07,7.4040337E-4
125,Cucamonga,3.7E-4,0.037,6.1043387E-4
894,Davis Creek,1.7E-4,0.017,1.2964533E-4
245,Death Valley (Black Mtns Frontal),5.1E-4,0.05,8.095886E-4
