Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.062152974,0.021258345,0.03072556,0.037915654,0.05004991,0.0615447,0.035607338
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,1.5596732E-5,0.0,0.0,0.0,0.0,1.5596732E-5,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,1.5596732E-5,0.0,0.0,1.5596732E-5,1.5596732E-5,1.5596732E-5,0.0
845,Ash Hill,0.022334518,0.0026514442,0.004616632,0.007018529,0.0119314995,0.018965624,0.0018716077
881,Baker,4.990954E-4,4.6790192E-5,1.0917712E-4,1.4037058E-4,2.495477E-4,4.8349865E-4,3.1193464E-5
668,Bartlett Springs 2011 CFM,1.5596732E-5,0.0,0.0,0.0,0.0,1.5596732E-5,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Bicycle Lake,0.0039927633,1.2477385E-4,3.8991828E-4,6.8625616E-4,0.0016376567,0.0036808285,2.6514442E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),1.5596731E-4,1.5596732E-5,3.1193464E-5,3.1193464E-5,4.6790192E-5,1.2477385E-4,1.5596732E-5
191,Big Pine (East),2.027575E-4,1.5596732E-5,6.238693E-5,9.3580384E-5,1.4037058E-4,2.027575E-4,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.017359162,0.0022459293,0.00405515,0.0056928066,0.009685569,0.015066442,0.0030413626
169,Blue Cut,1.2477385E-4,0.0,1.5596732E-5,3.1193464E-5,4.6790192E-5,1.0917712E-4,0.0
170,Brawley (Seismic Zone) alt 1,2.8074117E-4,3.1193464E-5,7.7983656E-5,1.2477385E-4,2.027575E-4,2.8074117E-4,1.5596732E-5
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,6.238693E-5,1.5596732E-5,3.1193464E-5,3.1193464E-5,4.6790192E-5,6.238693E-5,1.5596732E-5
94,Burnt Mtn,1.5596732E-5,0.0,0.0,1.5596732E-5,1.5596732E-5,1.5596732E-5,0.0
561,Butano 2011 CFM,3.1193464E-5,0.0,0.0,1.5596732E-5,3.1193464E-5,3.1193464E-5,0.0
165,Cady,5.77079E-4,9.3580384E-5,1.2477385E-4,1.4037058E-4,3.1193462E-4,4.6790193E-4,6.238693E-5
602,Calaveras (Central) 2011 CFM,4.6790192E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5,3.1193464E-5,4.6790192E-5,3.1193464E-5
601,Calaveras (No) 2011 CFM,1.5596732E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5
621,Calaveras (So) - Paicines extension 2011 CFM,1.5596731E-4,1.5596732E-5,6.238693E-5,6.238693E-5,1.0917712E-4,1.2477385E-4,3.1193464E-5
603,Calaveras (So) 2011 CFM,9.3580384E-5,1.5596732E-5,1.5596732E-5,1.5596732E-5,7.7983656E-5,9.3580384E-5,3.1193464E-5
88,Calico-Hidalgo,3.8991828E-4,1.5596732E-5,1.5596732E-5,7.7983656E-5,1.2477385E-4,3.7432153E-4,4.6790192E-5
