Name,1 Week Prob M≥7.1,1 Month Prob M≥7.1,1 Month Mean Num M≥3.5,1 Month Median Num M≥3.5,1 Month Garlock Prob M≥7,1 Month SAF Mojave Prob M≥7
"M7.1, Point Source",0.978%,1.318%,270.2,255.0,0.648%,0.132%
"M7.1, ShakeMap Source",3.014%,3.755%,287.1,258.0,3.174%,0.315%
"M7.1, ShakeMap Source (Culled)",3.462%,4.362%,291.0,258.0,3.764%,0.363%
"M7.1, ShakeMap Source (Planar Extents)",4.416%,5.450%,298.9,260.0,4.976%,0.434%
"M7.1, Prev ShakeMap Source (V10)",4.547%,5.619%,298.9,260.0,5.079%,0.451%
"M7.1, Quad Source",3.945%,4.870%,294.1,258.0,4.384%,0.432%
"M7.1, Inverted Source",4.784%,5.838%,302.2,261.0,5.269%,0.476%
"M7.1, Inverted Source (minSlip=0.5)",1.849%,2.354%,279.8,258.0,1.545%,0.209%
Range,[0.978% 4.784%],[1.318% 5.838%],[270.2 302.2],[255.0 261.0],[0.648% 5.269%],[0.132% 0.476%]
"Gain (w.r.t. M7.1, ShakeMap Source)",[0.32 1.59],[0.35 1.55],[0.94 1.05],[0.99 1.01],[0.20 1.66],[0.42 1.51]
