Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",763,7.1,763,7.1,0.145,0.000,0.223,0.000,5.612,0.000
Little Lake,"327, 90, 180",266,5.5,267,7.1,1.937,0.000,9.788,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",91,4.49,92,7.1,0.225,0.000,5.697,0.000,31.947,19.940
So Sierra Nevada,"2, 50, -90",55,4.52,55,4.52,1.134,0.000,2.504,1.926,16.191,15.188
Ash Hill,"162, 90, 180",14,3.57,14,3.57,0.563,0.000,35.296,24.239,36.003,25.242
Panamint Valley,"334, 90, -150",14,3.57,14,3.57,6.408,0.000,30.387,18.415,40.236,28.550
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,9.884,9.195,23.737,23.674
Blackwater,"323, 90, 180",1,3.54,1,3.54,5.396,0.000,13.591,9.547,39.380,38.300
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.696,3.696,37.968,37.565,58.680,58.391
Owens Valley,"343, 90, 180",0,,0,,13.873,12.581,46.826,46.453,68.299,66.819
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.685,26.537,36.559,32.668
Lenwood-Lockhart-Old Woman Springs,"313, 90, 180",0,,0,,18.692,16.534,52.126,40.302,63.646,53.437
Garlock (West),"59, 90, 0",0,,0,,19.042,18.949,64.104,62.040,66.727,62.627
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,24.154,12.740,35.386,26.025,58.562,52.470
Towne Pass,"195, 50, -90",0,,0,,24.314,24.235,53.476,52.545,59.662,59.451
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.420,41.123,40.898,45.679,43.721
McLean Lake,"96, 90, 0",0,,0,,32.089,31.949,39.017,38.717,64.927,61.453
Kern Canyon (North Kern) 2011,"360, 60, -90",0,,0,,33.604,31.897,59.654,59.588,81.168,80.888
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,33.703,32.006,51.880,51.809,64.327,63.973
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,34.153,22.562,49.629,37.770,65.700,53.653
Goldstone Lake,"325, 90, 180",0,,0,,34.269,25.000,41.267,35.222,67.845,63.678
Helendale-So Lockhart,"321, 90, 180",0,,0,,37.040,33.695,54.608,44.752,73.478,66.589
Independence rev 2011,"337, 50, -90",0,,0,,37.627,37.086,71.107,70.658,92.154,92.123
Paradise,"347, 90, 180",0,,0,,37.645,26.788,46.626,37.887,74.184,66.540
Nelson Lake,"96, 90, 0",0,,0,,38.056,37.680,45.815,44.453,72.715,68.544
Owl Lake,"58, 90, 0",0,,0,,38.968,32.111,45.862,41.511,67.691,59.287
Garlock (East),"91, 90, 0",0,,0,,38.982,38.344,45.654,45.515,67.792,65.602
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,40.923,39.579,65.361,64.473,74.420,74.227
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,54.762,54.698,66.376,66.044
Hunter Mountain-Saline Valley,"317, 90, -150",0,,0,,44.060,32.957,66.535,55.250,77.497,67.795
Coyote Canyon,"88, 90, 0",0,,0,,48.877,46.675,58.892,53.923,86.686,80.117
Death Valley (So),"321, 90, 180",0,,0,,53.020,45.781,71.678,59.887,83.064,72.895
White Wolf,"51, 75, 60",0,,0,,55.658,52.419,87.297,87.026,89.285,88.663
Coyote Lake,"75, 90, 0",0,,0,,56.498,45.740,70.986,59.873,99.919,88.876
Breckenridge 2011,"7, 60, -90",0,,0,,56.802,55.604,80.559,80.516,84.833,84.574
Tin Mountain,"193, 50, -90",0,,0,,61.243,60.350,89.646,89.556,105.075,104.736
Garlic Springs,"130, 90, 180",0,,0,,61.395,58.520,72.041,70.962,99.984,99.657
Calico-Hidalgo,"322, 90, 180",0,,0,,61.511,61.496,76.116,75.929,104.984,104.911
Bicycle Lake,"107, 90, 0",0,,0,,62.746,62.523,72.852,71.759,100.468,97.861
Dry Mountain,"208, 50, -90",0,,0,,66.241,65.372,97.874,96.954,115.972,114.744
Death Valley (No),"321, 90, 180",0,,0,,69.783,58.196,103.584,91.687,107.220,95.600
Camp Rock 2011,"316, 90, 180",0,,0,,74.072,72.176,88.884,86.577,117.487,115.549
Manix-Afton Hills,"81, 90, 0",0,,0,,77.712,67.837,91.951,81.637,120.954,110.645
Cady,"97, 90, 0",0,,0,,83.629,77.077,97.422,90.048,126.431,118.924
Baker,"331, 90, 180",0,,0,,83.788,73.756,90.742,80.395,111.952,103.009
Red Pass,"141, 90, 180",0,,0,,90.914,84.322,100.158,94.877,126.808,122.535
San Andreas (Mojave S),"116, 90, 180",0,,0,,93.507,81.509,130.707,118.710,142.613,130.614
White Mountains,"352, 90, 180",0,,0,,93.803,92.742,127.675,126.405,148.238,146.207
San Andreas (Mojave N),"109, 90, 180",0,,0,,96.583,85.371,140.425,129.833,144.941,133.406
Pisgah-Bullion Mtn-Mesquite Lk,"330, 90, 180",0,,0,,103.696,100.828,117.348,115.092,146.344,144.092
Pleito,"91, 46, 90",0,,0,,106.163,105.647,148.554,147.394,148.802,147.949
Emerson-Copper Mtn 2011,"320, 90, 180",0,,0,,106.959,106.360,121.637,120.682,150.443,149.678
Pine Mtn,"275, 45, 90",0,,0,,109.220,108.408,153.458,153.397,154.559,154.336
San Gabriel,"309, 61, 144",0,,0,,111.435,110.810,152.820,152.738,156.942,156.807
Ludlow,"149, 90, 180",0,,0,,111.882,106.429,123.662,119.076,151.935,147.787
North Frontal  (West),"80, 49, 90",0,,0,,112.847,111.742,127.671,126.224,153.283,152.061
San Andreas (Big Bend),"108, 90, 180",0,,0,,114.251,105.106,158.263,147.911,158.638,148.297
Deep Springs,"205, 50, -90",0,,0,,114.344,113.546,147.956,147.152,167.784,166.771
Johnson Valley (No) 2011 rev,"330, 90, 180",0,,0,,114.459,114.310,129.268,129.131,157.859,157.693
Northridge Hills,"289, 31, 90",0,,0,,114.988,114.371,153.895,153.865,163.636,163.489
Clamshell-Sawpit,"244, 50, 90",0,,0,,116.240,115.719,145.053,145.040,161.991,161.881
Sierra Madre (San Fernando),"273, 45, 90",0,,0,,116.722,116.294,154.193,154.190,165.321,165.246
San Gabriel (Extension),"276, 61, 180",0,,0,,116.736,116.150,138.900,138.874,159.577,159.436
Owens Valley Keough Hot Springs,"340, 50, -90",0,,0,,116.935,116.636,150.745,150.407,171.523,171.407
Sierra Madre,"288, 53, 90",0,,0,,118.710,118.182,152.167,152.004,167.094,166.980
Hector Mine,"156, 90, 180",0,,0,,118.753,114.652,132.470,128.892,161.470,157.896
San Cayetano,"273, 42, 90",0,,0,,120.618,119.922,164.653,164.614,167.627,167.443
San Andreas (San Bernardino N),"122, 90, 180",0,,0,,120.683,112.402,140.185,129.474,161.654,151.744
Santa Susana alt 1,"278, 55, 30",0,,0,,121.019,120.287,161.175,161.118,169.597,169.394
Death Valley (Fish Lake Valley),"322, 90, -150",0,,0,,122.159,113.774,153.542,145.944,170.509,163.730
Big Pine (East),"248, 73, 45",0,,0,,122.219,120.860,163.758,162.891,164.478,163.660
Cleghorn,"96, 90, 0",0,,0,,123.360,112.327,140.618,128.639,162.972,151.180
Cucamonga,"257, 45, 90",0,,0,,123.534,123.070,142.088,142.084,164.508,164.432
Holser alt 1,"99, 58, 90",0,,0,,123.865,121.575,165.345,162.802,173.094,170.641
Verdugo,"301, 55, 90",0,,0,,125.042,124.513,163.053,163.035,173.686,173.565
Mission Hills 2011,"277, 55, 90",0,,0,,125.090,124.545,164.140,164.118,173.818,173.680
Homestead Valley 2011,"333, 90, 180",0,,0,,125.666,124.632,140.284,139.455,169.148,168.005
San Jacinto (San Bernardino),"138, 90, 180",0,,0,,127.489,122.410,145.716,137.418,167.761,160.554
Northridge,"111, 35, 90",0,,0,,127.944,127.860,166.592,166.526,176.986,176.976
North Frontal  (East),"104, 41, 90",0,,0,,129.173,128.582,144.302,143.489,172.003,171.331
Santa Susana East (connector),"108, 55, 90",0,,0,,129.216,127.631,169.193,167.307,178.491,176.763
