Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
861,Airport Lake,0.0,0.0,0.0,0.0,0.0,0.0
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,6.6E-5,0.032,0.0,0.0,0.0,8.9941066E-5
197,Anaheim,0.0,0.0,0.0,0.0,0.0,1.0573401E-6
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.0,0.0,0.0,0.0,0.0,0.0
881,Baker,2.2E-5,0.011,0.0,0.0,0.0,4.3268505E-5
668,Bartlett Springs 2011 CFM,5.68E-4,0.273,2.0E-6,0.001,0.0,0.0011369564
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,1.4E-5,0.007,0.0,0.0,0.0,3.0403768E-5
158,Bicycle Lake,0.0,0.0,0.0,0.0,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,2.22E-4,0.11,1.0E-5,0.005,4.0E-6,2.5720263E-4
192,Big Pine (Central),2.4E-5,0.012,2.0E-6,0.001,0.0,1.778342E-5
191,Big Pine (East),5.8E-5,0.029,8.0E-6,0.004,2.0E-6,5.008419E-5
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,1.2230206E-6
87,Blackwater,0.0,0.0,0.0,0.0,0.0,0.0
169,Blue Cut,0.0,0.0,0.0,0.0,0.0,0.0
170,Brawley (Seismic Zone) alt 1,0.001618,0.632,6.6E-5,0.032,3.4E-5,0.0017912637
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,7.0695196E-6
882,Bullion Mountains,0.0,0.0,0.0,0.0,0.0,0.0
94,Burnt Mtn,0.0,0.0,0.0,0.0,0.0,0.0
561,Butano 2011 CFM,1.46E-4,0.071,8.0E-6,0.004,6.0E-6,1.5912624E-4
165,Cady,0.0,0.0,0.0,0.0,0.0,0.0
602,Calaveras (Central) 2011 CFM,6.34E-4,0.289,2.0E-5,0.01,8.0E-6,7.7660446E-4
601,Calaveras (No) 2011 CFM,1.44E-4,0.069,6.0E-6,0.003,4.0E-6,1.5951673E-4
621,Calaveras (So) - Paicines extension 2011 CFM,7.0E-4,0.302,3.2E-5,0.016,1.4E-5,8.137741E-4
603,Calaveras (So) 2011 CFM,5.92E-4,0.268,2.2E-5,0.011,8.0E-6,7.2081503E-4
88,Calico-Hidalgo,1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
724,Camp Rock 2011,6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
173,Canada David (Detachment),0.0,0.0,0.0,0.0,0.0,0.0
176,Carlsbad,1.4E-5,0.007,2.0E-6,0.001,0.0,2.6633934E-5
721,Carson Range (Genoa),0.0,0.0,0.0,0.0,0.0,0.0
670,Casmalia 2011 CFM,3.8E-5,0.019,2.0E-6,0.001,2.0E-6,6.4016516E-5
34,Cedar Mtn-Mahogany Mtn,0.0,0.0,0.0,0.0,0.0,0.0
172,Cerro Prieto,0.0,0.0,0.0,0.0,0.0,0.0
129,Channel Islands Thrust,5.0E-5,0.025,0.0,0.0,0.0,7.0386945E-5
214,Channel Islands Western Deep Ramp,4.0E-5,0.019,0.0,0.0,0.0,6.47458E-5
238,Chino alt 1,2.8E-5,0.014,0.0,0.0,0.0,4.880828E-5
124,Clamshell-Sawpit,1.4E-5,0.007,0.0,0.0,0.0,3.2757504E-5
844,Clayton,0.0,0.0,0.0,0.0,0.0,5.111909E-6
81,Cleghorn,7.2E-5,0.036,6.0E-6,0.003,2.0E-6,7.661616E-5
884,Cleghorn Lake,0.0,0.0,0.0,0.0,0.0,0.0
883,Cleghorn Pass,0.0,0.0,0.0,0.0,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
184,Compton,4.0E-5,0.02,0.0,0.0,0.0,1.2581154E-4
622,Concord 2011 CFM,7.4E-5,0.037,0.0,0.0,0.0,1.282483E-4
626,Contra Costa (Lafayette) 2011 CFM,3.2E-5,0.016,0.0,0.0,0.0,4.8984613E-5
633,Contra Costa Shear Zone (connector) 2011 CFM,3.4E-5,0.017,0.0,0.0,0.0,5.1346313E-5
776,Coronado Bank alt1,4.0E-6,0.002,0.0,0.0,0.0,3.5718563E-6
157,Coyote Canyon,0.0,0.0,0.0,0.0,0.0,0.0
163,Coyote Lake,0.0,0.0,0.0,0.0,0.0,0.0
125,Cucamonga,1.7E-4,0.084,4.0E-6,0.002,0.0,3.3973317E-4
894,Davis Creek,0.0,0.0,0.0,0.0,0.0,0.0
245,Death Valley (Black Mtns Frontal),2.94E-4,0.147,0.0,0.0,0.0,6.5338047E-4
45,Death Valley (Fish Lake Valley),2.58E-4,0.129,2.0E-6,0.001,0.0,6.1090756E-4
46,Death Valley (No),3.12E-4,0.156,2.0E-6,0.001,0.0,7.045883E-4
246,Death Valley (So),1.84E-4,0.092,0.0,0.0,0.0,4.4939917E-4
51,Deep Springs,0.0,0.0,0.0,0.0,0.0,0.0
230,Del Valle,5.2E-5,0.026,8.0E-6,0.004,2.0E-6,1.4157861E-4
889,Dog Valley,0.0,0.0,0.0,0.0,0.0,0.0
888,Dry Mountain,0.0,0.0,0.0,0.0,0.0,0.0
249,Earthquake Valley,2.0E-6,0.001,0.0,0.0,0.0,7.747446E-6
255,Earthquake Valley (No  Extension),2.0E-6,0.001,0.0,0.0,0.0,8.115812E-6
256,Earthquake Valley (So Extension),0.0,0.0,0.0,0.0,0.0,6.138577E-6
671,East Huasna 2011 CFM,0.0,0.0,0.0,0.0,0.0,2.2288104E-6
672,Eaton Roughs 2011 CFM,3.92E-4,0.191,4.0E-6,0.002,0.0,6.9544563E-4
96,Elmore Ranch,0.0,0.0,0.0,0.0,0.0,0.0
103,Elsinore (Coyote Mountains),1.64E-4,0.082,4.0E-6,0.002,2.0E-6,3.605899E-4
296,Elsinore (Glen Ivy) rev,1.9E-4,0.095,4.0E-6,0.002,2.0E-6,4.002972E-4
102,Elsinore (Julian),1.94E-4,0.097,4.0E-6,0.002,2.0E-6,4.1685533E-4
402,Elsinore (Stepovers Combined),1.94E-4,0.097,4.0E-6,0.002,2.0E-6,4.106743E-4
299,Elsinore (Temecula) rev,2.0E-4,0.1,4.0E-6,0.002,2.0E-6,4.2865658E-4
196,Elysian Park (Lower CFM),4.0E-6,0.002,0.0,0.0,0.0,9.32669E-6
146,Elysian Park (Upper),1.4E-5,0.007,0.0,0.0,0.0,2.6061065E-5
90,Emerson-Copper Mtn 2011,6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
