Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,1.7E-4,0.017,3.6484736E-4
667,Almanor 2011 CFM,4.2E-4,0.042,8.740102E-4
219,Anacapa-Dume alt 1,1.6E-4,0.016,2.7066036E-4
197,Anaheim,5.0E-5,0.005,5.9406997E-5
722,Antelope Valley 2011,4.5E-4,0.045,9.4100233E-4
845,Ash Hill,3.1E-4,0.031,3.6325454E-4
881,Baker,1.2E-4,0.012,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.0018,0.174,0.0027160519
669,Battle Creek 2011 CFM,1.5E-4,0.014,3.1419643E-4
842,Bear River fault zone,3.4E-4,0.034,6.516702E-4
581,Bennett Valley 2011 CFM,5.5E-4,0.055,6.565412E-4
158,Bicycle Lake,3.5E-4,0.035,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,6.7E-4,0.06,9.757346E-4
192,Big Pine (Central),4.0E-5,0.004,1.4073562E-4
191,Big Pine (East),1.3E-4,0.013,2.5185442E-4
200,Big Pine (West),1.0E-5,0.001,1.6456292E-5
87,Blackwater,2.9E-4,0.028,3.0697847E-4
169,Blue Cut,4.3E-4,0.043,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.00742,0.631,0.009075132
541,Breckenridge 2011,0.0,0.0,5.5550227E-5
882,Bullion Mountains,2.8E-4,0.028,5.3453795E-4
94,Burnt Mtn,4.0E-4,0.04,7.1063195E-4
561,Butano 2011 CFM,1.9E-4,0.019,4.0039053E-4
165,Cady,2.5E-4,0.025,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.00323,0.298,0.0054784776
601,Calaveras (No) 2011 CFM,0.0017,0.166,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.00328,0.298,0.0050596413
603,Calaveras (So) 2011 CFM,0.00276,0.263,0.0043864697
88,Calico-Hidalgo,8.6E-4,0.085,0.001058555
724,Camp Rock 2011,2.4E-4,0.024,4.1653516E-4
173,Canada David (Detachment),1.2E-4,0.012,1.708136E-4
176,Carlsbad,1.5E-4,0.013,2.0807843E-4
721,Carson Range (Genoa),7.2E-4,0.07,0.001339816
670,Casmalia 2011 CFM,1.6E-4,0.016,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,1.9E-4,0.019,3.803875E-4
172,Cerro Prieto,0.00938,0.721,0.013091409
129,Channel Islands Thrust,0.00124,0.116,0.0011560944
214,Channel Islands Western Deep Ramp,3.0E-4,0.03,3.141864E-4
238,Chino alt 1,3.1E-4,0.031,6.7926216E-4
