Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.399331,6.0,5.0,7.3469515,1.0,3.0,11.0,23.0
4.0,7.399331,6.5,5.75,4.1305423,3.0,4.5,9.75,18.5
8.0,7.399331,6.625,5.75,3.076305,3.875,5.0,9.5,15.875
12.0,7.3997188,6.8333335,6.1666665,2.5748796,4.25,5.3333335,9.333333,14.5
16.0,7.399633,6.875,6.3125,2.2577703,4.5,5.5,9.25,13.4375
20.0,7.4000115,6.95,6.3,2.0403607,4.7,5.65,9.15,12.75
24.0,7.395496,7.0,6.875,1.8737197,4.8333335,5.75,9.041667,12.166667
28.0,7.395474,7.035714,6.821429,1.7431982,4.928571,5.821429,8.964286,11.75
32.0,7.392241,7.09375,6.75,1.6350844,5.03125,5.90625,8.90625,11.40625
36.0,7.3885083,7.111111,6.4444447,1.5401736,5.111111,5.9722223,8.833333,11.111111
40.0,7.3869534,7.125,6.45,1.4642274,5.2,6.025,8.775,10.9
44.0,7.385002,7.159091,7.0,1.3959888,5.25,6.068182,8.727273,10.681818
48.0,7.380757,7.1666665,6.7916665,1.3341866,5.3333335,6.1041665,8.666667,10.5
52.0,7.377571,7.1923075,6.9038463,1.2786368,5.3846154,6.1538463,8.634615,10.365385
56.0,7.3759866,7.214286,6.821429,1.2299821,5.428571,6.196429,8.571428,10.232142
60.0,7.375318,7.2166667,6.883333,1.1847898,5.483333,6.2166667,8.533334,10.1
64.0,7.3753676,7.234375,6.96875,1.1477215,5.53125,6.25,8.5,9.96875
68.0,7.37228,7.25,7.0735292,1.1100577,5.5588236,6.279412,8.470589,9.867647
72.0,7.368545,7.263889,7.0555553,1.075231,5.5972223,6.3055553,8.430555,9.763889
76.0,7.367101,7.263158,7.0263157,1.0432954,5.631579,6.3421054,8.394737,9.657895
80.0,7.3642116,7.275,7.0125,1.0147133,5.6625,6.3625,8.3625,9.6
84.0,7.36469,7.2738094,7.035714,0.9891846,5.6904764,6.392857,8.333333,9.535714
88.0,7.3631206,7.284091,7.2727275,0.96330196,5.7272725,6.409091,8.306818,9.477273
92.0,7.3598785,7.2934785,7.173913,0.9389526,5.7608695,6.423913,8.282609,9.402174
96.0,7.3579903,7.2916665,7.1979165,0.91687685,5.78125,6.4479165,8.260417,9.354167
100.0,7.356542,7.29,7.13,0.89615166,5.81,6.47,8.24,9.29
200.0,7.330829,7.3,7.27,0.6021837,6.23,6.74,7.925,8.59
300.0,7.3187037,7.29,7.076667,0.49402064,6.4266667,6.8366666,7.8033333,8.366667
400.0,7.3102293,7.2875,7.2225,0.437342,6.5175,6.8825,7.7425,8.24
500.0,7.306333,7.28,7.212,0.40058005,6.592,6.914,7.708,8.16
600.0,7.309042,7.286667,7.2933335,0.37628704,6.635,6.9383335,7.6866665,8.105
700.0,7.316065,7.292857,7.1885715,0.35978416,6.6757145,6.9628572,7.6814284,8.0742855
800.0,7.3264723,7.30625,7.37,0.3444092,6.71875,6.99,7.675,8.05375
900.0,7.3491626,7.332222,7.3133335,0.32984945,6.752222,7.0255556,7.68,8.037778
1000.0,7.399331,7.388,7.418,0.31810483,6.809,7.089,7.722,8.053
