Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.3642116,7.275,7.0125,1.0147133,5.6625,6.3625,8.3625,9.6
5.1,5.8225713,5.75,5.6,0.81386024,4.45,5.025,6.625,7.6125
5.2,4.5974574,4.5375,4.5,0.65312314,3.4875,3.95,5.2375,6.0375
5.3,3.6246355,3.5875,3.6375,0.52523917,2.725,3.1125,4.1375,4.775
5.4,2.8521497,2.825,2.7875,0.42282784,2.125,2.4375,3.2625,3.775
5.5,2.2371664,2.2125,2.1125,0.34063867,1.6375,1.9,2.575,2.975
5.6,1.7499365,1.7375,1.7125,0.27436647,1.2625,1.475,2.0125,2.3375
5.7,1.3617667,1.35,1.3,0.2211606,0.975,1.15,1.575,1.8375
5.8,1.0530812,1.0375,1.0375,0.17869489,0.7375,0.875,1.225,1.4375
5.9,0.7974985,0.7875,0.75,0.14298086,0.5375,0.6625,0.9375,1.1
6.0,0.62755394,0.625,0.6,0.11819232,0.4125,0.5125,0.7375,0.875
6.1,0.47975293,0.475,0.4625,0.09790094,0.3,0.3875,0.575,0.6875
6.2,0.377487,0.375,0.375,0.08255074,0.225,0.3,0.4625,0.55
6.3,0.29776496,0.2875,0.275,0.07017839,0.175,0.225,0.3625,0.45
6.4,0.23133995,0.225,0.225,0.059918255,0.125,0.175,0.2875,0.3625
6.5,0.1770723,0.175,0.1625,0.05136722,0.0875,0.125,0.225,0.2875
6.6,0.13714436,0.1375,0.125,0.043835074,0.0625,0.1,0.175,0.225
6.7,0.10522108,0.1,0.1,0.0376749,0.0375,0.0625,0.1375,0.1875
6.8,0.082887255,0.075,0.075,0.032617334,0.025,0.05,0.1125,0.15
6.9,0.06436789,0.0625,0.0625,0.028307512,0.0125,0.0375,0.0875,0.125
7.0,0.05034951,0.05,0.0375,0.024647392,0.0125,0.025,0.075,0.1
7.1,0.037785295,0.0375,0.025,0.021193719,0.0,0.0125,0.0625,0.0875
7.2,0.028238235,0.025,0.025,0.01795755,0.0,0.0125,0.05,0.0625
7.3,0.02228799,0.025,0.0125,0.015706982,0.0,0.0125,0.0375,0.0625
7.4,0.017162746,0.0125,0.0125,0.013685776,0.0,0.0,0.025,0.05
7.5,0.012209069,0.0125,0.0125,0.011436661,0.0,0.0,0.025,0.0375
7.6,0.009298774,0.0125,0.0,0.009761355,0.0,0.0,0.0125,0.025
7.7,0.0066095586,0.0,0.0,0.008165759,0.0,0.0,0.0125,0.025
7.8,0.0046882355,0.0,0.0,0.0069102664,0.0,0.0,0.0125,0.025
7.9,0.0026044117,0.0,0.0,0.0052720765,0.0,0.0,0.0125,0.0125
8.0,0.0014779412,0.0,0.0,0.0040776576,0.0,0.0,0.0,0.0125
8.1,7.0514705E-4,0.0,0.0,0.0028860916,0.0,0.0,0.0,0.0125
8.2,3.223039E-4,0.0,0.0,0.0019811604,0.0,0.0,0.0,0.0125
8.3,6.32353E-5,0.0,0.0,8.868246E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
