Parent ID,Parent Name,Total Mean Annual Rate,Total 1000 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,1.16E-4,0.114,3.6484736E-4
667,Almanor 2011 CFM,4.64E-4,0.39,8.740102E-4
219,Anacapa-Dume alt 1,8.2E-5,0.082,2.7066036E-4
197,Anaheim,1.9E-5,0.019,5.9406997E-5
722,Antelope Valley 2011,3.4E-4,0.299,9.4100233E-4
845,Ash Hill,1.73E-4,0.169,3.6325454E-4
881,Baker,6.6E-5,0.065,1.4517152E-4
668,Bartlett Springs 2011 CFM,0.001582,0.82,0.0027160519
669,Battle Creek 2011 CFM,1.22E-4,0.121,3.1419643E-4
842,Bear River fault zone,2.42E-4,0.231,6.516702E-4
581,Bennett Valley 2011 CFM,4.36E-4,0.38,6.565412E-4
158,Bicycle Lake,1.69E-4,0.162,2.89994E-4
741,Big Lagoon - Bald Mtn 2011 CFM,4.52E-4,0.372,9.757346E-4
192,Big Pine (Central),8.4E-5,0.081,1.4073562E-4
191,Big Pine (East),2.0E-4,0.192,2.5185442E-4
200,Big Pine (West),9.0E-6,0.009,1.6456292E-5
87,Blackwater,1.33E-4,0.133,3.0697847E-4
169,Blue Cut,2.16E-4,0.207,4.6602596E-4
170,Brawley (Seismic Zone) alt 1,0.007518,1.0,0.009075132
541,Breckenridge 2011,7.0E-6,0.007,5.5550227E-5
882,Bullion Mountains,2.28E-4,0.218,5.3453795E-4
94,Burnt Mtn,2.98E-4,0.28,7.1063195E-4
561,Butano 2011 CFM,2.79E-4,0.256,4.0039053E-4
165,Cady,1.39E-4,0.134,3.1845164E-4
602,Calaveras (Central) 2011 CFM,0.004766,0.999,0.0054784776
601,Calaveras (No) 2011 CFM,0.002062,0.913,0.0023857106
621,Calaveras (So) - Paicines extension 2011 CFM,0.004608,0.998,0.0050596413
603,Calaveras (So) 2011 CFM,0.00394,0.997,0.0043864697
88,Calico-Hidalgo,3.88E-4,0.341,0.001058555
724,Camp Rock 2011,1.04E-4,0.1,4.1653516E-4
173,Canada David (Detachment),6.5E-5,0.065,1.708136E-4
176,Carlsbad,7.6E-5,0.075,2.0807843E-4
721,Carson Range (Genoa),5.31E-4,0.435,0.001339816
670,Casmalia 2011 CFM,6.3E-5,0.061,1.6153122E-4
34,Cedar Mtn-Mahogany Mtn,1.87E-4,0.177,3.803875E-4
172,Cerro Prieto,0.011952,1.0,0.013091409
129,Channel Islands Thrust,5.95E-4,0.452,0.0011560944
214,Channel Islands Western Deep Ramp,1.71E-4,0.164,3.141864E-4
238,Chino alt 1,5.2E-4,0.427,6.7926216E-4
124,Clamshell-Sawpit,5.9E-5,0.059,1.3494818E-4
844,Clayton,1.72E-4,0.167,3.7555463E-4
81,Cleghorn,1.33E-4,0.132,2.2669137E-4
884,Cleghorn Lake,2.76E-4,0.249,4.888226E-4
883,Cleghorn Pass,0.0,0.0,0.0
582,Collayami 2011 CFM,6.4E-5,0.063,1.8422506E-4
184,Compton,2.07E-4,0.195,5.5336126E-4
622,Concord 2011 CFM,0.001004,0.653,0.001544427
626,Contra Costa (Lafayette) 2011 CFM,2.01E-4,0.186,3.4471598E-4
633,Contra Costa Shear Zone (connector) 2011 CFM,2.44E-4,0.228,4.4313556E-4
776,Coronado Bank alt1,6.04E-4,0.47,0.0012790463
157,Coyote Canyon,4.69E-4,0.382,7.693753E-4
163,Coyote Lake,3.37E-4,0.308,7.4040337E-4
125,Cucamonga,2.63E-4,0.236,6.1043387E-4
894,Davis Creek,6.2E-5,0.059,1.2964533E-4
245,Death Valley (Black Mtns Frontal),2.4E-4,0.232,8.095886E-4
45,Death Valley (Fish Lake Valley),4.69E-4,0.401,0.0012757132
46,Death Valley (No),2.89E-4,0.271,9.5837284E-4
246,Death Valley (So),5.07E-4,0.414,0.001041639
51,Deep Springs,4.63E-4,0.4,8.969784E-4
230,Del Valle,1.3E-4,0.123,3.720021E-4
889,Dog Valley,8.2E-5,0.081,2.328282E-4
888,Dry Mountain,6.6E-5,0.066,1.4885848E-4
249,Earthquake Valley,4.09E-4,0.356,0.0010117083
255,Earthquake Valley (No  Extension),4.76E-4,0.401,0.0011406206
256,Earthquake Valley (So Extension),3.36E-4,0.306,8.2418293E-4
671,East Huasna 2011 CFM,3.7E-5,0.037,5.4726253E-5
672,Eaton Roughs 2011 CFM,0.001507,0.774,0.0023913994
96,Elmore Ranch,0.00104,0.685,0.0013122535
103,Elsinore (Coyote Mountains),3.42E-4,0.303,8.815546E-4
296,Elsinore (Glen Ivy) rev,0.001473,0.803,0.00191106
102,Elsinore (Julian),2.23E-4,0.212,6.1102665E-4
402,Elsinore (Stepovers Combined),5.46E-4,0.447,0.0010306181
299,Elsinore (Temecula) rev,4.24E-4,0.371,9.56905E-4
196,Elysian Park (Lower CFM),1.8E-5,0.018,3.6013033E-5
146,Elysian Park (Upper),5.01E-4,0.403,0.0010056715
90,Emerson-Copper Mtn 2011,1.94E-4,0.183,8.2894997E-4
95,Eureka Peak,1.0E-6,0.001,5.0813524E-6
20,Fickle Hill (alt1),1.31E-4,0.127,2.8655992E-4
698,Fish Slough 2011 CFM,6.6E-5,0.066,1.5610366E-4
893,Fitzhugh Creek,3.3E-5,0.033,4.9661856E-5
204,Fontana (Seismicity),1.32E-4,0.132,2.7451906E-4
634,Franklin 2011 CFM,3.38E-4,0.298,5.9008814E-4
699,Garberville - Briceland 2011 CFM,0.001617,0.816,0.0025254672
159,Garlic Springs,1.27E-4,0.124,2.2524351E-4
341,Garlock (Central),8.38E-4,0.597,0.001769922
48,Garlock (East),8.38E-4,0.58,0.0013207955
49,Garlock (West),5.85E-4,0.47,0.0011861473
700,Gillem - Big Crack 2011 CFM,7.7E-5,0.076,1.4175435E-4
160,Goldstone Lake,3.84E-4,0.334,6.907931E-4
701,Goose Lake 2011 CFM,2.5E-5,0.025,5.6931607E-5
86,Gravel Hills-Harper Lk,2.2E-4,0.209,5.788753E-4
131,Great Valley 01,1.2E-5,0.012,3.523781E-5
133,Great Valley 02,2.9E-5,0.028,6.6413006E-5
132,Great Valley 03 Mysterious Ridge,4.79E-4,0.408,0.001011741
383,Great Valley 03a Dunnigan Hills,0.0,0.0,0.0
134,Great Valley 04a Trout Creek,2.91E-4,0.271,6.6592434E-4
381,Great Valley 04b Gordon Valley,2.61E-4,0.242,5.7335524E-4
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.0,0.0,0.0
645,Great Valley 06 (Midland) 2011 CFM alt1,3.6E-4,0.315,6.633256E-4
136,Great Valley 07 (Orestimba),1.27E-4,0.123,2.7694667E-4
137,Great Valley 08 (Quinto),1.24E-4,0.123,1.9067492E-4
151,Great Valley 09 (Laguna Seca),3.79E-4,0.328,7.932894E-4
138,Great Valley 10 (Panoche),2.78E-4,0.261,7.348172E-4
139,Great Valley 11,2.24E-4,0.206,7.0339744E-4
140,Great Valley 12,1.02E-4,0.1,4.106993E-4
142,Great Valley 13 (Coalinga),1.12E-4,0.107,6.558958E-4
141,Great Valley 14 (Kettleman Hills),8.6E-5,0.085,3.2380995E-4
623,Green Valley 2011 CFM,0.002472,0.938,0.003105729
636,Greenville (No) 2011 CFM,7.27E-4,0.54,0.0015412637
635,Greenville (So) 2011 CFM,4.93E-4,0.403,0.0010451972
702,Hartley Springs 2011 CFM,2.59E-4,0.25,6.407494E-4
37,Hat Creek-McArthur-Mayfield,2.7E-4,0.242,6.9892843E-4
639,Hayward (No) 2011 CFM,0.003393,0.98,0.004253977
638,Hayward (So) 2011 CFM,0.008166,1.0,0.008140643
637,Hayward (So) extension 2011 CFM,0.002454,0.95,0.0024974556
167,Hector Mine,1.74E-4,0.163,5.6812627E-4
84,Helendale-So Lockhart,1.97E-4,0.18,4.5865367E-4
703,Hilton Creek 2011 CFM,4.21E-4,0.375,0.0011460577
108,Hollywood,2.05E-4,0.192,5.866064E-4
228,Holser alt 1,1.17E-4,0.114,3.2740412E-4
723,Homestead Valley 2011,9.6E-5,0.091,5.356293E-4
704,Honey Lake 2011 CFM,6.97E-4,0.504,0.0014195637
30,Hosgri,3.6E-4,0.312,0.0010396335
208,Hosgri (Extension),5.6E-5,0.056,1.9396763E-4
50,Hunter Mountain-Saline Valley,7.65E-4,0.56,0.0016860048
677,Hunting Creek - Bartlett Springs connector 2011,0.001224,0.748,0.001984548
640,Hunting Creek - Berryessa 2011 CFM,0.002358,0.938,0.0028369261
97,Imperial,0.00795,1.0,0.0096799815
678,Incline Village 2011 CFM,3.4E-5,0.034,2.4175804E-4
65,Independence rev 2011,1.68E-4,0.163,2.3074308E-4
892,Jess Valley,4.1E-5,0.039,7.9790014E-5
91,Johnson Valley (No) 2011 rev,2.47E-4,0.23,7.9816044E-4
168,Joshua Tree (Seismicity),1.8E-5,0.018,3.33033E-5
679,Keddie Ridge 2011 CFM,1.18E-4,0.115,3.122006E-4
542,Kern Canyon (Lake Isabella) 2011,4.6E-5,0.045,1.4535683E-4
544,Kern Canyon (North Kern) 2011,7.1E-5,0.069,1.6781817E-4
543,Kern Canyon (South Kern) 2011,5.2E-5,0.052,1.5575226E-4
92,Kickapoo,4.3E-5,0.042,2.3277244E-4
680,King Range 2011 CFM,2.11E-4,0.195,2.636199E-4
641,La Panza 2011,8.4E-5,0.079,1.2968181E-4
104,Laguna Salada,8.38E-4,0.598,0.0014127558
207,Lake Isabella (Seismicity),9.8E-5,0.097,2.6841054E-4
642,Las Positas,0.0,0.0,0.0
890,Last Chance,6.5E-5,0.064,1.690218E-4
