Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.0697,5.0,4.0,7.7198544,1.0,3.0,10.0,23.0
4.0,7.0697,6.0,5.25,4.3534307,2.75,4.0,9.25,19.0
8.0,7.0689216,6.25,5.5,3.2295425,3.5,4.625,9.25,16.0
12.0,7.0696077,6.4166665,5.8333335,2.7073495,3.8333333,4.9166665,9.083333,14.416667
16.0,7.0689216,6.5,5.75,2.3722584,4.125,5.0625,9.0,13.375
20.0,7.0697,6.6,6.25,2.1445594,4.25,5.2,8.95,12.65
24.0,7.0711937,6.6666665,6.1666665,1.9624383,4.4583335,5.3333335,8.833333,12.041667
28.0,7.071954,6.714286,6.178571,1.8185434,4.535714,5.428571,8.75,11.642858
32.0,7.0711937,6.75,6.5625,1.7044567,4.65625,5.5,8.65625,11.34375
36.0,7.0732245,6.7777777,6.0555553,1.6192412,4.7222223,5.5833335,8.583333,11.0
40.0,7.0711937,6.825,6.4,1.523749,4.825,5.625,8.525,10.725
44.0,7.07001,6.840909,6.1136365,1.4485095,4.8863635,5.681818,8.431818,10.522727
48.0,7.0711937,6.875,6.5416665,1.3912851,4.9375,5.75,8.395833,10.354167
52.0,7.0732245,6.8846154,6.5384617,1.3258586,5.019231,5.8076925,8.365385,10.192307
56.0,7.0803347,6.910714,6.482143,1.2751731,5.071429,5.857143,8.285714,10.017858
60.0,7.0711937,6.9333334,7.016667,1.2263014,5.116667,5.85,8.266666,9.85
64.0,7.0803347,6.953125,7.3125,1.1841601,5.171875,5.90625,8.234375,9.78125
68.0,7.071954,6.9558825,6.7647057,1.1459945,5.2058825,5.9264708,8.205882,9.617647
72.0,7.083551,6.986111,7.125,1.1221597,5.236111,5.9583335,8.194445,9.597222
76.0,7.076568,6.9605265,7.144737,1.0728439,5.3026314,6.013158,8.144737,9.473684
80.0,7.0711937,6.9875,7.375,1.0361298,5.325,6.0375,8.1,9.3625
84.0,7.0865545,7.0238094,6.7619047,1.0082738,5.321429,6.0833335,8.083333,9.297619
88.0,7.080216,7.0227275,6.659091,0.9848757,5.375,6.090909,8.034091,9.215909
92.0,7.0743737,7.0,6.576087,0.96136796,5.423913,6.097826,8.021739,9.152174
96.0,7.0711937,7.0,7.0729165,0.94012946,5.4791665,6.1145835,8.010417,9.104167
100.0,7.0697,7.01,6.94,0.9174478,5.48,6.14,7.97,9.03
200.0,7.0905976,7.075,7.245,0.59084225,6.0,6.495,7.67,8.285
300.0,7.1095834,7.09,7.1833334,0.46640822,6.2766666,6.633333,7.5666666,8.096666
400.0,7.0905976,7.0575,6.895,0.38338524,6.3875,6.735,7.475,7.8975
500.0,7.0697,7.058,7.048,0.3406113,6.444,6.734,7.404,7.764
