Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,2.78E-4,0.137,6.4634316E-4
667,Almanor 2011 CFM,0.00167,0.599,0.0032080284
219,Anacapa-Dume alt 1,1.26E-4,0.061,2.7066036E-4
197,Anaheim,7.0E-5,0.034,1.5264863E-4
722,Antelope Valley 2011,7.24E-4,0.33,0.0016513178
845,Ash Hill,8.56E-4,0.357,0.0011242339
881,Baker,1.08E-4,0.052,2.971852E-4
668,Bartlett Springs 2011 CFM,0.001892,0.671,0.0032548506
669,Battle Creek 2011 CFM,1.32E-4,0.065,3.1419643E-4
842,Bear River fault zone,5.84E-4,0.27,0.0012404737
581,Bennett Valley 2011 CFM,0.001044,0.457,0.0013300235
158,Bicycle Lake,0.001006,0.425,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,5.62E-4,0.249,9.757346E-4
192,Big Pine (Central),6.36E-4,0.284,7.7102927E-4
191,Big Pine (East),5.22E-4,0.245,5.174529E-4
200,Big Pine (West),2.2E-5,0.011,3.5641617E-5
87,Blackwater,9.08E-4,0.376,0.0016023546
169,Blue Cut,7.72E-4,0.334,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.010238,1.0,0.013392845
541,Breckenridge 2011,1.6E-5,0.008,5.9955266E-5
882,Bullion Mountains,5.36E-4,0.253,8.568014E-4
94,Burnt Mtn,3.62E-4,0.18,8.178091E-4
561,Butano 2011 CFM,4.3E-4,0.203,4.988888E-4
165,Cady,7.8E-4,0.351,0.0010379759
602,Calaveras (Central) 2011 CFM,0.006306,0.982,0.007856056
601,Calaveras (No) 2011 CFM,0.002004,0.723,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.006428,0.984,0.007935263
603,Calaveras (So) 2011 CFM,0.006518,0.991,0.00887066
88,Calico-Hidalgo,0.001212,0.494,0.0021344922
724,Camp Rock 2011,1.16E-4,0.058,8.719521E-4
173,Canada David (Detachment),7.2E-5,0.036,1.708136E-4
176,Carlsbad,1.52E-4,0.073,2.9338954E-4
721,Carson Range (Genoa),0.001036,0.437,0.0021533736
