Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",93,7.1,93,7.1,0.036,0.000,0.036,0.000,5.612,0.000
Little Lake,"327, 90, 180",17,3.75,18,7.1,2.268,0.000,11.284,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,2.76,3,7.1,5.600,0.000,5.600,0.000,22.766,10.797
So Sierra Nevada,"2, 50, -90",0,,0,,4.248,4.233,4.248,4.233,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,9.015,9.011,9.015,9.011,17.039,16.895
Blackwater,"323, 90, 180",0,,0,,14.394,8.726,14.394,8.726,29.622,27.613
Scodie Lineament,"221, 68, 0",0,,0,,28.750,27.702,28.750,27.702,36.559,32.668
Panamint Valley,"334, 90, -150",0,,0,,29.109,17.187,29.583,17.627,34.350,22.425
Ash Hill,"162, 90, 180",0,,0,,33.237,22.790,34.883,23.252,35.690,25.242
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,36.147,26.349,36.147,26.349,50.134,42.769
McLean Lake,"91, 90, 0",0,,0,,37.870,37.581,37.870,37.581,54.042,51.306
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,39.627,39.626,39.627,39.626,58.680,58.391
Goldstone Lake,"325, 90, 180",0,,0,,40.122,34.141,40.122,34.141,56.861,52.490
White Wolf (Extension),"46, 75, 60",0,,0,,41.326,37.683,42.265,42.201,45.679,43.721
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,41.731,31.066,53.532,41.707,59.786,48.595
Garlock (East),"91, 90, 0",0,,0,,44.557,44.411,44.557,44.411,57.701,56.627
Nelson Lake,"89, 90, 0",0,,0,,44.675,43.319,44.675,43.319,61.695,58.028
Owl Lake,"58, 90, 0",0,,0,,44.772,40.549,44.772,40.549,57.675,50.152
Paradise,"347, 90, 180",0,,0,,45.501,36.828,45.501,36.828,63.073,55.355
Garlock (West),"55, 90, 0",0,,0,,47.768,46.428,63.115,60.529,66.575,62.627
Owens Valley,"346, 90, 180",0,,0,,49.013,48.524,49.013,48.524,68.299,66.819
Helendale-So Lockhart,"322, 90, 180",0,,0,,51.107,44.920,55.680,45.597,66.879,58.781
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,52.027,40.175,52.027,40.175,65.700,53.653
Towne Pass,"186, 50, -90",0,,0,,52.561,52.559,52.561,52.559,59.662,59.451
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,53.829,53.817,53.829,53.817,64.327,63.973
Kern Canyon (Lake Isabella) 2011,"20, 60, -90",0,,0,,56.618,56.615,56.618,56.615,66.376,66.044
Coyote Canyon,"96, 90, 0",0,,0,,57.780,52.777,57.780,52.777,75.557,69.236
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,62.153,62.142,62.153,62.142,81.168,80.888
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,63.598,63.362,63.674,63.665,68.782,68.724
Hunter Mountain-Saline Valley,"304, 90, -150",0,,0,,67.276,56.143,67.276,56.143,77.497,67.795
Coyote Lake,"73, 90, 0",0,,0,,70.213,59.016,70.213,59.016,89.071,77.908
Death Valley (So),"315, 90, 180",0,,0,,70.843,59.027,70.843,59.027,76.238,65.398
Garlic Springs,"130, 90, 180",0,,0,,70.939,69.928,70.939,69.928,88.845,88.468
Bicycle Lake,"109, 90, 0",0,,0,,71.736,70.614,71.736,70.614,89.373,87.038
Independence rev 2011,"313, 50, -90",0,,0,,73.220,72.867,73.220,72.867,92.154,92.123
Calico-Hidalgo,"306, 90, 180",0,,0,,75.434,75.096,75.434,75.096,94.213,93.988
White Wolf,"41, 75, 60",0,,0,,77.366,75.777,88.320,87.948,89.285,88.663
Manix-Afton Hills,"73, 90, 0",0,,0,,93.537,83.554,93.537,83.554,112.425,102.354
