Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
861,Airport Lake,3.7E-4,0.037,6.4634316E-4
667,Almanor 2011 CFM,0.00196,0.182,0.0032080284
219,Anacapa-Dume alt 1,1.0E-4,0.01,2.7066036E-4
197,Anaheim,5.0E-5,0.005,1.5264863E-4
722,Antelope Valley 2011,9.1E-4,0.09,0.0016513178
845,Ash Hill,8.8E-4,0.082,0.0011242339
881,Baker,1.9E-4,0.019,2.971852E-4
668,Bartlett Springs 2011 CFM,0.00237,0.219,0.0032548506
669,Battle Creek 2011 CFM,1.4E-4,0.014,3.1419643E-4
842,Bear River fault zone,7.3E-4,0.072,0.0012404737
581,Bennett Valley 2011 CFM,0.00115,0.109,0.0013300235
158,Bicycle Lake,0.00129,0.121,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,8.6E-4,0.083,9.757346E-4
192,Big Pine (Central),5.7E-4,0.052,7.7102927E-4
191,Big Pine (East),3.2E-4,0.032,5.174529E-4
200,Big Pine (West),3.0E-5,0.003,3.5641617E-5
87,Blackwater,0.00118,0.11,0.0016023546
169,Blue Cut,7.5E-4,0.073,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.01027,0.748,0.013392845
541,Breckenridge 2011,2.0E-5,0.002,5.9955266E-5
882,Bullion Mountains,6.1E-4,0.059,8.568014E-4
94,Burnt Mtn,4.1E-4,0.041,8.178091E-4
561,Butano 2011 CFM,2.5E-4,0.024,4.988888E-4
165,Cady,6.9E-4,0.065,0.0010379759
602,Calaveras (Central) 2011 CFM,0.00466,0.386,0.007856056
601,Calaveras (No) 2011 CFM,0.00173,0.169,0.0025420743
621,Calaveras (So) - Paicines extension 2011 CFM,0.0052,0.422,0.007935263
603,Calaveras (So) 2011 CFM,0.00499,0.427,0.00887066
88,Calico-Hidalgo,0.00155,0.143,0.0021344922
724,Camp Rock 2011,6.5E-4,0.063,8.719521E-4
173,Canada David (Detachment),4.0E-5,0.004,1.708136E-4
