Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
861,Airport Lake,2.98E-4,0.147,4.0E-6,0.002,2.0E-6,6.4634316E-4
667,Almanor 2011 CFM,0.001888,0.657,1.4E-5,0.006,2.0E-6,0.0032080284
219,Anacapa-Dume alt 1,1.76E-4,0.088,4.0E-6,0.002,0.0,2.7066036E-4
197,Anaheim,7.4E-5,0.037,2.0E-6,0.001,0.0,1.5264863E-4
722,Antelope Valley 2011,7.96E-4,0.358,4.0E-6,0.002,0.0,0.0016513178
845,Ash Hill,7.98E-4,0.333,1.8E-5,0.008,6.0E-6,0.0011242339
881,Baker,1.7E-4,0.082,0.0,0.0,0.0,2.971852E-4
668,Bartlett Springs 2011 CFM,0.00203,0.706,8.0E-6,0.004,2.0E-6,0.0032548506
669,Battle Creek 2011 CFM,1.62E-4,0.081,0.0,0.0,0.0,3.1419643E-4
842,Bear River fault zone,6.02E-4,0.286,2.2E-5,0.011,8.0E-6,0.0012404737
581,Bennett Valley 2011 CFM,0.001108,0.476,4.6E-5,0.021,6.0E-6,0.0013300235
158,Bicycle Lake,9.02E-4,0.388,1.8E-5,0.009,2.0E-6,0.0010238567
741,Big Lagoon - Bald Mtn 2011 CFM,6.46E-4,0.285,2.8E-5,0.012,1.0E-5,9.757346E-4
192,Big Pine (Central),5.54E-4,0.249,3.6E-5,0.016,8.0E-6,7.7102927E-4
191,Big Pine (East),5.44E-4,0.253,5.6E-5,0.026,8.0E-6,5.174529E-4
200,Big Pine (West),3.0E-5,0.015,0.0,0.0,0.0,3.5641617E-5
87,Blackwater,0.001006,0.39,2.4E-5,0.011,4.0E-6,0.0016023546
169,Blue Cut,7.76E-4,0.334,3.4E-5,0.014,1.2E-5,0.0011076577
170,Brawley (Seismic Zone) alt 1,0.011024,1.0,4.58E-4,0.187,2.06E-4,0.013392845
541,Breckenridge 2011,2.2E-5,0.011,0.0,0.0,0.0,5.9955266E-5
882,Bullion Mountains,5.14E-4,0.247,9.0E-5,0.045,3.4E-5,8.568014E-4
