Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.46682,6.0,5.0,5.9787536,1.0,3.0,11.0,21.0
2.0,7.46682,6.5,5.5,4.5137243,2.5,4.0,10.5,18.5
4.0,7.46682,6.75,6.0,3.387484,3.25,4.75,9.75,16.25
6.0,7.473104,6.8333335,6.1666665,2.829323,3.8333333,5.1666665,9.5,14.666667
8.0,7.473104,7.0,6.375,2.5242126,4.125,5.375,9.375,14.0
10.0,7.46682,7.0,6.8,2.285267,4.3,5.5,9.3,13.2
12.0,7.473104,7.0833335,7.0833335,2.103527,4.5,5.6666665,9.166667,12.833333
14.0,7.470592,7.142857,6.214286,1.9700258,4.642857,5.714286,9.071428,12.357142
16.0,7.473104,7.1875,6.9375,1.8470454,4.8125,5.8125,9.0625,12.125
18.0,7.4849,7.2222223,7.5,1.7598848,4.9444447,5.9444447,9.0,11.888889
20.0,7.46682,7.15,6.6,1.6853195,5.0,5.95,8.95,11.65
22.0,7.487773,7.2272725,6.6363635,1.6113279,5.090909,6.0454545,8.863636,11.363636
24.0,7.473104,7.25,7.0833335,1.5455631,5.125,6.0416665,8.833333,11.291667
26.0,7.5072694,7.269231,7.1538463,1.4959836,5.269231,6.1538463,8.807693,11.269231
28.0,7.489262,7.285714,7.321429,1.44476,5.285714,6.178571,8.75,10.928572
30.0,7.4849,7.3,6.9,1.402018,5.3,6.2,8.8,10.766666
32.0,7.473104,7.28125,7.28125,1.36632,5.375,6.21875,8.71875,10.71875
34.0,7.5353823,7.3235292,7.0882354,1.3175864,5.5,6.352941,8.705882,10.6470585
36.0,7.5195556,7.3055553,6.5277777,1.2802984,5.5833335,6.361111,8.694445,10.583333
38.0,7.512645,7.3157897,7.0,1.2679559,5.5,6.3421054,8.631579,10.526316
40.0,7.4966626,7.325,7.175,1.2429862,5.575,6.35,8.6,10.45
42.0,7.489262,7.3095236,7.3095236,1.2190933,5.595238,6.357143,8.642858,10.452381
44.0,7.487773,7.318182,7.431818,1.1954879,5.590909,6.3863635,8.568182,10.295455
46.0,7.4799237,7.304348,7.4565215,1.1767899,5.630435,6.4130435,8.586957,10.152174
48.0,7.473104,7.2916665,6.8333335,1.15275,5.6666665,6.4166665,8.541667,10.166667
50.0,7.46682,7.3,6.92,1.1368266,5.7,6.42,8.54,10.14
52.0,7.5985384,7.4038463,6.730769,1.0991449,5.9423075,6.576923,8.596154,10.365385
54.0,7.581796,7.4074073,6.9814816,1.080842,5.9259257,6.5740743,8.574074,10.222222
56.0,7.572125,7.410714,6.821429,1.0579358,5.946429,6.589286,8.553572,10.142858
58.0,7.5630174,7.413793,6.9827585,1.0398512,5.9310346,6.6034484,8.551724,10.0172415
60.0,7.5571,7.4166665,6.9166665,1.0113443,5.9166665,6.6,8.5,10.0
62.0,7.5530643,7.370968,7.064516,0.996581,5.951613,6.612903,8.4838705,9.935484
64.0,7.540547,7.359375,7.0,0.98437274,6.046875,6.609375,8.484375,9.890625
66.0,7.5357575,7.378788,6.818182,0.9780691,6.060606,6.6060605,8.469697,9.787879
68.0,7.5353823,7.352941,7.1617646,0.96089506,6.0882354,6.602941,8.426471,9.764706
70.0,7.526957,7.385714,7.285714,0.938953,6.0571427,6.642857,8.4,9.685715
72.0,7.5195556,7.375,7.6805553,0.9230379,6.0555553,6.625,8.402778,9.611111
74.0,7.5198245,7.391892,7.081081,0.91841954,6.0945945,6.6486487,8.405405,9.635135
76.0,7.512645,7.381579,7.1710525,0.91056156,6.0789475,6.644737,8.368421,9.657895
78.0,7.5072694,7.3846154,7.25641,0.8999426,6.0897436,6.6538463,8.320513,9.589744
80.0,7.4966626,7.4125,7.425,0.88993895,6.0625,6.675,8.2875,9.4875
82.0,7.4926705,7.378049,7.365854,0.87759596,6.0487804,6.6707315,8.292683,9.45122
84.0,7.489262,7.392857,7.3809524,0.8657705,6.0833335,6.678571,8.273809,9.5
86.0,7.4893255,7.395349,7.2674417,0.8532875,6.0697675,6.6860466,8.255814,9.476745
88.0,7.487773,7.3977275,6.806818,0.84515446,6.1136365,6.681818,8.261364,9.420455
90.0,7.4849,7.411111,7.411111,0.84163314,6.1,6.688889,8.244445,9.4
92.0,7.4799237,7.380435,7.5652175,0.8333736,6.097826,6.695652,8.26087,9.380435
94.0,7.474202,7.37234,7.2021275,0.826643,6.0957446,6.691489,8.234042,9.3404255
96.0,7.473104,7.3854165,7.3020835,0.8167764,6.09375,6.6770835,8.260417,9.3125
98.0,7.470592,7.377551,7.6530614,0.80855864,6.112245,6.6938777,8.244898,9.27551
100.0,7.46682,7.37,7.15,0.8024234,6.1,6.69,8.26,9.25
