Section Name,"Strike, Dip, Rake",Hypocenter In Polygon?,Surface In Polygon?,Minimum Distance (km),Minimum Poly Distance (km)
Airport Lake,"359, 50, -90",false,false,12.391,2.343
Little Lake,"327, 90, 180",false,false,16.592,4.590
Tank Canyon,"189, 50, -90",false,false,17.241,17.235
So Sierra Nevada,"2, 50, -90",false,false,21.995,21.364
Garlock (Central),"71, 90, 0",false,false,22.827,10.858
Blackwater,"323, 90, 180",false,false,29.693,27.813
Panamint Valley,"334, 90, -150",false,false,34.715,22.791
Ash Hill,"162, 90, 180",false,false,35.921,27.671
Scodie Lineament,"221, 68, 0",false,false,45.380,40.865
Gravel Hills-Harper Lk,"311, 90, 180",false,false,50.133,42.845
White Wolf (Extension),"46, 75, 60",false,false,52.114,49.701
McLean Lake,"96, 90, 0",false,false,54.368,51.666
Goldstone Lake,"325, 90, 180",false,false,57.178,52.758
Owl Lake,"58, 90, 0",false,false,58.036,50.527
Garlock (East),"91, 90, 0",false,false,58.062,57.004
Lenwood-Lockhart-Old Woman Springs,"313, 90, 180",false,false,59.597,48.434
Nelson Lake,"96, 90, 0",false,false,62.007,58.375
Paradise,"347, 90, 180",false,false,63.371,55.614
Towne Pass,"195, 50, -90",false,false,63.787,63.781
Garlock (West),"59, 90, 0",false,false,66.288,64.137
Helendale-So Lockhart,"321, 90, 180",false,false,66.795,58.750
Sierra Nevada  (No Extension),"344, 50, -90",false,false,68.653,68.460
Death Valley (Black Mtns Frontal),"167, 60, -150",false,false,69.242,69.096
Kern Canyon (South Kern) 2011,"357, 60, -90",false,false,72.857,72.602
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",false,false,74.615,74.378
Lake Isabella (Seismicity),"9, 90, 0",false,false,75.340,63.383
Coyote Canyon,"88, 90, 0",false,false,75.852,69.561
Death Valley (So),"321, 90, 180",false,false,76.609,65.774
Owens Valley,"343, 90, 180",false,false,78.638,76.233
Hunter Mountain-Saline Valley,"317, 90, -150",false,false,83.091,74.311
Garlic Springs,"130, 90, 180",false,false,89.137,88.736
Coyote Lake,"75, 90, 0",false,false,89.262,78.112
Bicycle Lake,"107, 90, 0",false,false,89.674,87.367
Breckenridge 2011,"7, 60, -90",false,false,89.960,89.765
Kern Canyon (North Kern) 2011,"360, 60, -90",false,false,91.974,91.772
White Wolf,"51, 75, 60",false,false,93.283,92.263
Calico-Hidalgo,"322, 90, 180",false,false,94.391,94.190
Independence rev 2011,"337, 50, -90",false,false,102.044,101.913
Baker,"331, 90, 180",false,false,102.747,93.385
Camp Rock 2011,"316, 90, 180",false,false,107.085,104.850
Death Valley (No),"321, 90, 180",false,false,108.576,97.342
Manix-Afton Hills,"81, 90, 0",false,false,110.194,99.797
Tin Mountain,"193, 50, -90",false,false,112.185,111.751
Cady,"97, 90, 0",false,false,115.573,108.002
Red Pass,"141, 90, 180",false,false,116.231,111.748
Dry Mountain,"208, 50, -90",false,false,124.286,123.019
Pisgah-Bullion Mtn-Mesquite Lk,"330, 90, 180",false,false,135.461,133.332
San Andreas (Mojave S),"116, 90, 180",false,false,139.552,127.554
Emerson-Copper Mtn 2011,"320, 90, 180",false,false,139.904,138.936
Ludlow,"149, 90, 180",false,false,141.053,136.862
San Andreas (Mojave N),"109, 90, 180",false,false,144.212,132.972
North Frontal  (West),"80, 49, 90",false,false,144.335,143.034
Johnson Valley (No) 2011 rev,"330, 90, 180",false,false,147.473,147.325
Hector Mine,"156, 90, 180",false,false,150.590,147.124
Pleito,"91, 46, 90",false,false,151.255,150.422
San Gabriel (Extension),"276, 61, 180",false,false,152.721,152.603
San Andreas (San Bernardino N),"122, 90, 180",false,false,154.462,144.209
Cleghorn,"96, 90, 0",false,false,155.424,143.533
Pine Mtn,"275, 45, 90",false,false,155.476,155.290
Clamshell-Sawpit,"244, 50, 90",false,false,156.606,156.516
Cucamonga,"257, 45, 90",false,false,156.949,156.890
White Mountains,"352, 90, 180",false,false,157.871,155.410
San Gabriel,"309, 61, 144",false,false,158.043,157.928
Homestead Valley 2011,"333, 90, 180",false,false,158.562,157.646
San Andreas (Big Bend),"108, 90, 180",false,false,160.333,150.442
San Jacinto (San Bernardino),"138, 90, 180",false,false,160.347,152.682
Northridge Hills,"289, 31, 90",false,false,161.024,160.902
North Frontal  (East),"104, 41, 90",false,false,162.115,161.374
San Jacinto (Lytle Creek connector),"135, 90, 180",false,false,162.168,153.928
Sierra Madre (San Fernando),"273, 45, 90",false,false,162.176,162.120
Sierra Madre,"288, 53, 90",false,false,163.667,163.576
Big Pine (East),"248, 73, 45",false,false,166.928,166.295
Santa Susana alt 1,"278, 55, 30",false,false,167.513,167.340
San Cayetano,"273, 42, 90",false,false,167.594,167.442
Verdugo,"301, 55, 90",false,false,170.764,170.666
Bullion Mountains,"320, 90, 180",false,false,170.876,170.775
Holser alt 1,"99, 58, 90",false,false,171.193,168.758
Mission Hills 2011,"277, 55, 90",false,false,171.386,171.287
Fontana (Seismicity),"223, 80, 0",false,false,171.860,167.422
San Andreas (North Branch Mill Creek),"114, 76, 180",false,false,172.086,165.243
San Jose,"244, 74, 30",false,false,173.951,171.538
Northridge,"111, 35, 90",false,false,174.218,174.211
Raymond,"258, 79, 60",false,false,174.430,169.250
