Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,7.844631,7.7375,7.7625,0.8757535,6.375,7.0,8.7,9.9375
5.1,6.2055855,6.125,5.8125,0.71487415,5.025,5.5,6.8875,7.8625
5.2,4.9070635,4.8375,4.875,0.58233684,3.9625,4.3125,5.5,6.225
5.3,3.8698752,3.8125,3.7125,0.47728944,3.0875,3.3875,4.3375,4.95
5.4,3.057077,3.025,3.05,0.39105743,2.3375,2.6875,3.4375,3.925
5.5,2.4066975,2.375,2.35,0.31792957,1.825,2.1,2.7375,3.1125
5.6,1.8926518,1.8625,1.85,0.2637812,1.4375,1.6375,2.15,2.475
5.7,1.4771285,1.4625,1.3875,0.21817379,1.0875,1.2625,1.7,1.9375
5.8,1.1525352,1.1375,1.0,0.1788002,0.825,0.9875,1.325,1.5375
5.9,0.8824973,0.875,0.9125,0.14852315,0.6,0.7375,1.0375,1.1875
6.0,0.69825107,0.7,0.7,0.12776326,0.475,0.575,0.825,0.9625
6.1,0.53649676,0.5375,0.55,0.10716087,0.3375,0.4375,0.65,0.75
6.2,0.41949567,0.4125,0.4375,0.090887785,0.25,0.325,0.5125,0.6
6.3,0.32562363,0.325,0.3125,0.07824558,0.1875,0.25,0.4,0.4875
6.4,0.24886118,0.25,0.2375,0.06557752,0.1375,0.175,0.3125,0.3875
6.5,0.18865238,0.1875,0.2125,0.05587311,0.0875,0.1375,0.2375,0.3
6.6,0.14343818,0.1375,0.1125,0.04686118,0.0625,0.1,0.1875,0.25
6.7,0.10576193,0.1,0.0875,0.040472355,0.0375,0.0625,0.15,0.1875
6.8,0.07955532,0.075,0.0625,0.034183197,0.025,0.05,0.1125,0.15
6.9,0.058758136,0.05,0.05,0.02844534,0.0125,0.0375,0.0875,0.125
7.0,0.043031454,0.0375,0.0375,0.023428677,0.0,0.025,0.0625,0.0875
7.1,0.03141269,0.025,0.025,0.020019433,0.0,0.0125,0.05,0.075
7.2,0.021759761,0.025,0.0125,0.016053353,0.0,0.0,0.0375,0.0625
7.3,0.016404556,0.0125,0.0125,0.013809276,0.0,0.0,0.025,0.05
7.4,0.010629067,0.0125,0.0,0.011199632,0.0,0.0,0.025,0.0375
7.5,0.0067651845,0.0,0.0,0.009126236,0.0,0.0,0.0125,0.025
7.6,0.0037960955,0.0,0.0,0.006977447,0.0,0.0,0.0125,0.025
7.7,0.0018167028,0.0,0.0,0.00477729,0.0,0.0,0.0,0.0125
7.8,8.4056397E-4,0.0,0.0,0.0032907536,0.0,0.0,0.0,0.0125
7.9,3.9316702E-4,0.0,0.0,0.0021829284,0.0,0.0,0.0,0.0125
8.0,1.8980478E-4,0.0,0.0,0.0015294021,0.0,0.0,0.0,0.0
8.1,5.4229935E-5,0.0,0.0,8.2198915E-4,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
