Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,1.8E-4,0.018
667,Almanor 2011 CFM,6.3E-4,0.063
219,Anacapa-Dume alt 1,1.3E-4,0.013
197,Anaheim,2.0E-5,0.002
722,Antelope Valley 2011,5.6E-4,0.055
845,Ash Hill,3.1E-4,0.031
881,Baker,8.0E-5,0.008
668,Bartlett Springs 2011 CFM,0.00196,0.19
669,Battle Creek 2011 CFM,1.8E-4,0.018
842,Bear River fault zone,3.8E-4,0.038
581,Bennett Valley 2011 CFM,5.6E-4,0.056
158,Bicycle Lake,3.9E-4,0.039
741,Big Lagoon - Bald Mtn 2011 CFM,8.6E-4,0.082
192,Big Pine (Central),1.4E-4,0.014
191,Big Pine (East),2.3E-4,0.023
200,Big Pine (West),3.0E-5,0.003
87,Blackwater,2.5E-4,0.025
169,Blue Cut,4.3E-4,0.042
170,Brawley (Seismic Zone) alt 1,0.00719,0.607
541,Breckenridge 2011,3.0E-5,0.003
882,Bullion Mountains,4.6E-4,0.046
94,Burnt Mtn,4.6E-4,0.046
561,Butano 2011 CFM,6.0E-5,0.006
165,Cady,2.9E-4,0.027
602,Calaveras (Central) 2011 CFM,0.00351,0.323
601,Calaveras (No) 2011 CFM,0.00165,0.164
621,Calaveras (So) - Paicines extension 2011 CFM,0.00322,0.293
603,Calaveras (So) 2011 CFM,0.00276,0.265
88,Calico-Hidalgo,8.7E-4,0.086
724,Camp Rock 2011,2.3E-4,0.023
173,Canada David (Detachment),8.0E-5,0.008
176,Carlsbad,1.9E-4,0.018
721,Carson Range (Genoa),7.9E-4,0.079
670,Casmalia 2011 CFM,1.7E-4,0.017
34,Cedar Mtn-Mahogany Mtn,3.9E-4,0.036
172,Cerro Prieto,0.01081,0.784
129,Channel Islands Thrust,0.00126,0.117
214,Channel Islands Western Deep Ramp,2.7E-4,0.026
238,Chino alt 1,5.9E-4,0.058
124,Clamshell-Sawpit,1.3E-4,0.013
844,Clayton,2.1E-4,0.021
81,Cleghorn,1.3E-4,0.013
884,Cleghorn Lake,4.2E-4,0.041
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,1.5E-4,0.015
184,Compton,2.6E-4,0.026
622,Concord 2011 CFM,0.00109,0.108
626,Contra Costa (Lafayette) 2011 CFM,1.9E-4,0.019
633,Contra Costa Shear Zone (connector) 2011 CFM,2.4E-4,0.024
776,Coronado Bank alt1,0.00101,0.101
157,Coyote Canyon,0.00119,0.112
163,Coyote Lake,5.1E-4,0.05
125,Cucamonga,3.8E-4,0.037
894,Davis Creek,9.0E-5,0.009
245,Death Valley (Black Mtns Frontal),5.6E-4,0.056
45,Death Valley (Fish Lake Valley),9.1E-4,0.089
46,Death Valley (No),6.3E-4,0.063
246,Death Valley (So),9.5E-4,0.089
51,Deep Springs,7.2E-4,0.072
230,Del Valle,2.3E-4,0.023
889,Dog Valley,1.4E-4,0.014
888,Dry Mountain,1.0E-4,0.01
