Parent ID,Parent Name,Total Mean Annual Rate,Total 100 Year Prob
861,Airport Lake,4.0E-4,0.039
667,Almanor 2011 CFM,0.00227,0.204
219,Anacapa-Dume alt 1,1.3E-4,0.013
197,Anaheim,7.0E-5,0.007
722,Antelope Valley 2011,9.4E-4,0.091
845,Ash Hill,0.00108,0.102
881,Baker,2.0E-4,0.02
668,Bartlett Springs 2011 CFM,0.00254,0.242
669,Battle Creek 2011 CFM,1.8E-4,0.018
842,Bear River fault zone,7.7E-4,0.074
581,Bennett Valley 2011 CFM,0.00109,0.105
158,Bicycle Lake,0.00138,0.128
741,Big Lagoon - Bald Mtn 2011 CFM,8.6E-4,0.082
192,Big Pine (Central),6.2E-4,0.059
191,Big Pine (East),4.3E-4,0.042
200,Big Pine (West),4.0E-5,0.004
87,Blackwater,0.00132,0.122
169,Blue Cut,0.001,0.092
170,Brawley (Seismic Zone) alt 1,0.01084,0.784
541,Breckenridge 2011,3.0E-5,0.003
882,Bullion Mountains,6.7E-4,0.067
94,Burnt Mtn,5.7E-4,0.057
561,Butano 2011 CFM,1.1E-4,0.011
165,Cady,9.3E-4,0.089
602,Calaveras (Central) 2011 CFM,0.00533,0.444
601,Calaveras (No) 2011 CFM,0.00183,0.179
621,Calaveras (So) - Paicines extension 2011 CFM,0.0059,0.462
603,Calaveras (So) 2011 CFM,0.00584,0.495
88,Calico-Hidalgo,0.0018,0.17
724,Camp Rock 2011,5.0E-4,0.049
173,Canada David (Detachment),8.0E-5,0.008
176,Carlsbad,2.5E-4,0.024
721,Carson Range (Genoa),0.00141,0.136
670,Casmalia 2011 CFM,2.3E-4,0.023
34,Cedar Mtn-Mahogany Mtn,0.00113,0.098
172,Cerro Prieto,0.01256,0.832
129,Channel Islands Thrust,0.00126,0.117
214,Channel Islands Western Deep Ramp,2.7E-4,0.026
238,Chino alt 1,0.00182,0.167
124,Clamshell-Sawpit,1.4E-4,0.014
844,Clayton,3.5E-4,0.035
81,Cleghorn,2.7E-4,0.027
884,Cleghorn Lake,7.8E-4,0.074
883,Cleghorn Pass,6.7E-4,0.062
582,Collayami 2011 CFM,8.7E-4,0.082
184,Compton,2.6E-4,0.026
622,Concord 2011 CFM,0.0022,0.217
626,Contra Costa (Lafayette) 2011 CFM,1.9E-4,0.019
633,Contra Costa Shear Zone (connector) 2011 CFM,5.1E-4,0.05
776,Coronado Bank alt1,0.00348,0.301
157,Coyote Canyon,0.00239,0.202
163,Coyote Lake,8.2E-4,0.078
125,Cucamonga,3.9E-4,0.038
894,Davis Creek,0.00101,0.08
245,Death Valley (Black Mtns Frontal),6.2E-4,0.062
45,Death Valley (Fish Lake Valley),0.00131,0.128
46,Death Valley (No),6.8E-4,0.068
246,Death Valley (So),0.00101,0.095
51,Deep Springs,7.7E-4,0.077
230,Del Valle,3.4E-4,0.034
889,Dog Valley,2.0E-4,0.02
888,Dry Mountain,1.9E-4,0.019
249,Earthquake Valley,6.5E-4,0.065
255,Earthquake Valley (No  Extension),7.3E-4,0.071
256,Earthquake Valley (So Extension),0.00106,0.104
671,East Huasna 2011 CFM,5.0E-5,0.005
672,Eaton Roughs 2011 CFM,0.00315,0.256
96,Elmore Ranch,0.00368,0.345
103,Elsinore (Coyote Mountains),0.00132,0.126
296,Elsinore (Glen Ivy) rev,0.00639,0.513
102,Elsinore (Julian),2.5E-4,0.025
402,Elsinore (Stepovers Combined),5.5E-4,0.054
299,Elsinore (Temecula) rev,6.1E-4,0.061
196,Elysian Park (Lower CFM),1.2E-4,0.012
146,Elysian Park (Upper),0.00136,0.122
90,Emerson-Copper Mtn 2011,8.8E-4,0.084
95,Eureka Peak,0.00119,0.119
20,Fickle Hill (alt1),3.2E-4,0.032
698,Fish Slough 2011 CFM,1.0E-4,0.01
893,Fitzhugh Creek,2.3E-4,0.022
204,Fontana (Seismicity),3.0E-4,0.03
634,Franklin 2011 CFM,6.5E-4,0.064
699,Garberville - Briceland 2011 CFM,0.00171,0.167
159,Garlic Springs,0.001,0.097
341,Garlock (Central),0.00196,0.186
48,Garlock (East),0.00244,0.216
49,Garlock (West),5.4E-4,0.054
700,Gillem - Big Crack 2011 CFM,9.6E-4,0.083
160,Goldstone Lake,0.00183,0.169
701,Goose Lake 2011 CFM,1.2E-4,0.011
86,Gravel Hills-Harper Lk,0.00121,0.112
131,Great Valley 01,1.7E-4,0.017
133,Great Valley 02,1.1E-4,0.011
132,Great Valley 03 Mysterious Ridge,0.00127,0.119
383,Great Valley 03a Dunnigan Hills,0.0013,0.112
134,Great Valley 04a Trout Creek,6.5E-4,0.065
381,Great Valley 04b Gordon Valley,0.00152,0.148
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.00182,0.161
645,Great Valley 06 (Midland) 2011 CFM alt1,6.2E-4,0.061
136,Great Valley 07 (Orestimba),0.0017,0.15
137,Great Valley 08 (Quinto),6.5E-4,0.065
151,Great Valley 09 (Laguna Seca),0.00239,0.211
138,Great Valley 10 (Panoche),5.0E-4,0.05
139,Great Valley 11,9.7E-4,0.095
140,Great Valley 12,3.5E-4,0.034
142,Great Valley 13 (Coalinga),4.3E-4,0.043
141,Great Valley 14 (Kettleman Hills),2.0E-4,0.02
623,Green Valley 2011 CFM,0.00417,0.382
636,Greenville (No) 2011 CFM,0.00141,0.137
635,Greenville (So) 2011 CFM,0.00142,0.14
702,Hartley Springs 2011 CFM,4.7E-4,0.047
37,Hat Creek-McArthur-Mayfield,0.00143,0.136
639,Hayward (No) 2011 CFM,0.00295,0.271
638,Hayward (So) 2011 CFM,0.00667,0.555
637,Hayward (So) extension 2011 CFM,0.0051,0.44
167,Hector Mine,6.9E-4,0.068
84,Helendale-So Lockhart,7.3E-4,0.071
703,Hilton Creek 2011 CFM,8.0E-4,0.078
108,Hollywood,4.0E-4,0.039
228,Holser alt 1,3.0E-4,0.029
723,Homestead Valley 2011,4.0E-4,0.038
704,Honey Lake 2011 CFM,0.00235,0.216
30,Hosgri,0.00106,0.098
208,Hosgri (Extension),4.9E-4,0.046
50,Hunter Mountain-Saline Valley,0.00179,0.175
677,Hunting Creek - Bartlett Springs connector 2011,0.00192,0.188
640,Hunting Creek - Berryessa 2011 CFM,0.00655,0.509
97,Imperial,0.0116,0.803
678,Incline Village 2011 CFM,2.0E-5,0.002
65,Independence rev 2011,2.7E-4,0.027
892,Jess Valley,1.3E-4,0.013
91,Johnson Valley (No) 2011 rev,7.8E-4,0.076
168,Joshua Tree (Seismicity),2.0E-5,0.002
679,Keddie Ridge 2011 CFM,8.2E-4,0.079
542,Kern Canyon (Lake Isabella) 2011,1.3E-4,0.013
544,Kern Canyon (North Kern) 2011,2.6E-4,0.026
543,Kern Canyon (South Kern) 2011,1.6E-4,0.016
92,Kickapoo,7.4E-4,0.074
680,King Range 2011 CFM,9.1E-4,0.091
641,La Panza 2011,1.9E-4,0.019
104,Laguna Salada,0.00244,0.23
207,Lake Isabella (Seismicity),2.6E-4,0.026
642,Las Positas,5.1E-4,0.051
890,Last Chance,1.4E-4,0.014
85,Lenwood-Lockhart-Old Woman Springs,0.00159,0.147
705,Likely 2011 CFM,9.3E-4,0.09
681,Lions Head 2011 CFM,3.0E-5,0.003
144,Little Lake,9.9E-4,0.094
16,Little Salmon (Offshore),7.3E-4,0.072
17,Little Salmon (Onshore),0.00146,0.146
683,Los Alamos 2011 CFM,5.1E-4,0.05
780,Los Alamos extension,3.6E-4,0.036
643,Los Medanos - Roe Island,3.0E-5,0.003
74,Los Osos 2011,2.2E-4,0.022
201,Lost Hills,9.6E-4,0.093
166,Ludlow,9.8E-4,0.095
644,Maacama 2011 CFM,0.0046,0.401
22,Mad River (alt1),6.0E-4,0.06
221,Malibu Coast (Extension) alt 1,3.8E-4,0.037
220,Malibu Coast alt 1,7.4E-4,0.072
164,Manix-Afton Hills,7.2E-4,0.07
21,McKinleyville (alt1),7.9E-4,0.074
155,McLean Lake,0.00124,0.116
13,Mendocino,0.01612,0.865
605,Mission (connected) 2011 CFM,0.00115,0.109
250,Mission Creek,4.9E-4,0.048
779,Mission Hills 2011,7.9E-4,0.079
78,Mission Ridge-Arroyo Parida-Santa Ana,0.00295,0.239
686,Mohawk Valley 2011 CFM,7.9E-4,0.078
707,Mono Lake 2011 CFM,7.6E-4,0.076
646,Monte Vista - Shannon 2011 CFM,0.00133,0.129
11,Monterey Bay-Tularcitos,0.00151,0.139
