Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",463,7.1,463,7.1,0.142,0.000,0.142,0.000,4.758,0.000
Little Lake,"327, 90, 180",174,5.5,175,7.1,1.937,0.000,10.964,0.000,13.442,0.829
Garlock (Central),"71, 90, 0",38,4.37,39,7.1,2.884,0.000,11.372,0.000,32.214,19.737
So Sierra Nevada,"2, 50, -90",4,3.07,4,3.07,1.401,0.000,4.051,3.719,14.982,14.588
Panamint Valley,"334, 90, -150",4,3.3,4,3.3,6.408,0.000,30.711,18.736,41.027,29.122
Ash Hill,"162, 90, 180",2,3.3,2,3.3,2.023,0.000,35.030,24.060,36.863,25.869
Blackwater,"323, 90, 180",1,3.38,1,3.38,5.356,0.000,18.751,15.133,39.556,38.153
Tank Canyon,"189, 50, -90",0,,0,,5.357,3.594,8.828,8.822,25.808,24.238
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,5.661,3.921,64.955,64.937,74.983,74.851
Towne Pass,"195, 50, -90",0,,0,,11.626,7.127,52.890,52.879,60.139,60.005
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,14.191,14.151,39.256,39.231,58.629,58.540
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,28.437,27.470,37.397,32.118
Hunter Mountain-Saline Valley,"317, 90, -150",0,,0,,17.621,9.903,67.296,56.120,78.131,68.253
Death Valley (No),"321, 90, 180",0,,0,,20.919,13.266,103.910,92.007,107.912,96.213
Owens Valley,"343, 90, 180",0,,0,,23.044,22.971,48.562,48.128,68.487,67.042
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,24.108,12.696,40.361,31.548,58.568,52.323
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.420,42.054,41.908,44.674,43.103
McLean Lake,"96, 90, 0",0,,0,,33.548,32.294,43.182,42.219,65.470,61.831
Goldstone Lake,"325, 90, 180",0,,0,,34.486,25.022,45.678,40.346,68.255,63.830
Death Valley (So),"321, 90, 180",0,,0,,34.575,34.120,72.291,60.730,83.729,73.439
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,36.514,24.660,51.491,39.634,65.296,53.232
Paradise,"347, 90, 180",0,,0,,37.671,26.806,51.410,43.108,74.486,66.675
Nelson Lake,"96, 90, 0",0,,0,,38.085,37.954,50.361,48.070,73.154,68.882
Lenwood-Lockhart-Old Woman Springs,"313, 90, 180",0,,0,,39.048,29.867,55.277,43.455,63.255,52.979
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,40.346,38.302,53.450,53.376,63.524,63.465
Garlock (West),"59, 90, 0",0,,0,,41.717,39.247,65.719,63.430,66.158,61.992
Kern Canyon (North Kern) 2011,"360, 60, -90",0,,0,,41.928,40.542,61.619,61.555,80.749,80.702
Garlock (East),"91, 90, 0",0,,0,,42.244,40.100,48.691,48.601,68.398,66.072
Owl Lake,"58, 90, 0",0,,0,,42.503,37.369,48.812,43.240,68.266,59.744
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,56.253,56.191,65.566,65.519
Helendale-So Lockhart,"321, 90, 180",0,,0,,44.866,33.648,58.937,49.565,73.213,66.279
Tin Mountain,"193, 50, -90",0,,0,,47.246,46.959,90.827,90.748,106.537,105.155
Independence rev 2011,"337, 50, -90",0,,0,,47.371,46.797,72.784,72.406,92.372,92.289
Coyote Canyon,"88, 90, 0",0,,0,,48.897,46.705,63.788,58.264,87.021,80.397
Coyote Lake,"75, 90, 0",0,,0,,56.489,45.735,76.606,65.426,99.981,88.906
Garlic Springs,"130, 90, 180",0,,0,,61.411,58.526,77.007,76.247,100.279,99.807
Calico-Hidalgo,"322, 90, 180",0,,0,,61.499,61.485,81.788,81.506,105.012,104.917
Bicycle Lake,"107, 90, 0",0,,0,,62.764,62.542,77.705,76.127,100.800,98.154
Dry Mountain,"208, 50, -90",0,,0,,62.881,61.861,99.302,98.379,117.264,115.074
Breckenridge 2011,"7, 60, -90",0,,0,,67.413,67.332,81.551,81.509,83.985,83.949
White Wolf,"51, 75, 60",0,,0,,69.427,68.207,88.087,88.001,88.491,88.023
Camp Rock 2011,"316, 90, 180",0,,0,,74.056,72.167,94.614,92.185,117.444,115.557
Manix-Afton Hills,"81, 90, 0",0,,0,,77.705,67.834,97.506,87.105,121.038,110.705
Baker,"331, 90, 180",0,,0,,78.296,75.954,93.824,83.804,112.460,103.410
Cady,"97, 90, 0",0,,0,,83.626,77.080,102.884,95.400,126.532,119.036
Red Pass,"141, 90, 180",0,,0,,90.934,84.337,104.737,99.765,127.198,122.761
White Mountains,"352, 90, 180",0,,0,,103.485,97.936,129.348,128.015,148.485,146.449
Pisgah-Bullion Mtn-Mesquite Lk,"330, 90, 180",0,,0,,103.694,100.820,122.786,120.645,146.472,144.117
Emerson-Copper Mtn 2011,"320, 90, 180",0,,0,,106.946,106.352,127.322,126.252,150.438,149.697
Ludlow,"149, 90, 180",0,,0,,111.891,106.433,128.770,124.353,152.236,147.927
North Frontal  (West),"80, 49, 90",0,,0,,112.790,111.710,132.881,131.843,153.780,151.827
Death Valley (Fish Lake Valley),"322, 90, -150",0,,0,,113.896,108.769,154.919,147.388,170.927,164.070
Johnson Valley (No) 2011 rev,"330, 90, 180",0,,0,,114.442,114.293,134.996,134.862,157.800,157.626
San Andreas (Mojave S),"116, 90, 180",0,,0,,117.103,105.006,134.394,122.396,142.100,130.046
Deep Springs,"205, 50, -90",0,,0,,117.765,116.876,149.555,148.750,168.706,167.026
Hector Mine,"156, 90, 180",0,,0,,118.750,114.644,137.913,134.433,161.561,157.924
San Andreas (Mojave N),"109, 90, 180",0,,0,,119.811,108.389,142.506,131.699,144.341,132.789
Owens Valley Keough Hot Springs,"340, 50, -90",0,,0,,125.551,125.114,152.448,152.118,171.790,171.568
Homestead Valley 2011,"333, 90, 180",0,,0,,125.653,124.615,145.948,145.186,169.129,167.937
San Gabriel (Extension),"276, 61, 180",0,,0,,126.951,126.428,143.817,143.792,159.058,159.041
San Andreas (San Bernardino N),"122, 90, 180",0,,0,,127.326,116.324,145.242,134.638,161.335,151.394
Cleghorn,"96, 90, 0",0,,0,,127.375,115.375,145.805,133.841,162.628,150.837
Pleito,"91, 46, 90",0,,0,,127.437,125.613,149.202,148.513,148.918,147.307
North Frontal  (East),"104, 41, 90",0,,0,,129.127,128.560,149.775,149.248,172.523,171.200
Cucamonga,"257, 45, 90",0,,0,,129.210,128.838,147.275,147.272,164.130,164.081
Pine Mtn,"275, 45, 90",0,,0,,130.351,130.341,154.982,154.922,153.703,153.701
San Jacinto (San Bernardino),"138, 90, 180",0,,0,,132.582,123.864,150.863,142.712,167.402,160.226
San Gabriel,"309, 61, 144",0,,0,,133.021,132.985,156.282,156.187,156.178,156.170
San Jacinto (Lytle Creek connector),"135, 90, 180",0,,0,,134.401,125.179,152.686,143.992,169.216,161.435
Clamshell-Sawpit,"244, 50, 90",0,,0,,134.731,134.298,149.376,149.363,161.438,161.410
San Andreas (Big Bend),"108, 90, 180",0,,0,,135.403,125.552,159.583,149.118,158.008,147.655
Northridge Hills,"289, 31, 90",0,,0,,137.913,137.880,156.964,156.934,162.933,162.918
Bullion Mountains,"320, 90, 180",0,,0,,138.813,138.294,158.186,158.080,181.838,181.605
Sierra Madre (San Fernando),"273, 45, 90",0,,0,,139.755,139.671,157.523,157.520,164.739,164.691
Round Valley,"340, 50, -90",0,,0,,140.238,140.078,165.614,165.610,185.313,185.269
Sierra Madre,"288, 53, 90",0,,0,,141.152,140.566,156.722,156.561,166.456,166.434
San Andreas (North Branch Mill Creek),"114, 76, 180",0,,0,,141.918,134.922,161.376,154.582,180.683,173.446
Big Pine (East),"248, 73, 45",0,,0,,142.056,141.519,164.846,163.933,163.737,163.018
Fish Slough 2011 CFM,"181, 60, -90",0,,0,,142.695,139.294,167.913,165.338,188.076,184.611
San Cayetano,"273, 42, 90",0,,0,,142.716,142.709,166.480,166.440,166.815,166.818
Fontana (Seismicity),"223, 80, 0",0,,0,,143.763,139.405,161.941,157.838,179.032,174.553
Santa Susana alt 1,"278, 55, 30",0,,0,,143.836,143.828,164.013,163.957,168.810,168.809
Kickapoo,"3, 90, 180",0,,0,,144.512,137.809,164.883,158.376,187.984,181.135
San Andreas (San Bernardino S),"120, 90, 180",0,,0,,144.519,134.673,164.197,154.632,183.095,174.108
Verdugo,"301, 55, 90",0,,0,,148.002,147.964,166.306,166.288,173.020,173.002
Mission Hills 2011,"277, 55, 90",0,,0,,148.132,148.079,167.272,167.251,173.138,173.104
Holser alt 1,"99, 58, 90",0,,0,,148.443,145.105,167.705,165.564,173.158,170.052
San Jose,"244, 74, 30",0,,0,,148.847,146.250,165.379,163.150,179.863,177.520
Northridge,"111, 35, 90",0,,0,,151.737,151.366,169.801,169.798,176.676,176.405
Raymond,"258, 79, 60",0,,0,,153.078,147.993,167.439,162.530,178.890,173.698
Santa Susana East (connector),"108, 55, 90",0,,0,,153.747,151.157,171.853,170.374,178.549,176.189
Santa Ynez (East),"82, 70, 0",0,,0,,154.060,149.457,177.430,174.023,177.500,172.872
Del Valle,"106, 73, 90",0,,0,,154.739,147.179,175.682,169.459,179.185,171.786
San Gorgonio Pass,"281, 60, 90",0,,0,,154.992,154.234,174.552,174.431,194.387,194.382
Mission Creek,"275, 65, 180",0,,0,,155.120,154.414,175.126,175.012,196.238,196.235
Puente Hills,"290, 25, 90",0,,0,,158.143,158.070,174.015,174.017,182.983,182.942
San Jacinto (San Jacinto Valley) rev,"133, 90, 180",0,,0,,159.205,151.039,178.780,170.949,197.357,190.246
Elysian Park (Upper),"285, 50, 90",0,,0,,159.254,158.816,173.223,173.197,184.034,184.024
Oak Ridge (Onshore),"71, 65, 90",0,,0,,159.256,155.747,180.421,178.197,183.702,180.290
San Pedro Escarpment,"308, 17, 90",0,,0,,159.380,159.371,176.934,176.893,184.384,184.384
Big Pine (Central),"78, 76, 90",0,,0,,159.905,155.845,182.615,178.660,181.951,177.587
Hollywood,"255, 70, 30",0,,0,,161.120,161.119,177.087,177.008,185.987,185.987
Simi-Santa Rosa,"255, 60, 30",0,,0,,161.488,161.387,183.109,183.113,186.168,186.107
Chino alt 1,"146, 50, 150",0,,0,,161.982,161.315,178.945,178.345,194.047,192.760
Richfield,"263, 28, 90",0,,0,,162.595,162.305,178.751,178.749,192.361,192.318
North Salt Lake,"253, 54, 90",0,,0,,162.685,162.681,180.024,179.963,187.681,187.682
Pinto Mtn,"87, 90, 0",0,,0,,163.939,152.482,184.622,173.172,206.437,195.154
Compton,"304, 20, 90",0,,0,,164.077,164.064,182.493,182.463,189.107,189.105
